benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
BS,1,8,0.0,0.980525,0.070496,1.60512,0.401792
BS,1,8,0.1,4.725634,0.078848,8.493024,0.376032
BS,1,8,0.25,11.248107,0.081952,1.868128,0.337568
BS,1,8,0.5,22.106203,0.069568,1.598688,0.365568
BS,1,8,0.75,32.977562,0.065568,1.78608,0.382624
BS,1,8,0.9,39.504227,0.07488,1.44016,0.368256
BS,1,8,1.0,43.177593,0.060064,1.754528,0.35248
BS,1,16,0.0,0.495677,0.067392,2.21744,0.326624
BS,1,16,0.1,4.671691,0.07488,1.970336,0.319296
BS,1,16,0.25,11.254338,0.061728,2.371968,0.375264
BS,1,16,0.5,22.127184,0.064032,2.10304,0.364448
BS,1,16,0.75,32.754574,0.071648,2.737216,0.342208
BS,1,16,0.9,39.322315,0.062784,2.12448,0.361472
BS,1,16,1.0,42.873222,0.073056,1.532192,0.316032
BS,1,32,0.0,0.264352,0.075968,4.405152,0.321888
BS,1,32,0.1,4.656654,0.075392,1.599936,0.35632
BS,1,32,0.25,11.260605,0.062784,2.956352,0.353024
BS,1,32,0.5,22.016979,0.063808,2.032928,0.35568
BS,1,32,0.75,32.779297,0.067552,1.94656,0.31952
BS,1,32,0.9,39.608139,0.074368,1.811968,0.347904
BS,1,32,1.0,43.543091,0.061472,1.933472,0.310048
BS,1,64,0.0,0.140461,0.063328,1.634784,0.316128
BS,1,64,0.1,4.660909,0.0856,1.774464,0.314144
BS,1,64,0.25,11.256718,0.06864,1.717696,0.318688
BS,1,64,0.5,22.007877,0.064928,1.735552,0.350592
BS,1,64,0.75,32.694939,0.06352,1.57328,0.336384
BS,1,64,0.9,39.34269,0.08768,1.981344,0.351552
BS,1,64,1.0,43.036545,0.06352,1.654528,0.325536
BS,4,8,0.0,1.029586,0.063744,1.677536,0.34544
BS,4,8,0.1,1.508152,0.06544,2.112416,0.329504
BS,4,8,0.25,3.1098,0.063936,1.89136,0.357504
BS,4,8,0.5,5.972476,0.067328,1.8456,0.356672
BS,4,8,0.75,8.66614,0.069856,1.762592,0.3208
BS,4,8,0.9,10.292349,0.079296,1.7432,0.35472
BS,4,8,1.0,11.147498,0.068832,2.009408,0.310208
BS,4,16,0.0,0.547138,0.0664,2.253696,0.337184
BS,4,16,0.1,1.457192,0.061408,1.566464,0.323968
BS,4,16,0.25,3.116802,0.062048,1.59568,0.329728
BS,4,16,0.5,5.929318,0.062016,3.001184,0.320672
BS,4,16,0.75,8.548136,0.088512,1.610848,0.349376
BS,4,16,0.9,10.303038,0.074048,1.640768,0.333504
BS,4,16,1.0,11.139265,0.063104,2.534112,0.311392
BS,4,32,0.0,0.313194,0.088128,1.759456,0.348032
BS,4,32,0.1,1.458803,0.075648,1.722752,0.337248
BS,4,32,0.25,3.095371,0.073856,1.924992,0.325856
BS,4,32,0.5,5.982778,0.07312,2.06288,0.334688
BS,4,32,0.75,8.608069,0.068352,1.503296,0.36896
BS,4,32,0.9,10.281965,0.06992,2.43616,0.371616
BS,4,32,1.0,11.155901,0.064128,1.786656,0.340736
BS,4,64,0.0,0.232915,0.095488,1.395872,0.312736
BS,4,64,0.1,1.461274,0.061824,1.847392,0.337632
BS,4,64,0.25,3.114199,0.067328,1.681024,0.318272
BS,4,64,0.5,6.015353,0.06032,1.912512,0.341536
BS,4,64,0.75,8.535551,0.076832,2.022688,0.322016
BS,4,64,0.9,10.298055,0.063776,1.494976,0.358816
BS,4,64,1.0,11.138727,0.064064,1.488672,0.341504
BS,16,8,0.0,1.03252,0.073536,3.48816,0.352832
BS,16,8,0.1,1.481567,0.064032,1.872544,0.338272
BS,16,8,0.25,1.943307,0.072,1.712864,0.346944
BS,16,8,0.5,2.72431,0.076576,1.534848,0.364032
BS,16,8,0.75,3.280587,0.065312,1.705792,0.342464
BS,16,8,0.9,3.73128,0.071744,1.682944,0.358336
BS,16,8,1.0,3.798205,0.063904,1.79968,0.35808
BS,16,16,0.0,0.816883,0.07584,2.016864,0.328544
BS,16,16,0.1,1.449955,0.061888,1.883072,0.328
BS,16,16,0.25,1.968453,0.075328,1.501792,0.349152
BS,16,16,0.5,2.695659,0.072064,1.643136,0.327136
BS,16,16,0.75,3.266048,0.072864,3.556288,0.348608
BS,16,16,0.9,3.747262,0.062368,2.064224,0.3624
BS,16,16,1.0,3.812103,0.077856,1.72976,0.322336
BS,16,32,0.0,0.860682,0.068576,2.007776,0.34704
BS,16,32,0.1,1.420168,0.06464,1.727136,0.359904
BS,16,32,0.25,1.935208,0.074464,3.491296,0.384096
BS,16,32,0.5,2.598582,0.063936,1.702752,0.35968
BS,16,32,0.75,3.340717,0.064064,3.195104,0.336352
BS,16,32,0.9,3.778542,0.080288,3.700736,0.360608
BS,16,32,1.0,3.832054,0.078784,1.776768,0.314816
BS,16,64,0.0,0.876683,0.065376,2.092224,0.385376
BS,16,64,0.1,1.500938,0.064352,1.60944,0.360736
BS,16,64,0.25,1.926603,0.064064,1.794976,0.348448
BS,16,64,0.5,2.655715,0.062784,1.607232,0.354272
BS,16,64,0.75,3.344035,0.063008,1.940832,0.343552
BS,16,64,0.9,3.711121,0.063936,2.770496,0.341216
BS,16,64,1.0,3.826301,0.061984,1.666304,0.344704
BS,32,8,0.0,1.676253,0.062944,1.519424,0.378016
BS,32,8,0.1,2.386882,0.069568,3.245856,0.390016
BS,32,8,0.25,2.597176,0.084096,1.725312,0.356896
BS,32,8,0.5,3.130952,0.070912,1.575936,0.356704
BS,32,8,0.75,3.428382,0.088992,1.52592,0.418976
BS,32,8,0.9,3.563407,0.073216,1.596768,0.367616
BS,32,8,1.0,3.508844,0.075232,1.46608,0.340832
BS,32,16,0.0,1.644709,0.062688,1.796768,0.367904
BS,32,16,0.1,2.413126,0.075648,1.547776,0.363104
BS,32,16,0.25,2.680931,0.067008,1.695936,0.35936
BS,32,16,0.5,2.969974,0.0616,1.806528,0.366016
BS,32,16,0.75,3.392535,0.066624,1.86432,0.400288
BS,32,16,0.9,3.47438,0.062464,2.352416,0.392704
BS,32,16,1.0,3.465077,0.063744,1.465536,0.332992
BS,32,32,0.0,1.658608,0.076416,1.789664,0.36624
BS,32,32,0.1,2.369143,0.060832,1.725504,0.346592
BS,32,32,0.25,2.787941,0.076608,1.727424,0.365728
BS,32,32,0.5,2.857415,0.06256,1.507872,0.346496
BS,32,32,0.75,3.394243,0.074912,1.678592,0.396288
BS,32,32,0.9,3.500624,0.06304,1.729696,0.367008
BS,32,32,1.0,3.50731,0.0776,1.614304,0.335136
BS,32,64,0.0,1.665664,0.070112,1.966784,0.337664
BS,32,64,0.1,2.347437,0.085504,1.959456,0.348256
BS,32,64,0.25,2.620615,0.066976,1.550624,0.382752
BS,32,64,0.5,3.078094,0.072672,1.693344,0.371264
BS,32,64,0.75,3.338994,0.063616,2.792992,0.337504
BS,32,64,0.9,3.549909,0.078432,2.203104,0.35568
BS,32,64,1.0,3.490146,0.074528,1.65408,0.328832
BS,64,8,0.0,3.217285,0.07488,1.6424,0.404896
BS,64,8,0.1,3.761736,0.064704,2.062784,0.387936
BS,64,8,0.25,4.127821,0.063552,2.564576,0.351328
BS,64,8,0.5,4.892701,0.075808,1.533408,0.360896
BS,64,8,0.75,5.029731,0.073024,1.635712,0.374432
BS,64,8,0.9,5.221532,0.077024,2.909888,0.359744
BS,64,8,1.0,4.883869,0.071872,1.600544,0.352256
BS,64,16,0.0,3.172409,0.081792,4.977376,0.383744
BS,64,16,0.1,3.679926,0.08592,1.800032,0.697376
BS,64,16,0.25,4.152148,0.065696,4.677184,0.415264
BS,64,16,0.5,4.692623,0.077504,1.806368,0.364416
BS,64,16,0.75,5.093808,0.061472,1.626592,0.36432
BS,64,16,0.9,5.349562,0.066176,1.704288,0.357376
BS,64,16,1.0,4.889256,0.06352,1.455936,0.329984
BS,64,32,0.0,3.237169,0.082848,4.089152,0.388384
BS,64,32,0.1,3.650934,0.0712,3.18848,0.361856
BS,64,32,0.25,4.314178,0.071648,2.045472,0.344192
BS,64,32,0.5,4.760695,0.074144,2.108256,0.398304
BS,64,32,0.75,5.193776,0.072256,1.678272,0.361632
BS,64,32,0.9,5.304064,0.080096,1.935584,0.353504
BS,64,32,1.0,4.740189,0.087648,1.829152,0.355968
BS,64,64,0.0,3.277954,0.067712,1.723808,0.36752
BS,64,64,0.1,3.578965,0.064128,1.540096,0.358304
BS,64,64,0.25,4.381,0.06112,1.666496,0.37408
BS,64,64,0.5,4.781389,0.064128,4.376064,0.412512
BS,64,64,0.75,4.993819,0.06192,2.418144,0.412128
BS,64,64,0.9,5.193453,0.062656,3.444864,0.364768
BS,64,64,1.0,4.836046,0.065856,1.808832,0.382144
