benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
CEDD,1,default,0.0,4.265152,0.21328,371.324219,0.293408
CEDD,1,default,0.1,42.506496,0.21488,385.125519,0.290848
CEDD,1,default,0.25,127.522461,0.212576,368.218658,0.318272
CEDD,1,default,0.5,253.405212,0.207904,369.484955,0.303424
CEDD,1,default,0.75,380.576721,0.219072,401.421936,0.292896
CEDD,1,default,0.9,465.497223,0.234784,378.461426,0.31216
CEDD,1,default,1.0,528.048157,0.240288,368.313873,0.201952
CEDD,4,default,0.0,4.1624,0.24144,371.494598,0.300032
CEDD,4,default,0.1,12.37408,0.249184,377.905029,0.306336
CEDD,4,default,0.25,36.17981,0.244192,380.74942,0.297824
CEDD,4,default,0.5,70.75296,0.230112,390.454987,0.313824
CEDD,4,default,0.75,106.742653,0.262144,386.478516,0.334848
CEDD,4,default,0.9,129.357895,0.251584,403.15744,0.356192
CEDD,4,default,1.0,146.81897,0.242816,370.451569,0.219616
CEDD,16,default,0.0,3.553184,0.220992,376.321808,0.299264
CEDD,16,default,0.1,12.03872,0.212608,366.523773,0.327936
CEDD,16,default,0.25,32.332607,0.20704,381.579407,0.3568
CEDD,16,default,0.5,63.190174,0.221536,383.251648,0.342688
CEDD,16,default,0.75,91.969917,0.236512,379.735168,0.369568
CEDD,16,default,0.9,112.596222,0.21584,376.989502,0.383712
CEDD,16,default,1.0,127.008995,0.266304,370.520538,0.237856
CEDD,32,default,0.0,3.41472,0.261728,364.399109,0.303328
CEDD,32,default,0.1,19.647873,0.220608,379.6409,0.32592
CEDD,32,default,0.25,47.418049,0.199744,369.084625,0.346272
CEDD,32,default,0.5,95.492737,0.260544,371.732971,0.37648
CEDD,32,default,0.75,137.66391,0.240288,372.825409,0.348288
CEDD,32,default,0.9,166.518692,0.19792,379.536835,0.388096
CEDD,32,default,1.0,188.271866,0.25744,384.202972,0.244032
CEDD,64,default,0.0,3.745952,0.229568,378.108948,0.32128
CEDD,64,default,0.1,28.50272,0.20304,371.510193,0.347552
CEDD,64,default,0.25,84.083229,0.253472,374.898132,0.388192
CEDD,64,default,0.5,164.87616,0.227488,387.90625,0.37088
CEDD,64,default,0.75,248.219193,0.220032,369.503815,0.392096
CEDD,64,default,0.9,292.271851,0.226048,367.86203,0.417152
CEDD,64,default,1.0,333.477753,0.228192,363.426056,0.239552
