benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
PAD,1,8,0.0,0.716533,0.072672,15.969216,0.592384
PAD,1,8,0.1,1.393094,0.079456,15.733952,0.574112
PAD,1,8,0.25,2.731944,0.070976,15.692736,0.559776
PAD,1,8,0.5,4.408971,0.095424,15.830464,0.562336
PAD,1,8,0.75,5.95992,0.07184,15.615488,0.531584
PAD,1,8,0.9,6.913375,0.069056,15.456192,0.568128
PAD,1,8,1.0,7.578867,0.070848,15.870912,0.526368
PAD,1,16,0.0,0.547941,0.066976,15.791008,0.57424
PAD,1,16,0.1,1.321376,0.071136,16.168257,0.616064
PAD,1,16,0.25,2.496961,0.077504,15.69872,0.566304
PAD,1,16,0.5,4.276744,0.072,15.5568,0.525632
PAD,1,16,0.75,5.833549,0.068448,15.6688,0.515552
PAD,1,16,0.9,6.785333,0.071456,15.847328,0.54784
PAD,1,16,1.0,7.529301,0.07424,15.822368,0.502336
PAD,1,32,0.0,0.538579,0.0712,15.78432,0.616384
PAD,1,32,0.1,1.27076,0.068032,15.635264,0.577568
PAD,1,32,0.25,2.499691,0.092448,15.996736,0.542592
PAD,1,32,0.5,4.245017,0.102848,15.630688,0.537728
PAD,1,32,0.75,5.795537,0.07648,15.764384,0.524256
PAD,1,32,0.9,6.790239,0.107488,15.549056,0.540928
PAD,1,32,1.0,7.494114,0.071136,15.784544,0.505312
PAD,1,64,0.0,1.515707,0.07072,15.383552,0.585728
PAD,1,64,0.1,1.056342,0.069184,15.92976,0.583808
PAD,1,64,0.25,2.179297,0.074176,15.742016,0.585216
PAD,1,64,0.5,3.947377,0.068224,15.672672,0.542304
PAD,1,64,0.75,5.794961,0.080352,15.794432,0.521632
PAD,1,64,0.9,6.882965,0.0696,15.833248,0.50192
PAD,1,64,1.0,7.489572,0.068032,15.467008,0.457024
PAD,4,8,0.0,0.820422,0.08048,15.821472,0.559584
PAD,4,8,0.1,0.992507,0.077344,15.722912,0.560992
PAD,4,8,0.25,1.128659,0.067616,15.470912,0.565408
PAD,4,8,0.5,1.680434,0.065568,15.78848,0.573472
PAD,4,8,0.75,1.767485,0.068704,15.902816,0.50976
PAD,4,8,0.9,2.020714,0.089312,16.432224,0.491328
PAD,4,8,1.0,2.239666,0.06928,15.744512,0.483424
PAD,4,16,0.0,0.692915,0.074912,15.767008,0.550432
PAD,4,16,0.1,0.747136,0.071264,15.759808,0.572448
PAD,4,16,0.25,0.993514,0.080416,15.787168,0.560384
PAD,4,16,0.5,1.565735,0.0688,15.654528,0.564864
PAD,4,16,0.75,1.87471,0.092,15.645856,0.482112
PAD,4,16,0.9,2.057159,0.072096,15.437184,0.506208
PAD,4,16,1.0,2.264112,0.08704,15.781472,0.444704
PAD,4,32,0.0,0.794875,0.070048,16.299105,0.577696
PAD,4,32,0.1,0.715866,0.093696,15.788448,0.551168
PAD,4,32,0.25,1.142906,0.073344,15.720512,0.539744
PAD,4,32,0.5,1.425709,0.06736,15.697824,0.523424
PAD,4,32,0.75,1.815043,0.084448,15.37472,0.533472
PAD,4,32,0.9,2.035734,0.077632,15.55168,0.533792
PAD,4,32,1.0,2.234792,0.094784,15.722944,0.484768
PAD,4,64,0.0,2.001173,0.088544,15.886208,0.555808
PAD,4,64,0.1,0.837234,0.066016,15.706784,0.57728
PAD,4,64,0.25,1.020283,0.071776,15.985024,0.554048
PAD,4,64,0.5,1.513921,0.071296,15.962752,0.588928
PAD,4,64,0.75,1.809888,0.06832,16.174849,0.50544
PAD,4,64,0.9,2.076016,0.097056,15.552928,0.486752
PAD,4,64,1.0,2.271658,0.072448,15.706944,0.48144
PAD,16,8,0.0,2.038941,0.074304,15.919424,0.55392
