benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
RSCD,1,8,0.0,0.464046,3.23952,2.276864,0.255488
RSCD,1,8,0.1,12.824985,2.687872,2.491136,0.255584
RSCD,1,8,0.25,33.949242,2.498016,2.239392,0.252736
RSCD,1,8,0.5,68.735748,2.679584,2.126016,0.271584
RSCD,1,8,0.75,103.196045,2.679296,3.129472,0.264096
RSCD,1,8,0.9,127.254601,3.611488,2.283808,0.282432
RSCD,1,8,1.0,135.992966,2.867808,2.594784,0.282976
RSCD,1,16,0.0,0.268077,2.616896,2.287008,0.264864
RSCD,1,16,0.1,14.033831,2.792192,2.399776,0.295904
RSCD,1,16,0.25,34.649548,3.044832,2.241664,0.268352
RSCD,1,16,0.5,67.467636,2.39152,2.211008,0.248128
RSCD,1,16,0.75,104.042702,2.848064,2.213696,0.285216
RSCD,1,16,0.9,121.671371,3.81888,2.598368,0.27776
RSCD,1,16,1.0,133.484894,13.997568,20.095392,0.318656
RSCD,1,32,0.0,0.153746,17.22768,13.204864,0.258944
RSCD,1,32,0.1,13.48718,14.403744,17.432993,0.25824
RSCD,1,32,0.25,34.035835,14.67856,11.720864,0.25152
RSCD,1,32,0.5,69.096947,3.461856,2.458496,0.267584
RSCD,1,32,0.75,99.52507,3.594944,2.309888,0.298944
RSCD,1,32,0.9,128.039734,3.899264,4.371488,0.290016
RSCD,1,32,1.0,139.925079,5.771456,7.41712,0.29184
RSCD,1,64,0.0,0.150373,14.577632,12.387392,0.267328
RSCD,1,64,0.1,14.792781,16.708609,18.333408,0.294368
RSCD,1,64,0.25,34.350838,4.14464,7.03232,0.309088
RSCD,1,64,0.5,69.426094,3.235808,2.386016,0.261504
RSCD,1,64,0.75,105.002747,2.840576,2.75712,0.34336
RSCD,1,64,0.9,121.343735,2.755296,2.399872,0.324704
RSCD,1,64,1.0,132.051376,3.038848,2.518528,0.286752
RSCD,4,8,0.0,0.690214,2.746208,2.318592,0.248512
RSCD,4,8,0.1,4.110986,3.711168,2.561216,0.276704
RSCD,4,8,0.25,9.986912,3.23744,2.12848,0.247424
RSCD,4,8,0.5,19.280201,4.210464,3.377792,0.260736
RSCD,4,8,0.75,26.935688,2.6272,2.236896,0.270592
RSCD,4,8,0.9,32.57148,2.436608,2.435424,0.268416
RSCD,4,8,1.0,36.497871,5.793568,2.723552,0.233632
RSCD,4,16,0.0,0.31127,2.52848,2.747936,0.248608
