benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
TQH,1,8,dynamic,262.510498,0.102976,39667.925781,9.430016
TQH,1,16,dynamic,133.611176,0.091264,38949.808594,10.404736
TQH,1,32,dynamic,72.193398,0.087424,39018.867188,10.294912
TQH,1,64,dynamic,38.091805,0.106368,39545.34375,9.190688
TQH,4,8,dynamic,263.38443,0.095872,40401.085938,9.2056
TQH,4,16,dynamic,135.746674,0.088672,41307.972656,10.693568
TQH,4,32,dynamic,69.839706,0.090208,40146.554688,9.296928
TQH,4,64,dynamic,37.291618,0.099776,42052.453125,10.299872
TQH,16,8,dynamic,264.013367,0.108224,40386.015625,9.339584
TQH,16,16,dynamic,132.133682,0.091808,41618.253906,10.350784
TQH,16,32,dynamic,74.610725,0.092352,39928.054688,10.316896
TQH,16,64,dynamic,37.303566,0.0936,39444.078125,10.22832
TQH,32,8,dynamic,262.664001,0.09536,41907.914062,10.30384
TQH,32,16,dynamic,134.303253,0.094272,46773.707031,10.259104
TQH,32,32,dynamic,71.568161,0.100384,40542.914062,10.532128
TQH,32,64,dynamic,36.281723,0.105152,42252.855469,10.339072
TQH,64,8,dynamic,260.845886,0.113632,40431.632812,10.268704
TQH,64,16,dynamic,133.320419,0.091776,40646.792969,10.417504
TQH,64,32,dynamic,71.73439,0.129856,40398.847656,10.421152
TQH,64,64,dynamic,39.434708,0.098656,39601.765625,10.057024
