benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
TRNS,1,8,dynamic,56.661053,0.073824,115.809853,1.797504
TRNS,1,16,dynamic,35.01289,0.097024,110.611488,1.699968
TRNS,1,32,dynamic,21.061329,0.069664,109.222046,3.281024
TRNS,1,64,dynamic,12.660892,0.06704,111.816063,1.93424
TRNS,4,8,dynamic,37.228539,0.07776,113.033699,1.71904
TRNS,4,16,dynamic,33.540058,0.082912,109.755585,1.75872
TRNS,4,32,dynamic,21.491112,0.081696,110.058975,1.74224
TRNS,4,64,dynamic,11.23737,0.068384,110.91008,2.067776
TRNS,16,8,dynamic,31.42709,0.070272,110.144066,1.971328
TRNS,16,16,dynamic,24.875389,0.080128,111.438972,1.65648
TRNS,16,32,dynamic,21.35825,0.073472,111.218781,1.683648
TRNS,16,64,dynamic,14.106341,0.083616,111.251106,1.93104
TRNS,32,8,dynamic,29.913824,0.071552,110.299644,1.761312
TRNS,32,16,dynamic,25.540665,0.078688,111.346237,1.616064
TRNS,32,32,dynamic,21.188042,0.072544,109.401756,1.818144
TRNS,32,64,dynamic,14.197621,0.07648,112.479774,1.721152
TRNS,64,8,dynamic,29.447067,0.07248,110.418205,1.597952
TRNS,64,16,dynamic,32.187462,0.070368,113.119522,1.832096
TRNS,64,32,dynamic,25.295208,0.081824,111.58374,5.217376
TRNS,64,64,dynamic,22.504307,0.077248,110.747932,1.760672
