
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a1.0.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a1.0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a1.0.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xFF5380000000,0.262,0.262,5,128,24823.988
0xFF5380200000,,,1,,
0xFF5380210000,,,1,,
0xFF5380220000,,,1,,
0xFF5380240000,,,1,,
0xFF5380280000,,,1,,
0xFF53802E0000,,,2,,
0xFF53802F0000,,,1,,
0xFF5380300000,,,1,,
0xFF5380400000,,,1,,

