benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
RSCD,1,8,0.0,12,51,0.655,0.655,0.655,0.655
RSCD,1,8,0.1,15,148,0.786,0.786,0.786,0.786
RSCD,1,8,0.25,20,178,1.114,0.983,0.983,1.114
RSCD,1,8,0.5,17,109,0.983,0.983,0.983,0.983
RSCD,1,8,0.75,21,113,1.245,1.245,1.245,1.245
RSCD,1,8,0.9,17,80,0.983,0.983,0.983,0.983
RSCD,1,8,1.0,0,0,0,0,0,0
RSCD,1,16,0.0,12,105,0.655,0.655,0.655,0.655
RSCD,1,16,0.1,18,415,1.049,1.049,1.049,1.049
RSCD,1,16,0.25,18,279,1.049,1.049,1.049,1.049
RSCD,1,16,0.5,17,194,0.983,0.983,0.983,0.983
RSCD,1,16,0.75,19,256,1.18,1.18,1.18,1.18
RSCD,1,16,0.9,15,221,1.049,1.049,1.049,1.049
RSCD,1,16,1.0,0,0,0,0,0,0
RSCD,1,32,0.0,12,221,0.655,0.524,0.524,0.655
RSCD,1,32,0.1,17,345,0.983,0.983,0.983,0.983
RSCD,1,32,0.25,17,422,0.983,0.983,0.983,0.983
RSCD,1,32,0.5,16,376,0.983,0.983,0.983,0.983
RSCD,1,32,0.75,15,441,1.049,1.049,1.049,1.049
RSCD,1,32,0.9,15,377,1.049,1.049,1.049,1.049
RSCD,1,32,1.0,0,0,0,0,0,0
RSCD,1,64,0.0,12,390,0.655,0.655,0.655,0.655
RSCD,1,64,0.1,19,841,1.311,1.311,1.311,1.311
RSCD,1,64,0.25,15,758,1.049,1.049,1.049,1.049
RSCD,1,64,0.5,15,872,1.049,1.049,1.049,1.049
RSCD,1,64,0.75,15,765,1.049,1.049,1.049,1.049
RSCD,1,64,0.9,15,701,1.049,1.049,1.049,1.049
RSCD,1,64,1.0,0,0,0,0,0,0
RSCD,4,8,0.0,12,81,0.655,0.655,0.655,0.655
RSCD,4,8,0.1,13,132,0.721,0.524,0.524,0.721
RSCD,4,8,0.25,16,104,0.721,0.721,0.721,0.721
RSCD,4,8,0.5,16,91,0.983,0.983,0.983,0.983
RSCD,4,8,0.75,19,93,0.983,0.983,0.983,0.983
RSCD,4,8,0.9,18,86,1.114,0.983,0.983,1.114
RSCD,4,8,1.0,0,0,0,0,0,0
RSCD,4,16,0.0,12,122,0.655,0.655,0.655,0.655
RSCD,4,16,0.1,22,159,0.983,0.852,0.852,0.983
RSCD,4,16,0.25,15,205,0.983,0.852,0.852,0.983
RSCD,4,16,0.5,16,211,0.983,0.983,0.983,0.983
RSCD,4,16,0.75,20,201,1.114,1.114,1.114,1.114
RSCD,4,16,0.9,17,225,1.049,1.049,1.049,1.049
RSCD,4,16,1.0,0,0,0,0,0,0
RSCD,4,32,0.0,12,220,0.655,0.655,0.655,0.655
RSCD,4,32,0.1,21,416,1.311,1.18,1.18,1.311
RSCD,4,32,0.25,26,501,1.376,1.245,1.245,1.376
RSCD,4,32,0.5,17,369,0.983,0.983,0.983,0.983
RSCD,4,32,0.75,17,437,1.049,1.049,1.049,1.049
RSCD,4,32,0.9,15,309,1.049,1.049,1.049,1.049
RSCD,4,32,1.0,0,0,0,0,0,0
RSCD,4,64,0.0,12,425,0.655,0.655,0.655,0.655
RSCD,4,64,0.1,16,752,0.983,0.786,0.786,0.983
RSCD,4,64,0.25,16,836,1.114,0.983,0.983,1.114
RSCD,4,64,0.5,17,697,1.049,1.049,1.049,1.049
RSCD,4,64,0.75,21,641,1.049,1.049,1.049,1.049
RSCD,4,64,0.9,15,757,1.049,1.049,1.049,1.049
RSCD,4,64,1.0,0,0,0,0,0,0
RSCD,16,8,0.0,12,49,0.655,0.655,0.655,0.655
RSCD,16,8,0.1,12,119,0.721,0.459,0.459,0.721
RSCD,16,8,0.25,14,101,0.721,0.524,0.524,0.721
RSCD,16,8,0.5,17,88,1.049,0.918,0.918,1.049
RSCD,16,8,0.75,18,163,0.983,0.852,0.852,0.983
RSCD,16,8,0.9,17,82,0.983,0.786,0.786,0.983
RSCD,16,8,1.0,0,0,0,0,0,0
RSCD,16,16,0.0,12,122,0.655,0.655,0.655,0.655
RSCD,16,16,0.1,15,299,0.983,0.786,0.786,0.983
RSCD,16,16,0.25,15,152,0.983,0.852,0.852,0.983
RSCD,16,16,0.5,23,190,1.245,1.049,1.049,1.245
RSCD,16,16,0.75,19,176,0.983,0.786,0.786,0.983
RSCD,16,16,0.9,15,398,0.983,0.786,0.786,0.983
RSCD,16,16,1.0,0,0,0,0,0,0
RSCD,16,32,0.0,12,218,0.655,0.655,0.655,0.655
RSCD,16,32,0.1,15,366,0.983,0.852,0.852,0.983
RSCD,16,32,0.25,15,381,0.983,0.786,0.786,0.983
RSCD,16,32,0.5,16,458,0.983,0.786,0.786,0.983
RSCD,16,32,0.75,16,393,1.049,1.049,1.049,1.049
RSCD,16,32,0.9,19,385,1.049,1.049,1.049,1.049
RSCD,16,32,1.0,0,0,0,0,0,0
RSCD,16,64,0.0,12,494,0.655,0.655,0.655,0.655
RSCD,16,64,0.1,16,830,0.983,0.852,0.852,0.983
RSCD,16,64,0.25,17,878,1.114,0.983,0.983,1.114
RSCD,16,64,0.5,18,697,0.983,0.786,0.786,0.983
RSCD,16,64,0.75,15,825,1.049,1.049,1.049,1.049
RSCD,16,64,0.9,18,783,1.049,1.049,1.049,1.049
RSCD,16,64,1.0,0,0,0,0,0,0
RSCD,32,8,0.0,12,54,0.655,0.655,0.655,0.655
RSCD,32,8,0.1,16,151,0.852,0.655,0.655,0.852
RSCD,32,8,0.25,12,108,0.721,0.459,0.459,0.721
RSCD,32,8,0.5,15,172,0.983,0.852,0.852,0.983
RSCD,32,8,0.75,16,145,0.983,0.852,0.852,0.983
RSCD,32,8,0.9,15,145,1.049,1.049,1.049,1.049
RSCD,32,8,1.0,0,0,0,0,0,0
RSCD,32,16,0.0,12,101,0.655,0.655,0.655,0.655
RSCD,32,16,0.1,25,286,1.245,1.114,1.114,1.245
RSCD,32,16,0.25,19,345,0.983,0.852,0.852,0.983
RSCD,32,16,0.5,16,181,1.049,0.918,0.918,1.049
RSCD,32,16,0.75,17,379,1.114,0.983,0.983,1.114
RSCD,32,16,0.9,18,213,1.049,1.049,1.049,1.049
RSCD,32,16,1.0,0,0,0,0,0,0
RSCD,32,32,0.0,12,218,0.655,0.655,0.655,0.655
RSCD,32,32,0.1,22,619,1.311,1.18,1.18,1.311
RSCD,32,32,0.25,16,310,0.983,0.852,0.852,0.983
RSCD,32,32,0.5,16,456,0.983,0.852,0.852,0.983
RSCD,32,32,0.75,17,315,1.049,1.049,1.049,1.049
RSCD,32,32,0.9,15,321,1.049,1.049,1.049,1.049
RSCD,32,32,1.0,0,0,0,0,0,0
RSCD,32,64,0.0,12,435,0.655,0.655,0.655,0.655
RSCD,32,64,0.1,20,761,1.311,1.18,1.18,1.311
RSCD,32,64,0.25,17,685,1.049,1.049,1.049,1.049
RSCD,32,64,0.5,15,717,1.049,1.049,1.049,1.049
RSCD,32,64,0.75,16,651,1.049,1.049,1.049,1.049
RSCD,32,64,0.9,15,628,1.049,1.049,1.049,1.049
RSCD,32,64,1.0,0,0,0,0,0,0
RSCD,64,8,0.0,12,52,0.655,0.655,0.655,0.655
RSCD,64,8,0.1,12,79,0.655,0.393,0.393,0.655
RSCD,64,8,0.25,13,128,0.786,0.655,0.655,0.786
RSCD,64,8,0.5,16,90,0.983,0.852,0.852,0.983
RSCD,64,8,0.75,16,128,0.983,0.852,0.852,0.983
RSCD,64,8,0.9,21,114,1.311,1.311,1.311,1.311
RSCD,64,8,1.0,0,0,0,0,0,0
RSCD,64,16,0.0,12,106,0.655,0.655,0.655,0.655
RSCD,64,16,0.1,16,230,1.049,0.918,0.918,1.049
RSCD,64,16,0.25,18,205,0.983,0.786,0.786,0.983
RSCD,64,16,0.5,18,199,0.983,0.786,0.786,0.983
RSCD,64,16,0.75,15,156,0.983,0.852,0.852,0.983
RSCD,64,16,0.9,20,229,1.049,1.049,1.049,1.049
RSCD,64,16,1.0,0,0,0,0,0,0
RSCD,64,32,0.0,12,228,0.655,0.655,0.655,0.655
