benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
RSCT,1,8,dynamic,14,721,0.786,0.59,0.59,0.786
RSCT,1,16,dynamic,13,1335,0.721,0.524,0.524,0.721
RSCT,1,32,dynamic,11,1146,0.655,0.393,0.393,0.655
RSCT,1,64,dynamic,12,1426,0.655,0.393,0.393,0.655
RSCT,4,8,dynamic,21,233,0.786,0.524,0.524,0.786
RSCT,4,16,dynamic,18,490,0.786,0.524,0.524,0.786
RSCT,4,32,dynamic,11,928,0.655,0.393,0.393,0.655
RSCT,4,64,dynamic,16,1301,0.655,0.393,0.393,0.655
RSCT,16,8,dynamic,10,93,0.655,0.459,0.459,0.655
RSCT,16,16,dynamic,13,181,0.655,0.393,0.393,0.655
RSCT,16,32,dynamic,10,151,0.655,0.393,0.393,0.655
RSCT,16,64,dynamic,10,516,0.655,0.459,0.459,0.655
RSCT,32,8,dynamic,10,77,0.655,0.459,0.459,0.655
RSCT,32,16,dynamic,10,131,0.655,0.393,0.393,0.655
RSCT,32,32,dynamic,11,212,0.721,0.459,0.459,0.721
RSCT,32,64,dynamic,9,341,0.655,0.393,0.393,0.655
RSCT,64,8,dynamic,14,124,0.721,0.59,0.59,0.721
RSCT,64,16,dynamic,12,147,0.655,0.524,0.524,0.655
RSCT,64,32,dynamic,12,163,0.721,0.59,0.59,0.721
RSCT,64,64,dynamic,14,329,0.655,0.524,0.524,0.655
