benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
TQH,1,8,dynamic,7517,6728,1154.81,1312.031,1312.031,1154.81
TQH,1,16,dynamic,7507,3300,1311.638,1311.572,1311.572,1311.638
TQH,1,32,dynamic,7537,1940,1211.171,1313.604,1313.604,1211.171
TQH,1,64,dynamic,7537,2525,1055.064,1313.604,1313.604,1055.064
TQH,4,8,dynamic,7517,6655,1133.052,1312.031,1312.031,1133.052
TQH,4,16,dynamic,7518,3366,1218.511,1312.293,1312.293,1218.511
TQH,4,32,dynamic,7520,1841,1258.029,1312.489,1312.489,1258.029
TQH,4,64,dynamic,7538,2488,1286.537,1313.735,1313.735,1286.537
TQH,16,8,dynamic,7545,6856,1087.504,1313.866,1313.866,1087.504
TQH,16,16,dynamic,7531,4048,1201.603,1313.145,1313.145,1201.603
TQH,16,32,dynamic,7532,2084,896.991,1313.276,1313.276,896.991
TQH,16,64,dynamic,7553,2131,1022.951,1314.652,1314.652,1022.951
TQH,32,8,dynamic,7517,6661,1312.162,1312.096,1312.096,1312.162
TQH,32,16,dynamic,7521,3575,1223.557,1312.555,1312.555,1223.557
TQH,32,32,dynamic,7521,2745,1283.26,1312.555,1312.555,1283.26
TQH,32,64,dynamic,7535,2639,981.402,1313.473,1313.473,981.402
TQH,64,8,dynamic,7518,6543,1207.042,1312.096,1312.096,1207.042
TQH,64,16,dynamic,7517,3637,1197.277,1312.293,1312.293,1197.277
TQH,64,32,dynamic,7509,2267,1092.289,1311.9,1311.9,1092.289
TQH,64,64,dynamic,7528,2477,1152.778,1313.079,1313.079,1152.778
