benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
TRNS,1,8,dynamic,13720,28247,1103.888,1080.295,1080.295,1103.888
TRNS,1,16,dynamic,11965,29816,1283.391,1274.02,1274.02,1283.391
TRNS,1,32,dynamic,10814,9834,1564.672,1559.495,1559.495,1564.672
TRNS,1,64,dynamic,28629,29346,6800.605,6797.656,6797.656,6800.605
TRNS,4,8,dynamic,26333,15410,1254.097,1227.031,1227.031,1254.097
TRNS,4,16,dynamic,21486,24000,1259.209,1240.465,1240.465,1259.209
TRNS,4,32,dynamic,14712,45226,1099.301,1087.898,1087.898,1099.301
TRNS,4,64,dynamic,10796,31067,1136.46,1134.756,1134.756,1136.46
TRNS,16,8,dynamic,24641,10998,443.089,424.149,424.149,443.089
TRNS,16,16,dynamic,18990,16090,529.007,515.899,515.899,529.007
TRNS,16,32,dynamic,14661,25358,656.736,653.918,653.918,656.736
TRNS,16,64,dynamic,13873,26177,765.46,763.56,763.56,765.46
TRNS,32,8,dynamic,15052,7807,273.285,263.586,263.586,273.285
TRNS,32,16,dynamic,12517,12751,431.555,427.753,427.753,431.555
TRNS,32,32,dynamic,15960,20018,728.564,726.335,726.335,728.564
TRNS,32,64,dynamic,16003,23836,774.046,772.669,772.669,774.046
TRNS,64,8,dynamic,14509,5648,291.504,288.883,288.883,291.504
TRNS,64,16,dynamic,20960,11496,639.697,636.551,636.551,639.697
TRNS,64,32,dynamic,26065,17128,1290.011,1288.962,1288.962,1290.011
TRNS,64,64,dynamic,26625,18746,1314.521,1313.407,1313.407,1314.521
