benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
BS,1,8,0.0,NA,0.077120,NA,NA
BS,1,8,0.1,NA,0.066848,NA,NA
BS,1,8,0.25,NA,0.069152,NA,NA
BS,1,8,0.5,NA,0.092704,NA,NA
BS,1,8,0.75,NA,0.077696,NA,NA
BS,1,8,0.9,NA,0.063648,NA,NA
BS,1,8,1.0,NA,0.063200,NA,NA
BS,1,16,0.0,NA,0.065024,NA,NA
BS,1,16,0.1,NA,0.088128,NA,NA
BS,1,16,0.25,NA,0.092032,NA,NA
BS,1,16,0.5,NA,0.063072,NA,NA
BS,1,16,0.75,NA,0.060512,NA,NA
BS,1,16,0.9,NA,0.066720,NA,NA
BS,1,16,1.0,NA,0.075552,NA,NA
BS,1,32,0.0,NA,0.064832,NA,NA
BS,1,32,0.1,NA,0.086944,NA,NA
BS,1,32,0.25,NA,0.106720,NA,NA
BS,1,32,0.5,NA,0.062528,NA,NA
BS,1,32,0.75,NA,0.064704,NA,NA
BS,1,32,0.9,NA,0.060800,NA,NA
BS,1,32,1.0,NA,0.063872,NA,NA
BS,1,64,0.0,NA,0.081120,NA,NA
BS,1,64,0.1,NA,0.064384,NA,NA
BS,1,64,0.25,NA,0.090272,NA,NA
BS,1,64,0.5,NA,0.064000,NA,NA
BS,1,64,0.75,NA,0.066528,NA,NA
BS,1,64,0.9,NA,0.076768,NA,NA
BS,1,64,1.0,NA,0.061824,NA,NA
BS,4,8,0.0,NA,0.075936,NA,NA
BS,4,8,0.1,NA,0.063104,NA,NA
BS,4,8,0.25,NA,0.066144,NA,NA
BS,4,8,0.5,NA,0.078272,NA,NA
BS,4,8,0.75,NA,0.071840,NA,NA
BS,4,8,0.9,NA,0.064512,NA,NA
BS,4,8,1.0,NA,0.061536,NA,NA
BS,4,16,0.0,NA,0.062400,NA,NA
BS,4,16,0.1,NA,0.066176,NA,NA
BS,4,16,0.25,NA,0.064352,NA,NA
BS,4,16,0.5,NA,0.094176,NA,NA
BS,4,16,0.75,NA,0.064896,NA,NA
BS,4,16,0.9,NA,0.061664,NA,NA
BS,4,16,1.0,NA,0.064672,NA,NA
BS,4,32,0.0,NA,0.075712,NA,NA
BS,4,32,0.1,NA,0.073984,NA,NA
BS,4,32,0.25,NA,0.065504,NA,NA
BS,4,32,0.5,NA,0.063872,NA,NA
BS,4,32,0.75,NA,0.072064,NA,NA
BS,4,32,0.9,NA,0.093184,NA,NA
BS,4,32,1.0,NA,0.067104,NA,NA
BS,4,64,0.0,NA,0.064128,NA,NA
