benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
HSTI,1,8,0.0,0.14668,0.06704,38.906464,0.357376
HSTI,1,8,0.1,0.702059,0.066112,34.805183,0.380288
HSTI,1,8,0.25,1.556685,0.0744,34.036705,0.345472
HSTI,1,8,0.5,2.926776,0.073664,35.334431,0.32368
HSTI,1,8,0.75,4.295339,0.05904,33.490433,0.348352
HSTI,1,8,0.9,5.125539,0.074144,33.430721,0.320864
HSTI,1,8,1.0,5.658652,0.069408,33.571201,0.339904
HSTI,1,16,0.0,0.140666,0.07648,33.682079,0.35776
HSTI,1,16,0.1,0.736149,0.079968,35.011806,0.380416
HSTI,1,16,0.25,1.55337,0.07088,37.658657,0.366016
HSTI,1,16,0.5,2.912462,0.063296,37.045601,0.332224
HSTI,1,16,0.75,4.286828,0.06176,35.140961,0.330464
HSTI,1,16,0.9,5.163468,0.061536,36.684193,0.30912
HSTI,1,16,1.0,5.666984,0.064768,35.23328,0.330112
HSTI,1,32,0.0,0.143302,0.0648,35.23053,0.35984
HSTI,1,32,0.1,0.754368,0.06,34.704224,0.355232
HSTI,1,32,0.25,1.575413,0.076128,34.548832,0.44096
HSTI,1,32,0.5,2.931965,0.07264,36.602402,0.356064
HSTI,1,32,0.75,4.281384,0.073568,33.684479,0.362176
HSTI,1,32,0.9,5.150555,0.074752,34.676704,0.332608
HSTI,1,32,1.0,5.658941,0.061856,33.612129,0.343104
HSTI,1,64,0.0,0.138122,0.060832,34.560162,0.344032
HSTI,1,64,0.1,0.755678,0.074816,39.532959,0.36944
HSTI,1,64,0.25,1.557083,0.076224,34.892574,0.357536
HSTI,1,64,0.5,2.918891,0.063072,34.097954,0.339872
HSTI,1,64,0.75,4.296867,0.100256,37.056927,0.333376
HSTI,1,64,0.9,5.136395,0.089376,33.216831,0.33648
HSTI,1,64,1.0,5.688226,0.07392,34.627903,0.320416
HSTI,4,8,0.0,0.262382,0.065376,33.814175,0.361888
HSTI,4,8,0.1,0.373595,0.0712,34.555904,0.353376
HSTI,4,8,0.25,0.591526,0.061792,34.223713,0.355904
HSTI,4,8,0.5,1.034117,0.067552,36.11536,0.316512
HSTI,4,8,0.75,1.385966,0.058336,35.78656,0.34848
HSTI,4,8,0.9,1.64621,0.064128,34.191486,0.331616
HSTI,4,8,1.0,1.704291,0.062432,34.766304,0.311264
HSTI,4,16,0.0,0.247299,0.075968,34.283329,0.386528
HSTI,4,16,0.1,0.369891,0.060768,33.412224,0.362368
HSTI,4,16,0.25,0.590003,0.061312,33.862495,0.34848
HSTI,4,16,0.5,1.024326,0.069312,35.559296,0.32464
HSTI,4,16,0.75,1.371827,0.086624,34.451809,0.33376
HSTI,4,16,0.9,1.67988,0.062496,35.988194,0.305248
HSTI,4,16,1.0,1.697552,0.058976,34.364414,0.313856
HSTI,4,32,0.0,0.261418,0.095232,33.61792,0.347104
HSTI,4,32,0.1,0.373736,0.069408,39.138752,0.343744
HSTI,4,32,0.25,0.607826,0.097952,34.28368,0.357472
HSTI,4,32,0.5,1.031853,0.074336,33.98061,0.35232
HSTI,4,32,0.75,1.363899,0.069024,33.902367,0.315168
HSTI,4,32,0.9,1.6786,0.079712,35.166622,0.317696
HSTI,4,32,1.0,1.713325,0.065664,34.346848,0.30896
HSTI,4,64,0.0,0.252256,0.06256,40.148094,0.37184
HSTI,4,64,0.1,0.383147,0.079264,34.525215,0.391488
HSTI,4,64,0.25,0.601101,0.063008,34.653057,0.359136
HSTI,4,64,0.5,1.033619,0.063104,35.40435,0.332416
HSTI,4,64,0.75,1.368326,0.06224,34.228031,0.338656
HSTI,4,64,0.9,1.674914,0.087808,34.164894,0.312
HSTI,4,64,1.0,1.693021,0.066112,35.314014,0.315456
HSTI,16,8,0.0,0.989046,0.062944,34.489662,0.335808
HSTI,16,8,0.1,1.266883,0.098016,33.235455,0.340448
HSTI,16,8,0.25,1.209909,0.06272,38.56739,0.345536
HSTI,16,8,0.5,1.342654,0.064096,35.199295,0.339392
HSTI,16,8,0.75,1.375456,0.065056,34.277119,0.391872
HSTI,16,8,0.9,1.747933,0.086656,36.071522,0.313472
HSTI,16,8,1.0,1.51851,0.1,34.565056,0.34512
HSTI,16,16,0.0,0.976824,0.065088,35.622784,0.473568
HSTI,16,16,0.1,1.237041,0.05872,35.423199,0.356096
HSTI,16,16,0.25,1.159755,0.063072,34.397152,0.341664
HSTI,16,16,0.5,1.37371,0.073184,34.090496,0.346848
HSTI,16,16,0.75,1.37667,0.065856,35.116577,0.36048
HSTI,16,16,0.9,1.738293,0.061344,33.682049,0.33616
HSTI,16,16,1.0,1.531128,0.06112,35.780415,0.336352
HSTI,16,32,0.0,0.95252,0.063776,34.881824,0.344512
HSTI,16,32,0.1,1.194131,0.062432,35.271103,0.372768
HSTI,16,32,0.25,1.189878,0.062784,35.059105,0.345056
HSTI,16,32,0.5,1.323275,0.071168,35.387424,0.36
HSTI,16,32,0.75,1.360109,0.068544,33.782593,0.325696
HSTI,16,32,0.9,1.734864,0.06304,34.518879,0.354464
HSTI,16,32,1.0,1.517245,0.06304,34.52813,0.338752
HSTI,16,64,0.0,0.956832,0.070592,35.714367,0.338304
HSTI,16,64,0.1,1.136946,0.063936,35.613888,0.363968
HSTI,16,64,0.25,1.15051,0.06064,33.566814,0.335872
HSTI,16,64,0.5,1.322824,0.070272,34.097218,0.343104
HSTI,16,64,0.75,1.343075,0.07136,36.743649,0.3248
HSTI,16,64,0.9,1.661797,0.076544,34.603935,0.344544
HSTI,16,64,1.0,1.466451,0.073344,34.558048,0.310976
HSTI,32,8,0.0,1.75615,0.062624,37.647232,0.363968
HSTI,32,8,0.1,2.003847,0.063776,34.732544,0.378752
HSTI,32,8,0.25,1.954101,0.062912,34.592705,0.367744
HSTI,32,8,0.5,1.99008,0.064768,36.041344,0.350336
HSTI,32,8,0.75,2.066543,0.081952,33.583839,0.33376
HSTI,32,8,0.9,2.450802,0.062848,39.188416,0.364672
HSTI,32,8,1.0,2.184675,0.058688,34.493759,0.355936
HSTI,32,16,0.0,1.702386,0.094496,33.771458,0.353856
HSTI,32,16,0.1,1.976989,0.062528,34.729057,0.361184
HSTI,32,16,0.25,1.933159,0.07104,37.438847,0.404768
HSTI,32,16,0.5,1.995796,0.064384,33.325695,0.3544
HSTI,32,16,0.75,2.084192,0.0632,35.890049,0.371392
HSTI,32,16,0.9,2.4168,0.062688,34.450401,0.3632
HSTI,32,16,1.0,2.119723,0.07424,36.047649,0.379904
HSTI,32,32,0.0,1.685891,0.062912,33.684959,0.38368
HSTI,32,32,0.1,1.883167,0.065024,33.996288,0.359808
HSTI,32,32,0.25,1.874072,0.069696,34.546398,0.352928
HSTI,32,32,0.5,2.006646,0.062464,34.135326,0.36128
HSTI,32,32,0.75,2.088223,0.072672,35.020832,0.362656
HSTI,32,32,0.9,2.383397,0.063872,34.205345,0.358752
HSTI,32,32,1.0,2.147094,0.072384,33.828991,0.344576
HSTI,32,64,0.0,1.709871,0.061952,35.250366,0.354176
HSTI,32,64,0.1,1.89705,0.060224,33.425758,0.383072
HSTI,32,64,0.25,1.832034,0.07024,36.120415,0.357216
HSTI,32,64,0.5,2.018893,0.063328,33.862785,0.391264
HSTI,32,64,0.75,2.097178,0.06208,33.920929,0.374336
HSTI,32,64,0.9,2.489835,0.063424,34.212448,0.361888
HSTI,32,64,1.0,2.163405,0.075008,34.313343,0.335456
HSTI,64,8,0.0,3.294267,0.080992,37.615906,0.36544
HSTI,64,8,0.1,3.512885,0.069472,33.970303,0.383552
HSTI,64,8,0.25,3.389813,0.063744,33.929153,0.3624
HSTI,64,8,0.5,3.583499,0.088672,34.659138,0.339712
HSTI,64,8,0.75,3.591128,0.07216,33.233887,0.371328
HSTI,64,8,0.9,3.917029,0.076544,34.173504,0.329792
HSTI,64,8,1.0,3.632691,0.060096,34.431393,0.378016
HSTI,64,16,0.0,3.354144,0.075232,36.248898,0.412064
HSTI,64,16,0.1,3.544608,0.062496,33.412895,0.369792
HSTI,64,16,0.25,3.408624,0.060672,33.277985,0.404288
HSTI,64,16,0.5,3.450757,0.062592,33.626816,0.352384
HSTI,64,16,0.75,3.531558,0.073792,33.355904,0.370944
HSTI,64,16,0.9,3.814662,0.060608,34.088512,0.394912
HSTI,64,16,1.0,3.644645,0.064288,34.316959,0.346816
HSTI,64,32,0.0,3.270217,0.060992,33.905025,0.357184
HSTI,64,32,0.1,3.453386,0.062816,33.120449,0.402336
HSTI,64,32,0.25,3.386418,0.061824,33.429985,0.377504
HSTI,64,32,0.5,3.462046,0.0616,33.478016,0.366208
HSTI,64,32,0.75,3.597586,0.060544,34.011105,0.357472
HSTI,64,32,0.9,3.913422,0.06288,34.307072,0.3856
HSTI,64,32,1.0,3.680597,0.078272,32.846622,0.375264
HSTI,64,64,0.0,3.321546,0.064224,35.420734,0.418944
HSTI,64,64,0.1,3.487881,0.065504,33.329025,0.384768
HSTI,64,64,0.25,3.338408,0.074336,33.760799,0.387936
HSTI,64,64,0.5,3.407144,0.074112,35.743839,0.368992
HSTI,64,64,0.75,3.573678,0.06064,33.292446,0.356384
HSTI,64,64,0.9,3.826561,0.0616,33.458561,0.377952
HSTI,64,64,1.0,3.723336,0.060608,34.785919,0.374336
