benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
HSTO,1,8,0.0,3.587715,0.086368,35.544769,0.402528
HSTO,1,8,0.1,6.611089,0.070528,37.513824,NA
HSTO,1,8,0.25,6.823185,0.059968,34.524418,0.412192
HSTO,1,8,0.5,5.818814,0.070976,35.001183,0.401152
HSTO,1,8,0.75,5.703052,0.070016,34.34531,0.410752
HSTO,1,8,0.9,5.733387,0.060128,36.943104,NA
HSTO,1,8,1.0,5.614671,0.078272,32.897758,0.389664
HSTO,1,16,0.0,3.762418,0.06752,38.091618,0.449536
HSTO,1,16,0.1,6.117044,0.059296,35.448704,NA
HSTO,1,16,0.25,6.746334,0.061632,33.642559,0.3832
HSTO,1,16,0.5,5.850728,0.059008,33.655872,0.38496
HSTO,1,16,0.75,6.292438,0.07024,35.593121,0.39648
HSTO,1,16,0.9,6.021531,0.06016,35.050785,NA
HSTO,1,16,1.0,5.740054,0.059808,33.599041,0.392608
HSTO,1,32,0.0,4.072163,0.067872,33.976734,0.415104
HSTO,1,32,0.1,6.547476,0.067712,35.013214,NA
HSTO,1,32,0.25,7.029413,0.057472,34.450943,0.410304
HSTO,1,32,0.5,6.193344,0.062848,38.240704,0.403168
HSTO,1,32,0.75,5.932192,0.062432,34.991264,0.379488
HSTO,1,32,0.9,5.717424,0.068416,33.43837,NA
HSTO,1,32,1.0,5.698301,0.05952,33.605343,0.372064
HSTO,1,64,0.0,3.687366,0.064576,33.933441,0.387872
HSTO,1,64,0.1,6.718678,0.071136,33.554527,NA
HSTO,1,64,0.25,6.777384,0.070496,33.748863,0.375584
HSTO,1,64,0.5,5.854685,0.058368,33.591648,0.414752
HSTO,1,64,0.75,5.695661,0.06912,35.015617,0.414752
HSTO,1,64,0.9,5.89043,0.063872,35.05632,NA
HSTO,1,64,1.0,5.451373,0.060192,35.059326,0.408192
HSTO,4,8,0.0,3.941051,0.060704,32.792416,0.39648
HSTO,4,8,0.1,5.537721,0.06224,33.501247,NA
HSTO,4,8,0.25,6.216917,0.068256,34.244064,0.371552
HSTO,4,8,0.5,6.753606,0.057408,33.409313,0.357696
HSTO,4,8,0.75,6.892289,0.067072,33.577953,0.360704
HSTO,4,8,0.9,6.661846,0.079456,34.186111,NA
HSTO,4,8,1.0,6.817188,0.056448,35.377537,0.368896
HSTO,4,16,0.0,3.677112,0.071968,38.916447,0.423936
HSTO,4,16,0.1,5.517849,0.05712,33.680286,NA
HSTO,4,16,0.25,6.243505,0.061824,34.191902,0.392256
HSTO,4,16,0.5,6.737411,0.072608,33.137024,0.36832
HSTO,4,16,0.75,6.924468,0.071584,34.180321,0.393856
HSTO,4,16,0.9,6.67719,0.067488,33.392769,NA
HSTO,4,16,1.0,6.802181,0.060416,33.661217,0.358016
HSTO,4,32,0.0,4.00984,0.058848,34.011776,0.375136
HSTO,4,32,0.1,5.515937,0.062496,33.728577,NA
HSTO,4,32,0.25,6.241325,0.063072,33.953342,0.376576
HSTO,4,32,0.5,6.776753,0.069536,33.732288,0.341568
HSTO,4,32,0.75,6.870255,0.070016,35.735168,0.350688
HSTO,4,32,0.9,6.620213,0.05776,34.411999,NA
HSTO,4,32,1.0,6.800698,0.058528,34.087841,0.347456
HSTO,4,64,0.0,4.132723,0.057472,34.773537,0.378624
HSTO,4,64,0.1,5.537822,0.069952,33.324127,NA
