benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
RSCT,1,8,dynamic,0.687234,3.340096,2.215392,0.259744
RSCT,1,16,dynamic,0.5216,5.735104,3.237216,0.260128
RSCT,1,32,dynamic,0.581451,2.66688,2.35808,0.277728
RSCT,1,64,dynamic,0.708048,2.696736,2.065376,0.255008
RSCT,4,8,dynamic,0.738582,2.60352,2.0888,0.246688
RSCT,4,16,dynamic,0.485949,2.390752,2.0248,0.277056
RSCT,4,32,dynamic,0.369632,2.71984,2.360992,0.26048
RSCT,4,64,dynamic,0.393926,2.651936,2.143584,0.254592
RSCT,16,8,dynamic,1.009472,3.455136,2.06544,0.26032
RSCT,16,16,dynamic,1.026528,3.051872,1.998496,0.274336
RSCT,16,32,dynamic,1.021443,3.097248,2.138016,0.287904
RSCT,16,64,dynamic,1.014792,2.897376,2.302304,0.26192
RSCT,32,8,dynamic,1.768621,2.6952,2.12256,0.25664
RSCT,32,16,dynamic,1.728946,2.995808,2.49472,0.290048
RSCT,32,32,dynamic,1.733926,2.485216,2.253664,0.278656
RSCT,32,64,dynamic,1.728245,2.8056,2.263008,0.260192
RSCT,64,8,dynamic,3.287549,2.529696,2.115904,0.281344
RSCT,64,16,dynamic,3.268525,2.82992,2.1952,0.307264
RSCT,64,32,dynamic,3.298612,3.879072,2.714048,0.278432
RSCT,64,64,dynamic,3.308192,3.002176,2.854016,0.275776
