benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
SC,1,8,0.0,1.246219,0.08944,45.490528,0.387168
SC,1,8,0.1,2.140915,0.104384,50.530079,0.509344
SC,1,8,0.25,4.165795,0.069824,44.957214,0.415584
SC,1,8,0.5,6.924473,0.067776,46.057407,0.406624
SC,1,8,0.75,9.570997,0.068928,43.562881,0.469568
SC,1,8,0.9,11.183806,0.08064,43.912319,0.45888
SC,1,8,1.0,12.109304,0.08176,43.123905,0.38816
SC,1,16,0.0,0.894912,0.076832,42.74976,0.353824
SC,1,16,0.1,1.688421,0.07824,43.611263,0.493856
SC,1,16,0.25,3.824266,0.074112,43.855873,0.4152
SC,1,16,0.5,6.654485,0.082016,45.381824,0.386976
SC,1,16,0.75,9.411357,0.078816,43.101665,0.43024
SC,1,16,0.9,11.095813,0.0648,40.844994,0.408896
SC,1,16,1.0,12.161184,0.067136,43.69939,0.399904
SC,1,32,0.0,0.362302,0.093472,41.090466,0.437504
SC,1,32,0.1,1.523294,0.078304,43.837345,0.439104
SC,1,32,0.25,3.580403,0.073408,44.507679,0.452352
SC,1,32,0.5,6.503403,0.070656,46.548447,0.4248
SC,1,32,0.75,9.210752,0.067328,45.662785,0.463456
SC,1,32,0.9,11.097452,0.063776,45.618336,0.413696
SC,1,32,1.0,12.105357,0.065216,41.963711,0.398144
SC,1,64,0.0,0.148718,0.079168,43.702816,0.4312
SC,1,64,0.1,1.358102,0.068672,41.555168,0.470656
SC,1,64,0.25,3.432502,0.06688,47.140385,0.44368
SC,1,64,0.5,6.208656,0.067648,45.799263,0.430208
SC,1,64,0.75,9.22813,0.078528,45.625057,0.394208
SC,1,64,0.9,11.103223,0.068512,43.896896,0.426528
SC,1,64,1.0,12.115329,0.079264,43.266815,0.41136
SC,4,8,0.0,1.443048,0.091904,42.012032,0.352768
SC,4,8,0.1,1.088838,0.084192,41.886974,0.419136
SC,4,8,0.25,2.054281,0.071328,43.42691,0.41824
SC,4,8,0.5,2.526406,0.08496,44.932961,0.405504
SC,4,8,0.75,3.024824,0.083584,42.892769,0.452224
SC,4,8,0.9,3.090894,0.06928,46.262623,0.431936
SC,4,8,1.0,3.375798,0.069696,42.014111,0.384928
SC,4,16,0.0,1.084085,0.07232,43.515778,0.41264
SC,4,16,0.1,0.74013,0.078368,43.462654,0.476032
SC,4,16,0.25,1.677744,0.076672,42.498016,0.436832
SC,4,16,0.5,2.252029,0.065472,46.55875,0.448704
SC,4,16,0.75,2.788278,0.06464,45.578175,0.397888
SC,4,16,0.9,3.226725,0.071392,42.98304,0.395008
SC,4,16,1.0,3.402666,0.084832,44.146336,0.387072
SC,4,32,0.0,0.855442,0.06784,43.426144,0.36336
SC,4,32,0.1,0.585699,0.078368,43.192127,0.44752
SC,4,32,0.25,1.079326,0.079136,43.305473,0.44512
SC,4,32,0.5,2.076001,0.08208,45.809055,0.427648
SC,4,32,0.75,2.692659,0.065344,41.684513,0.393088
SC,4,32,0.9,3.235025,0.071008,45.162079,0.405024
SC,4,32,1.0,3.398683,0.072896,42.385185,0.421312
SC,4,64,0.0,0.670613,0.07136,52.534657,0.382432
SC,4,64,0.1,0.563349,0.064288,42.555138,0.455136
SC,4,64,0.25,1.268384,0.0808,44.723583,0.429888
SC,4,64,0.5,1.939189,0.069792,45.039871,0.41424
SC,4,64,0.75,2.676241,0.078592,45.133663,0.406848
SC,4,64,0.9,3.207675,0.070656,42.144066,0.430048
SC,4,64,1.0,3.390978,0.066592,43.282913,0.353024
SC,16,8,0.0,1.718499,0.087712,38.686977,0.386112
SC,16,8,0.1,1.064467,0.069024,44.126049,0.48128
SC,16,8,0.25,2.152378,0.069152,41.859745,0.481248
SC,16,8,0.5,2.196126,0.070688,42.703678,0.411584
SC,16,8,0.75,2.215923,0.072608,43.82048,0.4432
SC,16,8,0.9,2.143504,0.079904,44.533535,0.453984
SC,16,8,1.0,2.092098,0.071104,40.684994,0.394368
SC,16,16,0.0,1.584969,0.065216,42.346561,0.375552
SC,16,16,0.1,1.458386,0.092096,43.779041,0.457376
SC,16,16,0.25,1.921685,0.074528,47.276482,0.400544
SC,16,16,0.5,2.100077,0.06992,41.928959,0.419168
SC,16,16,0.75,2.052546,0.06592,42.302368,0.490944
SC,16,16,0.9,2.09805,0.096512,43.292,0.485888
SC,16,16,1.0,2.092869,0.068064,41.298016,0.36928
SC,16,32,0.0,1.432971,0.065472,41.650784,0.377952
SC,16,32,0.1,1.288122,0.066144,42.900383,0.461056
SC,16,32,0.25,1.778422,0.06848,44.94976,0.406208
SC,16,32,0.5,1.919114,0.092768,44.433601,0.446656
SC,16,32,0.75,2.005405,0.066464,45.013313,0.429856
SC,16,32,0.9,2.105941,0.073568,42.255905,0.45152
SC,16,32,1.0,2.077346,0.081568,44.060322,0.367712
SC,16,64,0.0,1.237751,0.068608,44.900864,0.382336
SC,16,64,0.1,1.005944,0.076992,41.860416,0.48832
SC,16,64,0.25,1.738083,0.065152,43.9776,0.455808
SC,16,64,0.5,1.764688,0.073792,45.954624,0.447584
SC,16,64,0.75,1.969733,0.090144,43.963585,0.42112
SC,16,64,0.9,2.079463,0.066912,42.818562,0.428928
SC,16,64,1.0,2.098137,0.082464,42.223488,0.38352
SC,32,8,0.0,2.595746,0.073504,44.269409,0.396096
SC,32,8,0.1,2.483256,0.069824,42.838943,0.456704
SC,32,8,0.25,2.524457,0.082688,46.235073,0.431616
SC,32,8,0.5,3.239101,0.065248,41.686367,0.455744
SC,32,8,0.75,3.191535,0.067328,45.435169,0.410784
SC,32,8,0.9,3.103549,0.071104,43.426849,0.427424
SC,32,8,1.0,2.9594,0.069632,42.717697,0.409536
SC,32,16,0.0,2.435432,0.077216,42.323296,0.376096
SC,32,16,0.1,2.225605,0.07872,44.488609,0.482208
SC,32,16,0.25,2.436648,0.06576,41.001793,0.433344
SC,32,16,0.5,3.048934,0.068768,45.243458,0.43952
SC,32,16,0.75,3.031939,0.077248,41.85136,0.433536
SC,32,16,0.9,3.04092,0.093216,45.517025,0.480064
SC,32,16,1.0,2.957099,0.080416,42.916641,0.399488
SC,32,32,0.0,2.199646,0.08656,41.565857,0.404384
SC,32,32,0.1,2.022393,0.069536,45.978462,0.46928
SC,32,32,0.25,2.370035,0.075072,44.914688,0.418496
SC,32,32,0.5,3.056344,0.067264,41.868446,0.47184
SC,32,32,0.75,2.981214,0.096832,43.04512,0.42608
SC,32,32,0.9,3.050714,0.077824,41.428001,0.438688
SC,32,32,1.0,2.99444,0.069216,42.326847,0.42352
SC,32,64,0.0,1.944192,0.06368,42.183582,0.412128
SC,32,64,0.1,1.898848,0.06672,44.648514,0.525888
SC,32,64,0.25,2.20162,0.080704,42.946175,0.436704
SC,32,64,0.5,2.850656,0.064928,44.119488,0.44192
SC,32,64,0.75,2.934389,0.0832,44.048481,0.494592
SC,32,64,0.9,3.030409,0.068352,42.377121,0.448064
SC,32,64,1.0,2.9482,0.07952,42.933472,0.415808
SC,64,8,0.0,4.142901,0.065792,40.830399,0.390656
SC,64,8,0.1,4.056212,0.076672,42.390175,0.445728
SC,64,8,0.25,4.223418,0.066144,43.709152,0.4392
SC,64,8,0.5,4.020944,0.077632,41.857792,0.436864
SC,64,8,0.75,4.739264,0.091392,45.452831,0.496608
SC,64,8,0.9,5.11773,0.068416,43.976894,0.461344
SC,64,8,1.0,5.323859,0.06496,45.0928,0.40464
SC,64,16,0.0,3.976151,0.084416,44.891582,0.39232
SC,64,16,0.1,3.803874,0.089024,43.166466,0.461248
SC,64,16,0.25,4.017408,0.082912,44.492287,0.434176
SC,64,16,0.5,3.855981,0.099424,44.587456,0.49344
SC,64,16,0.75,4.572347,0.065344,41.803871,0.445856
SC,64,16,0.9,4.945464,0.067424,42.701378,0.494752
SC,64,16,1.0,5.14001,0.076032,41.773697,0.456608
SC,64,32,0.0,3.806835,0.067904,44.849918,0.441856
SC,64,32,0.1,3.612626,0.066528,41.757313,0.478848
SC,64,32,0.25,3.859746,0.068064,42.99136,0.41856
SC,64,32,0.5,3.777077,0.08816,47.053055,0.470624
SC,64,32,0.75,4.50736,0.0664,43.955231,0.45456
SC,64,32,0.9,5.11849,0.076928,42.287136,0.439392
SC,64,32,1.0,5.132973,0.065696,43.61491,0.422528
SC,64,64,0.0,3.519989,0.08064,43.383167,0.422272
SC,64,64,0.1,3.76724,0.0672,44.831425,0.422784
SC,64,64,0.25,3.76637,0.065824,43.537823,0.438848
SC,64,64,0.5,3.633651,0.077152,44.726368,0.506912
SC,64,64,0.75,4.486751,0.10448,45.150623,0.453696
SC,64,64,0.9,5.064474,0.070208,45.66291,0.471072
SC,64,64,1.0,5.200333,0.076416,41.098145,0.419936
