benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
SSSP,1,8,dynamic,52.684368,0.136512,112.258881,0.842368
SSSP,1,16,dynamic,31.96698,0.130112,113.091934,0.770048
SSSP,1,32,dynamic,22.448904,0.128576,111.428513,0.797376
SSSP,1,64,dynamic,17.579823,0.125248,114.273567,0.787584
SSSP,4,8,dynamic,53.52758,0.134336,112.58448,0.851392
SSSP,4,16,dynamic,32.957756,0.132736,112.249313,0.795616
SSSP,4,32,dynamic,23.332237,0.131488,115.372353,0.777472
SSSP,4,64,dynamic,18.465424,0.11792,113.473091,0.79856
SSSP,16,8,dynamic,54.187855,0.146784,111.726624,0.812
SSSP,16,16,dynamic,33.941986,0.125088,112.524284,0.76528
SSSP,16,32,dynamic,24.334526,0.12048,112.048836,0.854656
SSSP,16,64,dynamic,20.003727,0.122496,112.651039,0.82032
SSSP,32,8,dynamic,55.655968,0.127904,111.609406,0.822368
SSSP,32,16,dynamic,35.430687,0.1456,112.7752,0.834976
SSSP,32,32,dynamic,25.857883,0.137024,111.147743,0.85232
SSSP,32,64,dynamic,21.273794,0.132,114.469185,0.841152
SSSP,64,8,dynamic,4628.959961,0.14112,111.921539,0.872704
SSSP,64,16,dynamic,4758.760742,0.13168,113.013664,0.925632
SSSP,64,32,dynamic,4691.206055,0.126208,113.105568,0.952832
SSSP,64,64,dynamic,4853.758789,0.142112,114.045891,0.910848
