benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
TQ,1,8,dynamic,2.241824,0.066048,3.557472,0.24944
TQ,1,16,dynamic,1.342667,0.067456,2.781856,0.2568
TQ,1,32,dynamic,0.708862,0.0664,3.008768,0.241856
TQ,1,64,dynamic,0.417282,0.065152,2.59168,0.269088
TQ,4,8,dynamic,2.555394,0.064416,3.860576,0.26432
TQ,4,16,dynamic,1.359877,0.06368,2.78192,0.250112
TQ,4,32,dynamic,0.79544,0.090624,2.870816,0.2408
TQ,4,64,dynamic,0.477141,0.071456,2.902272,0.249152
TQ,16,8,dynamic,3.06907,0.065408,2.761376,0.246464
TQ,16,16,dynamic,1.786579,0.071776,3.228096,0.235776
TQ,16,32,dynamic,1.31105,0.064704,4.668672,NA
TQ,16,64,dynamic,1.313728,0.070016,4.152032,0.23712
TQ,32,8,dynamic,3.626659,0.066688,2.893504,0.255136
TQ,32,16,dynamic,2.632202,0.074304,3.472512,0.252192
TQ,32,32,dynamic,2.591426,0.082592,3.279584,0.25824
TQ,32,64,dynamic,2.191669,0.065472,2.814144,0.2488
TQ,64,8,dynamic,5.36557,0.064256,2.534016,0.276064
TQ,64,16,dynamic,4.996136,0.077216,2.809344,NA
TQ,64,32,dynamic,4.014496,0.0688,2.728832,0.254048
TQ,64,64,dynamic,3.687934,0.098432,4.928736,0.27536
