=== Chai Coherence Study ===
Host: 192-222-50-185
Date: Thu Jan 22 14:59:18 UTC 2026
GPU: NVIDIA GH200 480GB
CUDA: 
Threads: 1 4 16 32 64
GPU Blocks: 8 16 32 64
Partitions: 0.0 0.1 0.25 0.5 0.75 0.9 1.0
Warmup: 5, Reps: 20

=== Running BS (with partition + GPU blocks sweep) ===
  BS: threads=1, gpu_blocks=8, partition=0.0
  BS: threads=1, gpu_blocks=8, partition=0.1
  BS: threads=1, gpu_blocks=8, partition=0.25
  BS: threads=1, gpu_blocks=8, partition=0.5
  BS: threads=1, gpu_blocks=8, partition=0.75
  BS: threads=1, gpu_blocks=8, partition=0.9
  BS: threads=1, gpu_blocks=8, partition=1.0
  BS: threads=1, gpu_blocks=16, partition=0.0
  BS: threads=1, gpu_blocks=16, partition=0.1
  BS: threads=1, gpu_blocks=16, partition=0.25
  BS: threads=1, gpu_blocks=16, partition=0.5
  BS: threads=1, gpu_blocks=16, partition=0.75
  BS: threads=1, gpu_blocks=16, partition=0.9
  BS: threads=1, gpu_blocks=16, partition=1.0
  BS: threads=1, gpu_blocks=32, partition=0.0
  BS: threads=1, gpu_blocks=32, partition=0.1
  BS: threads=1, gpu_blocks=32, partition=0.25
  BS: threads=1, gpu_blocks=32, partition=0.5
  BS: threads=1, gpu_blocks=32, partition=0.75
  BS: threads=1, gpu_blocks=32, partition=0.9
  BS: threads=1, gpu_blocks=32, partition=1.0
  BS: threads=1, gpu_blocks=64, partition=0.0
  BS: threads=1, gpu_blocks=64, partition=0.1
  BS: threads=1, gpu_blocks=64, partition=0.25
  BS: threads=1, gpu_blocks=64, partition=0.5
  BS: threads=1, gpu_blocks=64, partition=0.75
  BS: threads=1, gpu_blocks=64, partition=0.9
  BS: threads=1, gpu_blocks=64, partition=1.0
  BS: threads=4, gpu_blocks=8, partition=0.0
  BS: threads=4, gpu_blocks=8, partition=0.1
  BS: threads=4, gpu_blocks=8, partition=0.25
  BS: threads=4, gpu_blocks=8, partition=0.5
  BS: threads=4, gpu_blocks=8, partition=0.75
  BS: threads=4, gpu_blocks=8, partition=0.9
  BS: threads=4, gpu_blocks=8, partition=1.0
  BS: threads=4, gpu_blocks=16, partition=0.0
  BS: threads=4, gpu_blocks=16, partition=0.1
  BS: threads=4, gpu_blocks=16, partition=0.25
  BS: threads=4, gpu_blocks=16, partition=0.5
  BS: threads=4, gpu_blocks=16, partition=0.75
  BS: threads=4, gpu_blocks=16, partition=0.9
  BS: threads=4, gpu_blocks=16, partition=1.0
  BS: threads=4, gpu_blocks=32, partition=0.0
  BS: threads=4, gpu_blocks=32, partition=0.1
  BS: threads=4, gpu_blocks=32, partition=0.25
  BS: threads=4, gpu_blocks=32, partition=0.5
  BS: threads=4, gpu_blocks=32, partition=0.75
  BS: threads=4, gpu_blocks=32, partition=0.9
  BS: threads=4, gpu_blocks=32, partition=1.0
  BS: threads=4, gpu_blocks=64, partition=0.0
  BS: threads=4, gpu_blocks=64, partition=0.1
  BS: threads=4, gpu_blocks=64, partition=0.25
  BS: threads=4, gpu_blocks=64, partition=0.5
  BS: threads=4, gpu_blocks=64, partition=0.75
  BS: threads=4, gpu_blocks=64, partition=0.9
  BS: threads=4, gpu_blocks=64, partition=1.0
  BS: threads=16, gpu_blocks=8, partition=0.0
  BS: threads=16, gpu_blocks=8, partition=0.1
  BS: threads=16, gpu_blocks=8, partition=0.25
  BS: threads=16, gpu_blocks=8, partition=0.5
  BS: threads=16, gpu_blocks=8, partition=0.75
  BS: threads=16, gpu_blocks=8, partition=0.9
  BS: threads=16, gpu_blocks=8, partition=1.0
  BS: threads=16, gpu_blocks=16, partition=0.0
  BS: threads=16, gpu_blocks=16, partition=0.1
  BS: threads=16, gpu_blocks=16, partition=0.25
  BS: threads=16, gpu_blocks=16, partition=0.5
  BS: threads=16, gpu_blocks=16, partition=0.75
  BS: threads=16, gpu_blocks=16, partition=0.9
  BS: threads=16, gpu_blocks=16, partition=1.0
  BS: threads=16, gpu_blocks=32, partition=0.0
  BS: threads=16, gpu_blocks=32, partition=0.1
  BS: threads=16, gpu_blocks=32, partition=0.25
  BS: threads=16, gpu_blocks=32, partition=0.5
  BS: threads=16, gpu_blocks=32, partition=0.75
  BS: threads=16, gpu_blocks=32, partition=0.9
  BS: threads=16, gpu_blocks=32, partition=1.0
  BS: threads=16, gpu_blocks=64, partition=0.0
  BS: threads=16, gpu_blocks=64, partition=0.1
  BS: threads=16, gpu_blocks=64, partition=0.25
  BS: threads=16, gpu_blocks=64, partition=0.5
  BS: threads=16, gpu_blocks=64, partition=0.75
  BS: threads=16, gpu_blocks=64, partition=0.9
  BS: threads=16, gpu_blocks=64, partition=1.0
  BS: threads=32, gpu_blocks=8, partition=0.0
  BS: threads=32, gpu_blocks=8, partition=0.1
  BS: threads=32, gpu_blocks=8, partition=0.25
  BS: threads=32, gpu_blocks=8, partition=0.5
  BS: threads=32, gpu_blocks=8, partition=0.75
  BS: threads=32, gpu_blocks=8, partition=0.9
  BS: threads=32, gpu_blocks=8, partition=1.0
  BS: threads=32, gpu_blocks=16, partition=0.0
  BS: threads=32, gpu_blocks=16, partition=0.1
  BS: threads=32, gpu_blocks=16, partition=0.25
  BS: threads=32, gpu_blocks=16, partition=0.5
  BS: threads=32, gpu_blocks=16, partition=0.75
  BS: threads=32, gpu_blocks=16, partition=0.9
  BS: threads=32, gpu_blocks=16, partition=1.0
  BS: threads=32, gpu_blocks=32, partition=0.0
  BS: threads=32, gpu_blocks=32, partition=0.1
  BS: threads=32, gpu_blocks=32, partition=0.25
  BS: threads=32, gpu_blocks=32, partition=0.5
  BS: threads=32, gpu_blocks=32, partition=0.75
  BS: threads=32, gpu_blocks=32, partition=0.9
  BS: threads=32, gpu_blocks=32, partition=1.0
  BS: threads=32, gpu_blocks=64, partition=0.0
  BS: threads=32, gpu_blocks=64, partition=0.1
  BS: threads=32, gpu_blocks=64, partition=0.25
  BS: threads=32, gpu_blocks=64, partition=0.5
  BS: threads=32, gpu_blocks=64, partition=0.75
  BS: threads=32, gpu_blocks=64, partition=0.9
  BS: threads=32, gpu_blocks=64, partition=1.0
  BS: threads=64, gpu_blocks=8, partition=0.0
  BS: threads=64, gpu_blocks=8, partition=0.1
  BS: threads=64, gpu_blocks=8, partition=0.25
  BS: threads=64, gpu_blocks=8, partition=0.5
  BS: threads=64, gpu_blocks=8, partition=0.75
  BS: threads=64, gpu_blocks=8, partition=0.9
  BS: threads=64, gpu_blocks=8, partition=1.0
  BS: threads=64, gpu_blocks=16, partition=0.0
  BS: threads=64, gpu_blocks=16, partition=0.1
  BS: threads=64, gpu_blocks=16, partition=0.25
  BS: threads=64, gpu_blocks=16, partition=0.5
  BS: threads=64, gpu_blocks=16, partition=0.75
  BS: threads=64, gpu_blocks=16, partition=0.9
  BS: threads=64, gpu_blocks=16, partition=1.0
  BS: threads=64, gpu_blocks=32, partition=0.0
  BS: threads=64, gpu_blocks=32, partition=0.1
  BS: threads=64, gpu_blocks=32, partition=0.25
  BS: threads=64, gpu_blocks=32, partition=0.5
  BS: threads=64, gpu_blocks=32, partition=0.75
  BS: threads=64, gpu_blocks=32, partition=0.9
  BS: threads=64, gpu_blocks=32, partition=1.0
  BS: threads=64, gpu_blocks=64, partition=0.0
  BS: threads=64, gpu_blocks=64, partition=0.1
  BS: threads=64, gpu_blocks=64, partition=0.25
  BS: threads=64, gpu_blocks=64, partition=0.5
  BS: threads=64, gpu_blocks=64, partition=0.75
  BS: threads=64, gpu_blocks=64, partition=0.9
  BS: threads=64, gpu_blocks=64, partition=1.0
  Results saved to results_192-222-50-185_20260122_145918/BS_results.csv
=== Running HSTI (with partition + GPU blocks sweep) ===
  HSTI: threads=1, gpu_blocks=8, partition=0.0
  HSTI: threads=1, gpu_blocks=8, partition=0.1
  HSTI: threads=1, gpu_blocks=8, partition=0.25
  HSTI: threads=1, gpu_blocks=8, partition=0.5
  HSTI: threads=1, gpu_blocks=8, partition=0.75
  HSTI: threads=1, gpu_blocks=8, partition=0.9
  HSTI: threads=1, gpu_blocks=8, partition=1.0
  HSTI: threads=1, gpu_blocks=16, partition=0.0
  HSTI: threads=1, gpu_blocks=16, partition=0.1
  HSTI: threads=1, gpu_blocks=16, partition=0.25
  HSTI: threads=1, gpu_blocks=16, partition=0.5
  HSTI: threads=1, gpu_blocks=16, partition=0.75
  HSTI: threads=1, gpu_blocks=16, partition=0.9
  HSTI: threads=1, gpu_blocks=16, partition=1.0
  HSTI: threads=1, gpu_blocks=32, partition=0.0
  HSTI: threads=1, gpu_blocks=32, partition=0.1
  HSTI: threads=1, gpu_blocks=32, partition=0.25
  HSTI: threads=1, gpu_blocks=32, partition=0.5
  HSTI: threads=1, gpu_blocks=32, partition=0.75
  HSTI: threads=1, gpu_blocks=32, partition=0.9
  HSTI: threads=1, gpu_blocks=32, partition=1.0
  HSTI: threads=1, gpu_blocks=64, partition=0.0
  HSTI: threads=1, gpu_blocks=64, partition=0.1
  HSTI: threads=1, gpu_blocks=64, partition=0.25
  HSTI: threads=1, gpu_blocks=64, partition=0.5
  HSTI: threads=1, gpu_blocks=64, partition=0.75
  HSTI: threads=1, gpu_blocks=64, partition=0.9
  HSTI: threads=1, gpu_blocks=64, partition=1.0
  HSTI: threads=4, gpu_blocks=8, partition=0.0
  HSTI: threads=4, gpu_blocks=8, partition=0.1
  HSTI: threads=4, gpu_blocks=8, partition=0.25
  HSTI: threads=4, gpu_blocks=8, partition=0.5
  HSTI: threads=4, gpu_blocks=8, partition=0.75
  HSTI: threads=4, gpu_blocks=8, partition=0.9
  HSTI: threads=4, gpu_blocks=8, partition=1.0
  HSTI: threads=4, gpu_blocks=16, partition=0.0
  HSTI: threads=4, gpu_blocks=16, partition=0.1
  HSTI: threads=4, gpu_blocks=16, partition=0.25
  HSTI: threads=4, gpu_blocks=16, partition=0.5
  HSTI: threads=4, gpu_blocks=16, partition=0.75
  HSTI: threads=4, gpu_blocks=16, partition=0.9
  HSTI: threads=4, gpu_blocks=16, partition=1.0
  HSTI: threads=4, gpu_blocks=32, partition=0.0
  HSTI: threads=4, gpu_blocks=32, partition=0.1
  HSTI: threads=4, gpu_blocks=32, partition=0.25
  HSTI: threads=4, gpu_blocks=32, partition=0.5
  HSTI: threads=4, gpu_blocks=32, partition=0.75
  HSTI: threads=4, gpu_blocks=32, partition=0.9
  HSTI: threads=4, gpu_blocks=32, partition=1.0
  HSTI: threads=4, gpu_blocks=64, partition=0.0
  HSTI: threads=4, gpu_blocks=64, partition=0.1
  HSTI: threads=4, gpu_blocks=64, partition=0.25
  HSTI: threads=4, gpu_blocks=64, partition=0.5
  HSTI: threads=4, gpu_blocks=64, partition=0.75
  HSTI: threads=4, gpu_blocks=64, partition=0.9
  HSTI: threads=4, gpu_blocks=64, partition=1.0
  HSTI: threads=16, gpu_blocks=8, partition=0.0
  HSTI: threads=16, gpu_blocks=8, partition=0.1
  HSTI: threads=16, gpu_blocks=8, partition=0.25
