benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
BFS,1,8,dynamic,200,745,28.246,20.447,20.447,28.246
BFS,1,16,dynamic,211,800,29.819,22.02,22.02,29.819
BFS,1,32,dynamic,207,824,29.229,21.43,21.43,29.229
BFS,1,64,dynamic,205,1055,28.508,20.709,20.709,28.508
BFS,4,8,dynamic,511,886,29.098,21.299,21.299,29.098
BFS,4,16,dynamic,460,783,27.591,19.792,19.792,27.591
BFS,4,32,dynamic,486,922,29.426,21.627,21.627,29.426
BFS,4,64,dynamic,508,1097,30.081,22.282,22.282,30.081
BFS,16,8,dynamic,1112,846,28.836,21.037,21.037,28.836
BFS,16,16,dynamic,1498,1427,34.996,27.197,27.197,34.996
BFS,16,32,dynamic,1425,1328,33.686,25.887,25.887,33.686
BFS,16,64,dynamic,1291,1450,32.44,24.642,24.642,32.44
BFS,32,8,dynamic,1580,1268,31.457,23.658,23.658,31.457
BFS,32,16,dynamic,2016,1271,35.521,27.722,27.722,35.521
BFS,32,32,dynamic,2444,2185,41.878,34.21,34.21,41.878
BFS,32,64,dynamic,1819,1816,33.62,25.821,25.821,33.62
BFS,64,8,dynamic,12006,3796,69.927,60.752,60.752,69.927
BFS,64,16,dynamic,12290,4787,74.121,64.881,64.881,74.121
BFS,64,32,dynamic,12015,7030,68.682,59.572,59.572,68.682
BFS,64,64,dynamic,13013,11490,65.602,56.492,56.492,65.602
