
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BFS_t64_g64_adynamic.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BFS_t64_g64_adynamic.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BFS_t64_g64_adynamic.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xEF72E0B10000,3.932,2.949,,,182546.596
0xEF72E0020000,0.918,,1,,160178.766
0xEF72E0530000,0.852,,,,158475.420
0xEF72E0C60000,,1.835,,,140225.806
0xEF72E0CA0000,,0.918,,,135886.012
0xEF72E0740000,0.524,,,,112219.128
0xEF72E0810000,0.721,,1,,105271.001
0xEF72E0AA0000,,0.262,,,101135.679
0xEF72E0120000,0.393,,,,95255.790
0xEF72E0660000,0.328,,,,93090.611

