benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
BS,1,8,0.0,9,283,0.066,2.228,2.228,0.066
BS,1,8,0.1,21,334,1.049,3.211,3.211,1.049
BS,1,8,0.25,29,579,3.539,5.571,5.571,3.539
BS,1,8,0.5,18,777,3.604,4.784,4.784,3.604
BS,1,8,0.75,15,326,1.835,2.425,2.425,1.835
BS,1,8,0.9,15,153,1.049,1.376,1.376,1.049
BS,1,8,1.0,12,65,0.262,0.262,0.262,0.262
BS,1,16,0.0,9,698,0.066,2.228,2.228,0.066
BS,1,16,0.1,21,573,1.049,3.211,3.211,1.049
BS,1,16,0.25,27,872,3.408,5.571,5.571,3.408
BS,1,16,0.5,18,1006,3.604,4.784,4.784,3.604
BS,1,16,0.75,15,711,1.835,2.425,2.425,1.835
BS,1,16,0.9,16,345,1.049,1.376,1.376,1.049
BS,1,16,1.0,12,129,0.262,0.262,0.262,0.262
BS,1,32,0.0,9,590,0.066,2.228,2.228,0.066
BS,1,32,0.1,21,514,1.049,3.211,3.211,1.049
BS,1,32,0.25,27,962,3.408,5.571,5.571,3.408
BS,1,32,0.5,18,1068,3.604,4.784,4.784,3.604
BS,1,32,0.75,15,506,1.835,2.425,2.425,1.835
BS,1,32,0.9,15,431,1.049,1.376,1.376,1.049
BS,1,32,1.0,12,257,0.262,0.262,0.262,0.262
BS,1,64,0.0,9,412,0.066,2.228,2.228,0.066
BS,1,64,0.1,21,702,1.049,3.211,3.211,1.049
BS,1,64,0.25,27,816,3.408,5.571,5.571,3.408
BS,1,64,0.5,18,1129,3.604,4.784,4.784,3.604
BS,1,64,0.75,15,797,1.835,2.425,2.425,1.835
BS,1,64,0.9,15,563,1.049,1.376,1.376,1.049
BS,1,64,1.0,12,513,0.262,0.262,0.262,0.262
BS,4,8,0.0,9,339,0.066,2.228,2.228,0.066
BS,4,8,0.1,34,306,1.049,3.211,3.211,1.049
BS,4,8,0.25,34,557,3.539,5.571,5.571,3.539
BS,4,8,0.5,30,1052,3.604,4.784,4.784,3.604
BS,4,8,0.75,30,337,1.835,2.425,2.425,1.835
BS,4,8,0.9,30,243,1.049,1.376,1.376,1.049
BS,4,8,1.0,15,65,0.262,0.262,0.262,0.262
BS,4,16,0.0,9,658,0.066,2.228,2.228,0.066
BS,4,16,0.1,25,520,1.049,3.211,3.211,1.049
BS,4,16,0.25,37,914,3.408,5.571,5.571,3.408
BS,4,16,0.5,32,987,3.604,4.784,4.784,3.604
BS,4,16,0.75,30,725,1.835,2.425,2.425,1.835
BS,4,16,0.9,30,359,1.049,1.376,1.376,1.049
BS,4,16,1.0,15,129,0.262,0.262,0.262,0.262
BS,4,32,0.0,9,616,0.066,2.228,2.228,0.066
BS,4,32,0.1,21,528,1.049,3.211,3.211,1.049
BS,4,32,0.25,46,923,3.408,5.571,5.571,3.408
BS,4,32,0.5,32,1060,3.604,4.784,4.784,3.604
BS,4,32,0.75,31,504,1.835,2.425,2.425,1.835
BS,4,32,0.9,32,286,1.049,1.376,1.376,1.049
BS,4,32,1.0,19,257,0.262,0.262,0.262,0.262
BS,4,64,0.0,9,413,0.066,2.228,2.228,0.066
BS,4,64,0.1,27,811,1.049,3.211,3.211,1.049
BS,4,64,0.25,40,798,3.408,5.571,5.571,3.408
BS,4,64,0.5,30,966,3.604,4.784,4.784,3.604
BS,4,64,0.75,30,790,1.835,2.425,2.425,1.835
BS,4,64,0.9,28,900,1.049,1.376,1.376,1.049
BS,4,64,1.0,18,513,0.262,0.262,0.262,0.262
BS,16,8,0.0,9,261,0.066,2.228,2.228,0.066
BS,16,8,0.1,28,299,1.049,3.211,3.211,1.049
BS,16,8,0.25,50,439,3.67,5.571,5.571,3.67
BS,16,8,0.5,79,753,3.604,4.784,4.784,3.604
BS,16,8,0.75,80,358,1.835,2.425,2.425,1.835
BS,16,8,0.9,82,134,1.049,1.376,1.376,1.049
BS,16,8,1.0,30,65,0.262,0.262,0.262,0.262
BS,16,16,0.0,9,767,0.066,2.228,2.228,0.066
BS,16,16,0.1,27,566,1.049,3.211,3.211,1.049
BS,16,16,0.25,35,934,3.408,5.571,5.571,3.408
BS,16,16,0.5,82,984,3.604,4.784,4.784,3.604
BS,16,16,0.75,78,723,1.835,2.425,2.425,1.835
BS,16,16,0.9,78,353,1.049,1.376,1.376,1.049
BS,16,16,1.0,29,129,0.262,0.262,0.262,0.262
BS,16,32,0.0,9,483,0.066,2.228,2.228,0.066
BS,16,32,0.1,25,475,1.049,3.211,3.211,1.049
BS,16,32,0.25,33,849,3.408,5.571,5.571,3.408
BS,16,32,0.5,80,1304,3.604,4.784,4.784,3.604
BS,16,32,0.75,78,520,1.835,2.425,2.425,1.835
BS,16,32,0.9,78,550,1.049,1.376,1.376,1.049
BS,16,32,1.0,31,257,0.262,0.262,0.262,0.262
BS,16,64,0.0,9,413,0.066,2.228,2.228,0.066
BS,16,64,0.1,26,735,1.049,3.211,3.211,1.049
BS,16,64,0.25,34,696,3.408,5.571,5.571,3.408
BS,16,64,0.5,81,1017,3.604,4.784,4.784,3.604
BS,16,64,0.75,78,803,1.835,2.425,2.425,1.835
BS,16,64,0.9,78,893,1.049,1.376,1.376,1.049
BS,16,64,1.0,27,513,0.262,0.262,0.262,0.262
BS,32,8,0.0,9,249,0.066,2.228,2.228,0.066
BS,32,8,0.1,22,271,1.049,3.211,3.211,1.049
BS,32,8,0.25,37,463,3.539,5.571,5.571,3.539
BS,32,8,0.5,21,792,3.604,4.784,4.784,3.604
BS,32,8,0.75,46,378,1.835,2.425,2.425,1.835
BS,32,8,0.9,80,147,1.049,1.376,1.376,1.049
BS,32,8,1.0,14,65,0.262,0.262,0.262,0.262
BS,32,16,0.0,9,705,0.066,2.228,2.228,0.066
BS,32,16,0.1,22,345,1.049,3.211,3.211,1.049
BS,32,16,0.25,33,883,3.408,5.571,5.571,3.408
BS,32,16,0.5,22,930,3.604,4.784,4.784,3.604
BS,32,16,0.75,15,695,1.835,2.425,2.425,1.835
BS,32,16,0.9,78,351,1.049,1.376,1.376,1.049
BS,32,16,1.0,16,129,0.262,0.262,0.262,0.262
BS,32,32,0.0,9,365,0.066,2.228,2.228,0.066
BS,32,32,0.1,24,572,1.049,3.211,3.211,1.049
BS,32,32,0.25,30,813,3.408,5.571,5.571,3.408
BS,32,32,0.5,21,1076,3.604,4.784,4.784,3.604
BS,32,32,0.75,46,526,1.835,2.425,2.425,1.835
BS,32,32,0.9,78,290,1.049,1.376,1.376,1.049
BS,32,32,1.0,13,257,0.262,0.262,0.262,0.262
BS,32,64,0.0,9,327,0.066,2.228,2.228,0.066
BS,32,64,0.1,23,663,1.049,3.211,3.211,1.049
BS,32,64,0.25,28,691,3.408,5.571,5.571,3.408
BS,32,64,0.5,20,1124,3.604,4.784,4.784,3.604
BS,32,64,0.75,46,802,1.835,2.425,2.425,1.835
BS,32,64,0.9,80,559,1.049,1.376,1.376,1.049
BS,32,64,1.0,12,513,0.262,0.262,0.262,0.262
BS,64,8,0.0,9,283,0.066,2.228,2.228,0.066
BS,64,8,0.1,22,300,1.049,3.211,3.211,1.049
BS,64,8,0.25,50,516,3.604,5.571,5.571,3.604
BS,64,8,0.5,29,706,3.604,4.784,4.784,3.604
BS,64,8,0.75,23,321,1.835,2.425,2.425,1.835
BS,64,8,0.9,25,153,1.049,1.376,1.376,1.049
BS,64,8,1.0,21,65,0.262,0.262,0.262,0.262
BS,64,16,0.0,9,766,0.066,2.228,2.228,0.066
BS,64,16,0.1,21,590,1.049,3.211,3.211,1.049
BS,64,16,0.25,42,847,3.408,5.571,5.571,3.408
BS,64,16,0.5,24,1129,3.604,4.784,4.784,3.604
BS,64,16,0.75,27,730,1.835,2.425,2.425,1.835
BS,64,16,0.9,30,373,1.049,1.376,1.376,1.049
BS,64,16,1.0,26,129,0.262,0.262,0.262,0.262
BS,64,32,0.0,9,622,0.066,2.228,2.228,0.066
BS,64,32,0.1,26,631,1.049,3.211,3.211,1.049
BS,64,32,0.25,37,1319,3.408,5.571,5.571,3.408
BS,64,32,0.5,23,1075,3.604,4.784,4.784,3.604
BS,64,32,0.75,22,529,1.835,2.425,2.425,1.835
BS,64,32,0.9,22,292,1.049,1.376,1.376,1.049
BS,64,32,1.0,24,257,0.262,0.262,0.262,0.262
