benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
CEDD,1,default,0.0,13,1077,0.786,0.524,0.524,0.786
CEDD,1,default,0.1,13,1151,0.786,0.524,0.524,0.786
CEDD,1,default,0.25,13,741,0.786,0.524,0.524,0.786
CEDD,1,default,0.5,9,866,0.524,0.524,0.524,0.524
CEDD,1,default,0.75,6,203,0.262,0.262,0.262,0.262
CEDD,1,default,0.9,6,723,0.262,0.262,0.262,0.262
CEDD,1,default,1.0,0,0,0,0,0,0
CEDD,4,default,0.0,13,1297,0.786,0.524,0.524,0.786
CEDD,4,default,0.1,13,938,0.786,0.524,0.524,0.786
CEDD,4,default,0.25,13,978,0.786,0.524,0.524,0.786
CEDD,4,default,0.5,9,321,0.524,0.524,0.524,0.524
CEDD,4,default,0.75,6,431,0.262,0.262,0.262,0.262
CEDD,4,default,0.9,6,210,0.262,0.262,0.262,0.262
CEDD,4,default,1.0,0,0,0,0,0,0
CEDD,16,default,0.0,13,1091,0.786,0.524,0.524,0.786
CEDD,16,default,0.1,13,1392,0.786,0.524,0.524,0.786
CEDD,16,default,0.25,13,955,0.786,0.721,0.721,0.786
CEDD,16,default,0.5,9,659,0.524,0.524,0.524,0.524
CEDD,16,default,0.75,6,202,0.262,0.262,0.262,0.262
CEDD,16,default,0.9,6,448,0.262,0.262,0.262,0.262
CEDD,16,default,1.0,0,0,0,0,0,0
CEDD,32,default,0.0,13,1150,0.786,0.524,0.524,0.786
CEDD,32,default,0.1,13,737,0.786,0.524,0.524,0.786
CEDD,32,default,0.25,12,1145,0.786,0.786,0.786,0.786
CEDD,32,default,0.5,9,499,0.524,0.524,0.524,0.524
CEDD,32,default,0.75,6,441,0.262,0.262,0.262,0.262
CEDD,32,default,0.9,6,438,0.262,0.262,0.262,0.262
CEDD,32,default,1.0,0,0,0,0,0,0
CEDD,64,default,0.0,13,1282,0.786,0.524,0.524,0.786
CEDD,64,default,0.1,13,851,0.786,0.524,0.524,0.786
CEDD,64,default,0.25,12,1107,0.786,0.786,0.786,0.786
CEDD,64,default,0.5,9,635,0.524,0.524,0.524,0.524
CEDD,64,default,0.75,6,226,0.262,0.262,0.262,0.262
CEDD,64,default,0.9,6,411,0.262,0.262,0.262,0.262
CEDD,64,default,1.0,0,0,0,0,0,0
