
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/CEDT_t64_gdefault_adynamic.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/CEDT_t64_gdefault_adynamic.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/CEDT_t64_gdefault_adynamic.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xFF0DE0130000,,0.852,,,186181.419
0xFF0DE0080000,0.131,0.131,,,58948.321
0xFF0DE0000000,0.524,0.131,3,241,55960.535
0xFF0DE0030000,0.262,0.459,1,212,55223.517
0xFF0DE00E0000,,0.197,1,,50360.549
0xFF0DE0010000,,0.197,2,,48761.733
0xFF0DE0060000,0.262,0.328,2,129,46206.222
0xFF0DE00B0000,0.197,0.066,,60,40966.291
0xFF0DE00C0000,0.131,0.131,,29,35319.710
0xFF0DE00F0000,,0.066,1,333,35310.338

