benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
HSTI,1,8,0.0,41,699,6.554,6.554,6.554,6.554
HSTI,1,8,0.1,56,880,9.699,9.699,9.699,9.699
HSTI,1,8,0.25,36,614,4.981,4.981,4.981,4.981
HSTI,1,8,0.5,30,461,3.408,3.408,3.408,3.408
HSTI,1,8,0.75,29,499,2.359,2.359,2.359,2.359
HSTI,1,8,0.9,27,1098,2.884,2.884,2.884,2.884
HSTI,1,8,1.0,23,257,0.262,0.262,0.262,0.262
HSTI,1,16,0.0,40,1279,6.554,6.488,6.488,6.554
HSTI,1,16,0.1,56,1564,9.699,9.699,9.699,9.699
HSTI,1,16,0.25,36,1198,4.981,4.981,4.981,4.981
HSTI,1,16,0.5,30,851,3.408,3.408,3.408,3.408
HSTI,1,16,0.75,29,1048,2.359,2.359,2.359,2.359
HSTI,1,16,0.9,27,2119,2.884,2.884,2.884,2.884
HSTI,1,16,1.0,23,513,0.262,0.262,0.262,0.262
HSTI,1,32,0.0,40,2165,6.554,6.488,6.488,6.554
HSTI,1,32,0.1,56,2902,9.699,9.699,9.699,9.699
HSTI,1,32,0.25,36,2326,4.981,4.981,4.981,4.981
HSTI,1,32,0.5,30,1600,3.408,3.408,3.408,3.408
HSTI,1,32,0.75,29,1986,2.359,2.359,2.359,2.359
HSTI,1,32,0.9,27,3837,2.884,2.884,2.884,2.884
HSTI,1,32,1.0,23,1025,0.262,0.262,0.262,0.262
HSTI,1,64,0.0,40,3072,6.554,6.488,6.488,6.554
HSTI,1,64,0.1,56,3809,9.699,9.699,9.699,9.699
HSTI,1,64,0.25,36,2991,4.981,4.981,4.981,4.981
HSTI,1,64,0.5,30,2411,3.408,3.408,3.408,3.408
HSTI,1,64,0.75,29,2633,2.359,2.359,2.359,2.359
HSTI,1,64,0.9,27,4182,2.884,2.884,2.884,2.884
HSTI,1,64,1.0,23,1025,0.262,0.262,0.262,0.262
HSTI,4,8,0.0,42,633,6.554,6.554,6.554,6.554
HSTI,4,8,0.1,69,978,9.699,9.699,9.699,9.699
HSTI,4,8,0.25,36,602,4.981,4.981,4.981,4.981
HSTI,4,8,0.5,30,445,3.408,3.408,3.408,3.408
HSTI,4,8,0.75,34,482,2.359,2.359,2.359,2.359
HSTI,4,8,0.9,43,1146,2.884,2.884,2.884,2.884
HSTI,4,8,1.0,23,257,0.262,0.262,0.262,0.262
HSTI,4,16,0.0,41,1226,6.554,6.554,6.554,6.554
HSTI,4,16,0.1,74,1657,9.699,9.699,9.699,9.699
HSTI,4,16,0.25,36,1137,4.981,4.981,4.981,4.981
HSTI,4,16,0.5,30,934,3.408,3.408,3.408,3.408
HSTI,4,16,0.75,37,985,2.359,2.359,2.359,2.359
HSTI,4,16,0.9,42,2033,2.884,2.884,2.884,2.884
HSTI,4,16,1.0,23,513,0.262,0.262,0.262,0.262
HSTI,4,32,0.0,41,2029,6.554,6.554,6.554,6.554
HSTI,4,32,0.1,76,2763,9.699,9.699,9.699,9.699
HSTI,4,32,0.25,37,2045,4.981,4.981,4.981,4.981
HSTI,4,32,0.5,30,1633,3.408,3.408,3.408,3.408
HSTI,4,32,0.75,34,1997,2.359,2.359,2.359,2.359
HSTI,4,32,0.9,41,3820,2.884,2.884,2.884,2.884
HSTI,4,32,1.0,23,1025,0.262,0.262,0.262,0.262
HSTI,4,64,0.0,41,3008,6.554,6.554,6.554,6.554
HSTI,4,64,0.1,64,3777,9.699,9.699,9.699,9.699
HSTI,4,64,0.25,37,3047,4.981,4.981,4.981,4.981
HSTI,4,64,0.5,30,2226,3.408,3.408,3.408,3.408
HSTI,4,64,0.75,30,2540,2.359,2.359,2.359,2.359
HSTI,4,64,0.9,41,4054,2.884,2.884,2.884,2.884
HSTI,4,64,1.0,23,1025,0.262,0.262,0.262,0.262
HSTI,16,8,0.0,42,619,6.554,6.554,6.554,6.554
HSTI,16,8,0.1,61,928,9.699,9.699,9.699,9.699
HSTI,16,8,0.25,36,596,4.981,4.981,4.981,4.981
HSTI,16,8,0.5,30,465,3.408,3.408,3.408,3.408
HSTI,16,8,0.75,31,534,2.359,2.359,2.359,2.359
HSTI,16,8,0.9,27,1244,2.884,2.884,2.884,2.884
HSTI,16,8,1.0,23,257,0.262,0.262,0.262,0.262
HSTI,16,16,0.0,42,1240,6.554,6.554,6.554,6.554
HSTI,16,16,0.1,58,1663,9.699,9.699,9.699,9.699
HSTI,16,16,0.25,36,1256,4.981,4.981,4.981,4.981
HSTI,16,16,0.5,30,887,3.408,3.408,3.408,3.408
HSTI,16,16,0.75,29,971,2.359,2.359,2.359,2.359
HSTI,16,16,0.9,27,1881,2.884,2.884,2.884,2.884
HSTI,16,16,1.0,23,513,0.262,0.262,0.262,0.262
HSTI,16,32,0.0,41,2174,6.554,6.554,6.554,6.554
HSTI,16,32,0.1,64,3022,9.699,9.699,9.699,9.699
HSTI,16,32,0.25,37,2049,4.981,4.981,4.981,4.981
HSTI,16,32,0.5,30,1506,3.408,3.408,3.408,3.408
HSTI,16,32,0.75,29,1951,2.359,2.359,2.359,2.359
