benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
HSTO,1,8,0.0,201,3144,24.117,21.561,21.561,24.117
HSTO,1,8,0.1,161,5350,27.329,26.018,26.018,27.329
HSTO,1,8,0.25,141,7633,29.688,28.77,28.77,29.688
HSTO,1,8,0.5,142,5597,27.591,26.608,26.608,27.591
HSTO,1,8,0.75,173,7610,26.87,26.083,26.083,26.87
HSTO,1,8,0.9,175,7808,27.197,26.214,26.214,27.197
HSTO,1,8,1.0,153,7225,26.477,25.428,25.428,26.477
HSTO,1,16,0.0,164,6367,23.265,21.823,21.823,23.265
HSTO,1,16,0.1,149,12621,28.18,26.935,26.935,28.18
HSTO,1,16,0.25,146,14742,27.787,27.132,27.132,27.787
HSTO,1,16,0.5,158,15121,25.428,23.986,23.986,25.428
HSTO,1,16,0.75,195,17039,27.197,26.083,26.083,27.197
HSTO,1,16,0.9,227,17204,26.673,25.559,25.559,26.673
HSTO,1,16,1.0,220,20902,27.918,26.673,26.673,27.918
HSTO,1,32,0.0,163,19564,18.874,18.022,18.022,18.874
HSTO,1,32,0.1,150,30053,23.855,23.003,23.003,23.855
HSTO,1,32,0.25,152,30559,26.214,25.231,25.231,26.214
HSTO,1,32,0.5,136,25125,24.052,23.527,23.527,24.052
HSTO,1,32,0.75,143,27445,25.1,24.248,24.248,25.1
HSTO,1,32,0.9,187,28666,24.707,23.724,23.724,24.707
HSTO,1,32,1.0,182,31495,23.724,22.675,22.675,23.724
HSTO,1,64,0.0,113,20101,16.187,15.991,15.991,16.187
HSTO,1,64,0.1,150,38391,22.086,21.234,21.234,22.086
HSTO,1,64,0.25,208,42956,23.724,22.413,22.413,23.724
HSTO,1,64,0.5,193,40463,25.69,24.576,24.576,25.69
HSTO,1,64,0.75,153,29822,23.265,21.955,21.955,23.265
HSTO,1,64,0.9,161,30087,23.527,22.348,22.348,23.527
HSTO,1,64,1.0,164,28586,22.413,20.906,20.906,22.413
HSTO,4,8,0.0,519,2753,23.986,22.217,22.217,23.986
HSTO,4,8,0.1,306,2563,24.314,21.889,21.889,24.314
HSTO,4,8,0.25,328,3354,25.035,21.955,21.955,25.035
HSTO,4,8,0.5,446,7297,25.69,22.807,22.807,25.69
HSTO,4,8,0.75,569,9580,27.132,24.183,24.183,27.132
HSTO,4,8,0.9,327,4910,26.214,25.362,25.362,26.214
HSTO,4,8,1.0,461,8768,26.149,24.314,24.314,26.149
HSTO,4,16,0.0,473,8401,25.625,23.658,23.658,25.625
HSTO,4,16,0.1,274,4447,24.576,22.807,22.807,24.576
HSTO,4,16,0.25,340,6581,23.724,20.775,20.775,23.724
HSTO,4,16,0.5,392,9498,26.345,24.183,24.183,26.345
HSTO,4,16,0.75,534,20198,27.394,23.724,23.724,27.394
HSTO,4,16,0.9,578,15534,25.821,22.938,22.938,25.821
HSTO,4,16,1.0,548,13973,28.115,24.51,24.51,28.115
HSTO,4,32,0.0,514,22916,24.838,22.61,22.61,24.838
HSTO,4,32,0.1,439,29178,27.853,24.314,24.314,27.853
HSTO,4,32,0.25,455,22976,25.297,21.692,21.692,25.297
HSTO,4,32,0.5,448,33161,25.821,21.758,21.758,25.821
HSTO,4,32,0.75,394,35082,27.525,25.625,25.625,27.525
HSTO,4,32,0.9,344,27198,26.804,24.51,24.51,26.804
HSTO,4,32,1.0,459,29168,25.821,23.527,23.527,25.821
HSTO,4,64,0.0,290,20523,16.974,16.515,16.515,16.974
HSTO,4,64,0.1,289,45498,27.591,25.231,25.231,27.591
HSTO,4,64,0.25,339,44147,29.884,27.656,27.656,29.884
HSTO,4,64,0.5,357,43158,27.394,25.297,25.297,27.394
HSTO,4,64,0.75,323,43533,25.428,23.658,23.658,25.428
HSTO,4,64,0.9,397,23910,24.904,22.02,22.02,24.904
HSTO,4,64,1.0,446,36107,25.428,21.889,21.889,25.428
HSTO,16,8,0.0,556,3782,22.282,20.578,20.578,22.282
HSTO,16,8,0.1,700,4458,25.1,23.658,23.658,25.1
HSTO,16,8,0.25,995,4582,27.918,23.527,23.527,27.918
HSTO,16,8,0.5,622,5951,25.887,23.2,23.2,25.887
HSTO,16,8,0.75,717,6917,30.736,26.477,26.477,30.736
HSTO,16,8,0.9,1245,11396,29.164,25.231,25.231,29.164
HSTO,16,8,1.0,1050,8860,28.77,26.28,26.28,28.77
HSTO,16,16,0.0,634,7646,23.003,20.84,20.84,23.003
HSTO,16,16,0.1,606,9688,25.166,22.544,22.544,25.166
HSTO,16,16,0.25,524,9565,28.77,26.149,26.149,28.77
HSTO,16,16,0.5,623,13176,27.001,25.035,25.035,27.001
HSTO,16,16,0.75,701,12670,27.46,24.314,24.314,27.46
HSTO,16,16,0.9,1356,20435,27.853,23.658,23.658,27.853
HSTO,16,16,1.0,1028,20023,28.312,25.559,25.559,28.312
HSTO,16,32,0.0,678,22403,23.462,22.151,22.151,23.462
HSTO,16,32,0.1,603,26430,25.035,23.331,23.331,25.035
HSTO,16,32,0.25,388,22659,23.069,21.889,21.889,23.069
HSTO,16,32,0.5,416,25714,24.576,22.282,22.282,24.576
HSTO,16,32,0.75,541,28849,25.756,24.314,24.314,25.756
HSTO,16,32,0.9,484,28030,24.773,23.069,23.069,24.773
HSTO,16,32,1.0,567,22665,24.052,22.807,22.807,24.052
HSTO,16,64,0.0,362,32458,23.265,21.889,21.889,23.265
HSTO,16,64,0.1,559,38916,25.756,23.396,23.396,25.756
HSTO,16,64,0.25,443,31098,24.052,23.2,23.2,24.052
HSTO,16,64,0.5,314,28223,22.02,20.84,20.84,22.02
HSTO,16,64,0.75,1010,54250,35.717,31.064,31.064,35.717
HSTO,16,64,0.9,513,32989,23.462,21.43,21.43,23.462
HSTO,16,64,1.0,379,28930,21.103,19.726,19.726,21.103
HSTO,32,8,0.0,504,3922,24.117,22.61,22.61,24.117
HSTO,32,8,0.1,457,3873,23.593,22.675,22.675,23.593
HSTO,32,8,0.25,688,3502,27.263,25.166,25.166,27.263
HSTO,32,8,0.5,366,4539,24.117,22.02,22.02,24.117
HSTO,32,8,0.75,919,10940,29.819,27.46,27.46,29.819
HSTO,32,8,0.9,1391,10382,31.13,27.132,27.132,31.13
HSTO,32,8,1.0,579,8022,26.542,24.969,24.969,26.542
HSTO,32,16,0.0,631,8455,22.741,21.365,21.365,22.741
HSTO,32,16,0.1,561,8707,22.807,21.627,21.627,22.807
HSTO,32,16,0.25,636,14972,31.261,28.115,28.115,31.261
HSTO,32,16,0.5,423,11270,26.935,24.576,24.576,26.935
HSTO,32,16,0.75,653,13896,29.36,26.608,26.608,29.36
HSTO,32,16,0.9,614,17605,27.132,23.986,23.986,27.132
HSTO,32,16,1.0,819,18897,33.686,30.54,30.54,33.686
HSTO,32,32,0.0,581,28293,24.707,23.593,23.593,24.707
HSTO,32,32,0.1,648,23636,28.967,27.132,27.132,28.967
HSTO,32,32,0.25,873,24550,31.195,28.77,28.77,31.195
HSTO,32,32,0.5,752,35441,27.656,25.494,25.494,27.656
HSTO,32,32,0.75,507,32664,27.197,25.428,25.428,27.197
