benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
PAD,1,8,0.0,124,789,32.506,32.44,32.44,32.506
PAD,1,8,0.1,141,1372,32.965,32.899,32.899,32.965
PAD,1,8,0.25,115,499,27.984,27.918,27.918,27.984
PAD,1,8,0.5,89,570,20.316,20.251,20.251,20.316
PAD,1,8,0.75,71,429,11.6,11.272,11.272,11.6
PAD,1,8,0.9,34,345,5.046,4.456,4.456,5.046
PAD,1,8,1.0,0,0,0,0,0,0
PAD,1,16,0.0,124,319,32.506,32.44,32.44,32.506
PAD,1,16,0.1,171,780,34.996,34.603,34.603,34.996
PAD,1,16,0.25,129,585,26.411,26.345,26.345,26.411
PAD,1,16,0.5,92,646,18.022,17.957,17.957,18.022
PAD,1,16,0.75,62,241,9.11,9.044,9.044,9.11
PAD,1,16,0.9,34,327,5.374,4.588,4.588,5.374
PAD,1,16,1.0,0,0,0,0,0,0
PAD,1,32,0.0,124,710,32.506,32.44,32.44,32.506
PAD,1,32,0.1,147,867,34.406,34.341,34.341,34.406
PAD,1,32,0.25,125,700,26.411,26.345,26.345,26.411
PAD,1,32,0.5,91,427,18.022,17.957,17.957,18.022
PAD,1,32,0.75,62,190,9.11,9.044,9.044,9.11
PAD,1,32,0.9,32,234,5.243,4.325,4.325,5.243
PAD,1,32,1.0,0,0,0,0,0,0
PAD,1,64,0.0,124,474,32.506,32.44,32.44,32.506
PAD,1,64,0.1,153,492,35.652,35.586,35.586,35.652
PAD,1,64,0.25,115,604,26.411,26.345,26.345,26.411
PAD,1,64,0.5,89,262,17.957,17.891,17.891,17.957
PAD,1,64,0.75,62,294,9.11,9.044,9.044,9.11
PAD,1,64,0.9,32,234,5.243,4.325,4.325,5.243
PAD,1,64,1.0,0,0,0,0,0,0
PAD,4,8,0.0,124,1328,32.506,32.44,32.44,32.506
PAD,4,8,0.1,143,1266,32.768,32.702,32.702,32.768
PAD,4,8,0.25,127,573,27.984,27.918,27.918,27.984
PAD,4,8,0.5,95,468,20.316,20.251,20.251,20.316
PAD,4,8,0.75,69,244,12.78,12.714,12.714,12.78
PAD,4,8,0.9,58,351,7.537,7.471,7.471,7.537
PAD,4,8,1.0,0,0,0,0,0,0
PAD,4,16,0.0,124,341,32.506,32.44,32.44,32.506
PAD,4,16,0.1,184,793,34.8,34.341,34.341,34.8
PAD,4,16,0.25,129,747,26.411,26.345,26.345,26.411
PAD,4,16,0.5,107,633,17.957,17.891,17.891,17.957
PAD,4,16,0.75,66,236,9.11,9.044,9.044,9.11
PAD,4,16,0.9,44,348,7.34,6.488,6.488,7.34
PAD,4,16,1.0,0,0,0,0,0,0
PAD,4,32,0.0,124,441,32.506,32.44,32.44,32.506
PAD,4,32,0.1,152,872,34.472,34.406,34.406,34.472
PAD,4,32,0.25,138,488,26.411,26.345,26.345,26.411
PAD,4,32,0.5,94,441,18.022,17.957,17.957,18.022
PAD,4,32,0.75,67,189,9.11,9.044,9.044,9.11
PAD,4,32,0.9,60,316,8.585,8.52,8.52,8.585
PAD,4,32,1.0,0,0,0,0,0,0
PAD,4,64,0.0,124,382,32.506,32.44,32.44,32.506
PAD,4,64,0.1,148,419,34.21,34.144,34.144,34.21
PAD,4,64,0.25,119,681,26.411,26.345,26.345,26.411
PAD,4,64,0.5,94,261,18.022,17.957,17.957,18.022
PAD,4,64,0.75,67,237,9.11,9.044,9.044,9.11
PAD,4,64,0.9,63,283,8.454,8.323,8.323,8.454
PAD,4,64,1.0,0,0,0,0,0,0
PAD,16,8,0.0,124,926,32.506,32.44,32.44,32.506
PAD,16,8,0.1,144,1405,32.965,32.899,32.899,32.965
PAD,16,8,0.25,120,562,27.984,27.918,27.918,27.984
PAD,16,8,0.5,84,683,21.168,21.103,21.103,21.168
PAD,16,8,0.75,56,247,12.78,12.714,12.714,12.78
PAD,16,8,0.9,47,287,7.537,7.471,7.471,7.537
PAD,16,8,1.0,0,0,0,0,0,0
PAD,16,16,0.0,124,311,32.506,32.44,32.44,32.506
PAD,16,16,0.1,176,743,35.062,34.8,34.8,35.062
PAD,16,16,0.25,117,793,26.411,26.345,26.345,26.411
PAD,16,16,0.5,89,881,18.022,17.957,17.957,18.022
PAD,16,16,0.75,61,236,9.11,9.044,9.044,9.11
PAD,16,16,0.9,45,297,8.585,8.52,8.52,8.585
PAD,16,16,1.0,0,0,0,0,0,0
PAD,16,32,0.0,124,549,32.506,32.44,32.44,32.506
PAD,16,32,0.1,144,745,34.21,34.144,34.144,34.21
PAD,16,32,0.25,117,366,26.411,26.345,26.345,26.411
PAD,16,32,0.5,91,415,18.022,17.957,17.957,18.022
PAD,16,32,0.75,61,187,9.11,9.044,9.044,9.11
PAD,16,32,0.9,46,316,8.585,8.52,8.52,8.585
PAD,16,32,1.0,0,0,0,0,0,0
PAD,16,64,0.0,124,462,32.506,32.44,32.44,32.506
PAD,16,64,0.1,161,458,35.586,35.521,35.521,35.586
PAD,16,64,0.25,117,618,26.411,26.345,26.345,26.411
PAD,16,64,0.5,90,266,18.022,17.957,17.957,18.022
PAD,16,64,0.75,62,245,9.11,9.044,9.044,9.11
PAD,16,64,0.9,46,316,8.585,8.52,8.52,8.585
PAD,16,64,1.0,0,0,0,0,0,0
PAD,32,8,0.0,124,942,32.506,32.44,32.44,32.506
PAD,32,8,0.1,142,1376,32.965,32.899,32.899,32.965
PAD,32,8,0.25,116,547,27.984,27.918,27.918,27.984
PAD,32,8,0.5,84,652,21.168,21.103,21.103,21.168
PAD,32,8,0.75,56,248,12.78,12.714,12.714,12.78
PAD,32,8,0.9,45,300,7.537,7.471,7.471,7.537
PAD,32,8,1.0,0,0,0,0,0,0
