benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
SC,1,8,0.0,58,1186,17.039,14.877,14.877,17.039
SC,1,8,0.1,58,1024,16.974,14.811,14.811,16.974
SC,1,8,0.25,62,1292,17.891,15.729,15.729,17.891
SC,1,8,0.5,42,985,13.042,10.879,10.879,13.042
SC,1,8,0.75,23,303,6.488,5.374,5.374,6.488
SC,1,8,0.9,27,168,4.129,3.801,3.801,4.129
SC,1,8,1.0,0,0,0,0,0,0
SC,1,16,0.0,58,860,17.039,14.877,14.877,17.039
SC,1,16,0.1,58,679,16.974,14.811,14.811,16.974
SC,1,16,0.25,64,688,17.76,15.335,15.335,17.76
SC,1,16,0.5,42,331,13.042,10.879,10.879,13.042
SC,1,16,0.75,23,242,6.488,5.374,5.374,6.488
SC,1,16,0.9,24,144,3.342,3.277,3.277,3.342
SC,1,16,1.0,0,0,0,0,0,0
SC,1,32,0.0,58,518,17.039,14.877,14.877,17.039
SC,1,32,0.1,87,619,18.809,16.581,16.581,18.809
SC,1,32,0.25,58,406,16.974,14.811,14.811,16.974
SC,1,32,0.5,38,246,12.78,10.617,10.617,12.78
SC,1,32,0.75,23,211,6.488,5.374,5.374,6.488
SC,1,32,0.9,24,142,3.342,3.277,3.277,3.342
SC,1,32,1.0,0,0,0,0,0,0
SC,1,64,0.0,58,311,17.039,14.877,14.877,17.039
SC,1,64,0.1,73,345,18.416,16.187,16.187,18.416
SC,1,64,0.25,58,342,16.974,14.811,14.811,16.974
SC,1,64,0.5,38,310,12.78,10.617,10.617,12.78
SC,1,64,0.75,23,196,6.488,5.374,5.374,6.488
SC,1,64,0.9,24,136,3.342,3.277,3.277,3.342
SC,1,64,1.0,0,0,0,0,0,0
SC,4,8,0.0,58,1235,17.039,14.877,14.877,17.039
SC,4,8,0.1,61,1143,16.974,14.811,14.811,16.974
SC,4,8,0.25,59,889,16.974,14.811,14.811,16.974
SC,4,8,0.5,38,552,12.78,10.617,10.617,12.78
SC,4,8,0.75,23,464,6.75,5.636,5.636,6.75
SC,4,8,0.9,38,197,4.391,4.063,4.063,4.391
SC,4,8,1.0,0,0,0,0,0,0
SC,4,16,0.0,58,851,17.039,14.877,14.877,17.039
SC,4,16,0.1,58,754,16.974,14.811,14.811,16.974
SC,4,16,0.25,59,601,16.974,14.811,14.811,16.974
SC,4,16,0.5,39,303,12.78,10.617,10.617,12.78
SC,4,16,0.75,25,240,6.488,5.374,5.374,6.488
SC,4,16,0.9,33,136,3.342,3.277,3.277,3.342
SC,4,16,1.0,0,0,0,0,0,0
SC,4,32,0.0,58,518,17.039,14.877,14.877,17.039
SC,4,32,0.1,86,660,18.874,16.646,16.646,18.874
SC,4,32,0.25,59,422,16.974,14.811,14.811,16.974
SC,4,32,0.5,41,241,12.78,10.617,10.617,12.78
SC,4,32,0.75,25,207,6.488,5.374,5.374,6.488
