benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
SSSP,1,8,dynamic,114,586,21.496,12.255,12.255,21.496
SSSP,1,16,dynamic,119,570,21.561,14.221,14.221,21.561
SSSP,1,32,dynamic,107,671,20.382,13.042,13.042,20.382
SSSP,1,64,dynamic,107,866,20.382,13.042,13.042,20.382
SSSP,4,8,dynamic,210,475,21.496,12.255,12.255,21.496
SSSP,4,16,dynamic,207,514,20.382,13.042,13.042,20.382
SSSP,4,32,dynamic,212,650,20.382,13.042,13.042,20.382
SSSP,4,64,dynamic,205,814,20.382,13.042,13.042,20.382
SSSP,16,8,dynamic,456,512,21.496,12.255,12.255,21.496
SSSP,16,16,dynamic,509,540,21.561,14.221,14.221,21.561
SSSP,16,32,dynamic,421,602,20.382,13.042,13.042,20.382
SSSP,16,64,dynamic,457,865,20.382,13.042,13.042,20.382
SSSP,32,8,dynamic,581,506,21.496,12.255,12.255,21.496
SSSP,32,16,dynamic,701,651,21.955,12.714,12.714,21.955
SSSP,32,32,dynamic,481,644,20.382,13.042,13.042,20.382
SSSP,32,64,dynamic,493,838,20.382,13.042,13.042,20.382
SSSP,64,8,dynamic,17458,3940,46.006,36.766,36.766,46.006
SSSP,64,16,dynamic,18161,6526,48.759,39.518,39.518,48.759
SSSP,64,32,dynamic,18097,10083,48.038,38.666,38.666,48.038
SSSP,64,64,dynamic,17289,17532,43.581,34.341,34.341,43.581
