
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/TQH_t64_g64_adynamic.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/TQH_t64_g64_adynamic.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/TQH_t64_g64_adynamic.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xF14597710000,,0.983,,,194429.583
0xF145A8110000,,0.983,,,194429.583
0xF14577F10000,,0.983,,,193206.682
0xF1459E910000,,0.983,,,193206.682
0xF145A0D10000,,0.983,,,193206.682
0xF1457EB10000,,0.983,,,191999.508
0xF145A3110000,,0.983,,,191999.508
0xF145ABD10000,,0.983,,,191999.508
0xF14565310000,,0.983,,,190807.081
0xF1458F510000,,0.983,,,190807.081

