benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
TQ,1,8,dynamic,43,457,4.915,4.719,4.719,4.915
TQ,1,16,dynamic,39,721,3.867,3.408,3.408,3.867
TQ,1,32,dynamic,42,1392,3.867,3.408,3.408,3.867
TQ,1,64,dynamic,38,2531,4.653,4.456,4.456,4.653
TQ,4,8,dynamic,43,465,4.915,4.719,4.719,4.915
TQ,4,16,dynamic,43,621,4.129,3.932,3.932,4.129
TQ,4,32,dynamic,38,2165,4.784,4.588,4.588,4.784
TQ,4,64,dynamic,37,2433,4.522,4.325,4.325,4.522
TQ,16,8,dynamic,35,563,4.85,4.719,4.719,4.85
TQ,16,16,dynamic,43,797,4.719,4.522,4.522,4.719
TQ,16,32,dynamic,38,1404,4.784,4.653,4.653,4.784
TQ,16,64,dynamic,36,2198,4.456,4.325,4.325,4.456
TQ,32,8,dynamic,39,311,4.325,4.194,4.194,4.325
TQ,32,16,dynamic,37,813,4.653,4.522,4.522,4.653
TQ,32,32,dynamic,41,1817,4.784,4.325,4.325,4.784
TQ,32,64,dynamic,41,1728,4.26,4.063,4.063,4.26
TQ,64,8,dynamic,33,657,5.046,4.85,4.85,5.046
TQ,64,16,dynamic,43,625,4.194,3.998,3.998,4.194
TQ,64,32,dynamic,39,1161,4.26,4.129,4.129,4.26
TQ,64,64,dynamic,35,1835,4.063,3.867,3.867,4.063
