benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
BFS,1,8,dynamic,686.005493,0.445408,193.105637,0.684384
BFS,1,16,dynamic,708.438232,0.310176,176.895874,0.810496
BFS,1,32,dynamic,736.010132,0.306336,176.591583,0.860192
BFS,1,64,dynamic,811.944153,0.338144,176.288605,0.753568
BFS,4,8,dynamic,680.34259,0.165856,93.30381,0.746528
BFS,4,16,dynamic,687.021362,0.264096,170.812408,0.949536
BFS,4,32,dynamic,680.691772,0.305152,172.802719,0.720512
BFS,4,64,dynamic,856.51593,0.254848,170.658722,1.289664
BFS,16,8,dynamic,714.216614,0.348928,176.736252,0.581248
BFS,16,16,dynamic,684.725403,0.16704,93.553986,0.541856
BFS,16,32,dynamic,673.421448,0.208064,92.239998,0.531136
BFS,16,64,dynamic,813.985962,0.174144,93.558563,0.574784
BFS,32,8,dynamic,3682.050293,0.186016,97.598557,0.538144
BFS,32,16,dynamic,3800.960938,0.160896,95.794975,0.531296
BFS,32,32,dynamic,4046.225342,0.162048,92.426849,0.531232
BFS,32,64,dynamic,4859.834961,0.177248,96.853279,0.525184
BFS,64,8,dynamic,9580.439453,0.15408,91.982719,0.51264
BFS,64,16,dynamic,9469.720703,0.153856,91.659264,0.529184
BFS,64,32,dynamic,10216.563477,0.168832,94.632095,0.532192
BFS,64,64,dynamic,13952.182617,0.158016,91.426208,0.606368
