benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
BS,1,8,0.0,1.134059,1.618528,6.687136,0.358304
BS,1,8,0.1,24.111971,0.131168,3.081504,0.384224
BS,1,8,0.25,54.733299,0.144672,3.000256,0.376512
BS,1,8,0.5,90.291901,0.148,4.134816,0.396
BS,1,8,0.75,97.662598,0.137888,4.57264,0.398528
BS,1,8,0.9,118.362122,0.136256,4.270688,0.3624
BS,1,8,1.0,125.780312,0.14192,3.513568,0.373056
BS,1,16,0.0,0.731256,0.157824,4.222752,0.328448
BS,1,16,0.1,23.995569,0.136128,3.94304,0.397632
BS,1,16,0.25,56.212044,0.202496,4.870688,0.416448
BS,1,16,0.5,80.292015,0.135392,2.807008,0.371264
BS,1,16,0.75,110.020058,0.139584,4.49312,0.401376
BS,1,16,0.9,120.366982,0.148864,4.388096,0.397024
BS,1,16,1.0,125.088943,0.140224,4.15984,0.26848
BS,1,32,0.0,0.566406,0.101888,3.341344,0.234432
BS,1,32,0.1,23.70023,0.117792,2.777632,0.299904
BS,1,32,0.25,53.776649,0.099808,3.01344,0.295264
BS,1,32,0.5,86.462257,0.099232,2.94608,0.379168
BS,1,32,0.75,112.819626,0.156704,4.27968,0.379616
BS,1,32,0.9,118.196388,0.141888,3.70368,0.414816
BS,1,32,1.0,132.104767,0.16432,4.239616,0.4128
BS,1,64,0.0,0.67313,0.141024,3.122912,0.303104
BS,1,64,0.1,23.666348,0.13536,2.684896,0.413824
BS,1,64,0.25,54.876587,0.130784,2.990624,0.396896
BS,1,64,0.5,84.068481,0.1376,4.508032,0.397984
BS,1,64,0.75,104.680222,0.140448,2.703936,0.411552
BS,1,64,0.9,120.849281,0.155648,3.701504,0.401088
BS,1,64,1.0,139.571869,0.137888,2.691808,0.365376
BS,4,8,0.0,1.193806,0.132736,3.929408,0.310304
BS,4,8,0.1,7.514019,0.135968,3.5728,0.364832
BS,4,8,0.25,15.984113,0.146304,4.470272,0.424704
BS,4,8,0.5,29.527618,0.145312,4.15584,0.387712
BS,4,8,0.75,44.441246,0.136224,3.237056,0.395872
BS,4,8,0.9,50.61842,0.14048,4.558272,0.407392
BS,4,8,1.0,53.814655,0.13856,4.401344,0.343264
BS,4,16,0.0,0.700472,0.140576,4.602144,0.323232
BS,4,16,0.1,7.396825,0.142048,1.68032,0.380768
BS,4,16,0.25,16.037748,0.136,2.631776,0.404896
BS,4,16,0.5,29.706198,0.127392,4.455488,0.390304
BS,4,16,0.75,43.038292,0.149344,4.540864,0.372416
BS,4,16,0.9,50.83744,0.135136,4.118688,0.383456
BS,4,16,1.0,53.619244,0.14448,2.889248,0.400256
BS,4,32,0.0,0.69296,0.14352,4.472832,0.312256
BS,4,32,0.1,7.533532,0.162016,4.062848,0.415136
BS,4,32,0.25,15.814868,0.136544,4.579616,0.358496
