benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
CEDD,1,default,0.0,48.457214,0.327456,384.837616,0.51568
CEDD,1,default,0.1,225.179611,0.50784,583.903564,0.849888
CEDD,1,default,0.25,660.995605,0.19232,280.563049,0.688768
CEDD,1,default,0.5,1299.869507,0.542016,716.071899,0.82624
CEDD,1,default,0.75,1937.721924,0.52416,590.828064,0.877408
CEDD,1,default,0.9,2422.774658,0.534368,597.754395,0.902208
CEDD,1,default,1.0,2748.296143,0.551488,601.917114,0.523936
CEDD,4,default,0.0,42.742752,0.474432,602.550537,0.824768
CEDD,4,default,0.1,70.008675,0.480672,601.52533,0.721312
CEDD,4,default,0.25,192.222137,0.333472,569.39978,0.726496
CEDD,4,default,0.5,392.303558,0.501184,581.08252,0.709792
CEDD,4,default,0.75,586.054138,0.521952,597.569641,0.76448
CEDD,4,default,0.9,712.851379,0.592064,591.314331,0.774784
CEDD,4,default,1.0,815.35553,0.478272,597.214172,0.512096
CEDD,16,default,0.0,45.422432,0.550304,595.849609,0.743136
CEDD,16,default,0.1,45.497761,0.518816,606.45752,0.776448
CEDD,16,default,0.25,101.944611,0.511296,596.21936,0.771264
CEDD,16,default,0.5,183.952805,0.516288,602.294128,0.813504
CEDD,16,default,0.75,262.812408,0.517664,598.895691,0.788192
CEDD,16,default,0.9,306.706146,0.504448,591.232666,0.536192
CEDD,16,default,1.0,321.647736,0.324352,567.364197,0.309536
CEDD,32,default,0.0,39.062366,0.353536,565.555054,0.552896
CEDD,32,default,0.1,44.066719,0.325856,567.427979,0.5416
CEDD,32,default,0.25,100.801376,0.39296,546.6651,0.568576
CEDD,32,default,0.5,193.988998,0.351392,563.824097,0.504544
CEDD,32,default,0.75,329.418274,0.479648,586.530273,0.874432
CEDD,32,default,0.9,404.086182,0.495488,596.255188,0.813984
CEDD,32,default,1.0,452.08429,0.595808,598.760254,0.470016
CEDD,64,default,0.0,42.641727,0.525248,596.403442,0.81872
CEDD,64,default,0.1,81.314621,0.532064,595.645203,0.768768
CEDD,64,default,0.25,208.319489,0.44544,598.634644,0.501952
CEDD,64,default,0.5,398.853149,0.458976,584.274841,0.87648
CEDD,64,default,0.75,593.364563,0.530144,595.769043,0.761728
CEDD,64,default,0.9,693.80957,0.480896,594.862976,0.809536
CEDD,64,default,1.0,811.402588,0.620064,594.454346,0.496864
