benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
HSTI,1,8,0.0,1.022637,0.137824,62.893375,0.709024
HSTI,1,8,0.1,3.382528,0.138592,60.635136,0.7512
HSTI,1,8,0.25,5.40338,0.133248,61.749023,1.026336
HSTI,1,8,0.5,9.260968,0.127872,62.526657,1.048416
HSTI,1,8,0.75,13.311663,0.163008,63.920033,0.9672
HSTI,1,8,0.9,15.971323,0.129312,62.157726,0.990144
HSTI,1,8,1.0,17.243519,0.125984,60.969566,0.875552
HSTI,1,16,0.0,1.003789,0.148576,61.86499,0.572992
HSTI,1,16,0.1,3.315367,0.137504,62.965057,0.821024
HSTI,1,16,0.25,5.49063,0.131616,60.268002,1.012
HSTI,1,16,0.5,9.395252,0.13296,62.27219,0.957792
HSTI,1,16,0.75,12.90399,0.147232,63.625248,0.966592
HSTI,1,16,0.9,15.358701,0.10992,59.527935,0.853984
HSTI,1,16,1.0,16.682598,0.090048,59.129215,0.739776
HSTI,1,32,0.0,0.870875,0.098688,58.505215,0.527936
HSTI,1,32,0.1,3.001417,0.091072,58.750271,0.691744
HSTI,1,32,0.25,4.810346,0.091392,59.293537,0.908128
HSTI,1,32,0.5,8.734169,0.09568,58.930241,0.849504
HSTI,1,32,0.75,12.864523,0.10144,57.741631,0.77024
HSTI,1,32,0.9,15.427019,0.10192,57.933632,0.798112
HSTI,1,32,1.0,16.720568,0.096608,59.268192,0.80768
HSTI,1,64,0.0,0.905731,0.09552,60.308319,0.53392
HSTI,1,64,0.1,2.980261,0.102304,59.927746,0.684992
HSTI,1,64,0.25,5.189701,0.106432,60.857952,0.886624
HSTI,1,64,0.5,9.373744,0.113184,62.617058,0.996224
HSTI,1,64,0.75,13.261876,0.126176,61.316032,1.11088
HSTI,1,64,0.9,15.988887,0.14688,61.610527,0.980448
HSTI,1,64,1.0,17.286032,0.1448,62.153599,0.946656
HSTI,4,8,0.0,0.836078,0.131936,65.110527,0.38
HSTI,4,8,0.1,1.81203,0.13152,61.736671,0.67312
