benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
HSTO,1,8,0.0,20.268408,0.188928,63.388481,0.793472
HSTO,1,8,0.1,27.805719,0.21424,63.248898,NA
HSTO,1,8,0.25,29.105045,0.226144,61.968288,0.76976
HSTO,1,8,0.5,28.774923,0.214944,62.658817,0.721344
HSTO,1,8,0.75,25.831631,0.211744,63.735294,0.863904
HSTO,1,8,0.9,24.950335,0.230368,61.888,NA
HSTO,1,8,1.0,23.567402,0.214304,63.982143,0.682496
HSTO,1,16,0.0,17.03289,0.210176,62.302593,0.7584
HSTO,1,16,0.1,27.742435,0.209504,63.029697,NA
HSTO,1,16,0.25,28.232132,0.232704,62.800831,0.825536
HSTO,1,16,0.5,26.067877,0.198336,62.565662,0.774176
HSTO,1,16,0.75,26.690872,0.200224,62.912033,0.741664
HSTO,1,16,0.9,26.302841,0.208992,63.864258,NA
HSTO,1,16,1.0,24.077198,0.207744,61.941345,0.720896
HSTO,1,32,0.0,16.359638,0.226144,62.432575,0.799936
HSTO,1,32,0.1,28.941992,0.21648,63.760193,NA
HSTO,1,32,0.25,28.746847,0.219392,66.667137,0.761152
HSTO,1,32,0.5,26.090607,0.248384,61.702625,0.997632
HSTO,1,32,0.75,25.428669,0.203936,61.531776,0.745536
HSTO,1,32,0.9,25.447668,0.24848,63.251041,NA
HSTO,1,32,1.0,23.509312,0.20816,63.038208,0.730464
HSTO,1,64,0.0,19.520966,0.232768,60.677727,0.735968
HSTO,1,64,0.1,26.649609,0.227584,63.798622,NA
HSTO,1,64,0.25,29.282398,0.220608,63.519711,0.781568
HSTO,1,64,0.5,26.459585,0.204704,63.549568,0.716672
HSTO,1,64,0.75,25.636272,0.216992,63.560352,0.743392
HSTO,1,64,0.9,24.741835,0.210688,60.083584,NA
HSTO,1,64,1.0,23.510017,0.221088,59.872002,0.769184
HSTO,4,8,0.0,23.555748,0.207552,63.896767,0.651136
HSTO,4,8,0.1,32.144859,0.219776,62.57597,NA
HSTO,4,8,0.25,33.220234,0.229824,62.680962,0.710496
HSTO,4,8,0.5,31.386341,0.218784,63.502304,0.922464
HSTO,4,8,0.75,31.259405,0.205696,61.9944,0.516736
HSTO,4,8,0.9,30.143896,0.224992,63.865921,NA
HSTO,4,8,1.0,29.705093,0.215616,64.012032,0.628704
HSTO,4,16,0.0,22.293829,0.220544,64.579102,0.7544
HSTO,4,16,0.1,32.541214,0.206752,61.760448,NA
HSTO,4,16,0.25,29.455542,0.210624,62.566208,0.70784
HSTO,4,16,0.5,32.005161,0.199744,60.775681,0.792704
HSTO,4,16,0.75,32.80407,0.230208,63.149311,0.839712
HSTO,4,16,0.9,30.43421,0.246944,63.214687,NA
HSTO,4,16,1.0,30.602154,0.210208,63.030239,0.706944
HSTO,4,32,0.0,19.964741,0.245408,65.170013,0.766176
HSTO,4,32,0.1,30.790005,0.23776,60.557758,NA
HSTO,4,32,0.25,32.910179,0.204032,63.138882,0.442912
HSTO,4,32,0.5,31.538519,0.222784,64.074844,0.81552
HSTO,4,32,0.75,31.841427,0.219648,63.041313,0.802976
HSTO,4,32,0.9,30.696268,0.22192,64.256638,NA
HSTO,4,32,1.0,29.447382,0.209792,61.173409,0.469472
HSTO,4,64,0.0,24.164455,0.208352,62.684959,0.694368
HSTO,4,64,0.1,30.544876,0.220096,62.350048,NA
HSTO,4,64,0.25,31.56192,0.226976,61.839039,0.726112
HSTO,4,64,0.5,32.696228,0.249408,63.478592,0.54064
HSTO,4,64,0.75,29.648321,0.140352,57.381855,0.565984
HSTO,4,64,0.9,28.643307,0.13936,58.203201,NA
HSTO,4,64,1.0,28.69754,0.152576,60.040512,0.373568
HSTO,16,8,0.0,28.387539,0.148896,58.861088,0.568128
HSTO,16,8,0.1,37.385326,0.21296,58.606495,NA
HSTO,16,8,0.25,40.112865,0.139296,58.666176,0.392096
HSTO,16,8,0.5,37.973644,0.150496,59.090206,0.521472
HSTO,16,8,0.75,37.209946,0.202336,62.998081,0.51728
HSTO,16,8,0.9,36.086655,0.22464,64.343521,NA
HSTO,16,8,1.0,35.54599,0.204704,60.725922,0.622944
HSTO,16,16,0.0,30.904575,0.20704,62.736351,0.500096
HSTO,16,16,0.1,40.662853,0.22736,63.580002,NA
HSTO,16,16,0.25,41.204819,0.207296,77.799103,0.491776
HSTO,16,16,0.5,37.610973,0.19744,61.596031,0.775936
HSTO,16,16,0.75,36.558922,0.201664,62.943264,0.496192
HSTO,16,16,0.9,36.98941,0.2128,63.863617,NA
HSTO,16,16,1.0,35.429298,0.213664,65.293022,0.46736
HSTO,16,32,0.0,32.258877,0.2096,62.853535,0.509088
HSTO,16,32,0.1,39.282948,0.206144,62.162849,NA
HSTO,16,32,0.25,41.503494,0.222208,63.950687,0.524416
HSTO,16,32,0.5,37.706795,0.204704,61.737438,0.495968
HSTO,16,32,0.75,35.762959,0.221696,62.658718,0.54544
HSTO,16,32,0.9,35.782452,0.211488,63.46077,NA
HSTO,16,32,1.0,34.640869,0.249728,63.120831,0.422016
HSTO,16,64,0.0,31.156372,0.224768,63.285984,0.470464
HSTO,16,64,0.1,32.960304,0.1992,63.786144,NA
HSTO,16,64,0.25,37.091732,0.294304,92.030205,0.483616
HSTO,16,64,0.5,38.618446,0.205728,59.943615,0.479456
HSTO,16,64,0.75,34.975811,0.22384,63.258049,0.530496
HSTO,16,64,0.9,34.602104,0.21184,63.690434,NA
HSTO,16,64,1.0,34.821812,0.205184,63.742687,0.5512
HSTO,32,8,0.0,55.054283,0.212192,61.706753,0.478624
HSTO,32,8,0.1,56.306103,0.201568,60.794239,NA
HSTO,32,8,0.25,62.931541,0.22624,63.500576,0.4984
HSTO,32,8,0.5,58.03199,0.212,61.379776,0.489664
HSTO,32,8,0.75,58.717072,0.210944,62.732769,0.474656
HSTO,32,8,0.9,55.888813,0.221824,62.710239,NA
HSTO,32,8,1.0,55.55125,0.201632,61.371231,0.471168
HSTO,32,16,0.0,50.479321,0.21024,62.21603,0.47264
HSTO,32,16,0.1,48.906448,0.235168,63.509377,NA
HSTO,32,16,0.25,58.813377,0.208256,63.661953,0.559584
HSTO,32,16,0.5,59.933033,0.216224,63.721695,0.508192
HSTO,32,16,0.75,56.428741,0.204096,62.052994,0.464928
