benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
PAD,1,8,0.0,7.133944,0.233216,30.81888,1.329952
PAD,1,8,0.1,11.127188,0.192,30.3424,1.467712
PAD,1,8,0.25,16.892965,0.241408,32.754433,1.384864
PAD,1,8,0.5,26.4466,0.24256,32.39027,1.438784
PAD,1,8,0.75,35.547863,0.247808,31.410336,1.230912
PAD,1,8,0.9,43.214848,0.253792,31.010271,1.439296
PAD,1,8,1.0,25.596577,0.230464,32.599808,2.18032
PAD,1,16,0.0,4.804141,0.226144,32.494946,1.3088
PAD,1,16,0.1,9.121423,0.231744,30.95648,1.323936
PAD,1,16,0.25,15.590976,0.246816,32.459873,1.367136
PAD,1,16,0.5,25.512356,0.235456,30.800159,1.387072
PAD,1,16,0.75,36.068455,0.25408,30.614529,1.209376
PAD,1,16,0.9,43.851875,0.246048,32.507233,1.410848
PAD,1,16,1.0,25.525066,0.256352,30.751265,1.991808
PAD,1,32,0.0,3.51768,0.252448,32.733566,1.395072
PAD,1,32,0.1,8.148481,0.22832,30.701376,1.222368
PAD,1,32,0.25,16.306362,0.241696,30.777184,1.307584
PAD,1,32,0.5,30.294531,0.223008,30.86352,1.109216
PAD,1,32,0.75,44.205315,0.241664,41.388321,1.525472
PAD,1,32,0.9,43.113396,0.244256,32.483521,1.447936
PAD,1,32,1.0,25.501995,0.255136,32.641953,2.213536
PAD,1,64,0.0,3.397775,0.250624,32.71645,1.143296
PAD,1,64,0.1,8.5296,0.2376,32.482304,1.293216
PAD,1,64,0.25,17.332838,0.241184,32.391232,1.324064
PAD,1,64,0.5,27.552475,0.260288,30.929344,1.2816
PAD,1,64,0.75,40.751755,0.2232,30.879328,1.310112
PAD,1,64,0.9,46.898098,0.2528,32.39024,1.357504
PAD,1,64,1.0,25.455776,0.246688,30.847937,2.098016
PAD,4,8,0.0,5.926627,0.237664,31.62624,1.416032
PAD,4,8,0.1,8.30051,0.267584,32.546177,1.328416
PAD,4,8,0.25,9.043024,0.231904,30.669632,1.403648
PAD,4,8,0.5,11.146104,0.267168,41.156033,1.22496
PAD,4,8,0.75,13.272527,0.258208,32.564255,1.142848
PAD,4,8,0.9,14.649811,0.230752,30.787489,1.370208
PAD,4,8,1.0,7.766007,0.236736,30.908417,1.053536
PAD,4,16,0.0,5.501225,0.253824,32.566849,1.331072
PAD,4,16,0.1,7.460023,0.249056,31.5488,1.520032
PAD,4,16,0.25,7.824189,0.226496,31.022017,1.050592
PAD,4,16,0.5,10.545643,0.254656,32.655106,1.302624
PAD,4,16,0.75,12.182329,0.264384,32.599201,1.297536
PAD,4,16,0.9,14.050708,0.253376,30.763968,0.99792
PAD,4,16,1.0,8.17284,0.22864,32.575871,1.306752
PAD,4,32,0.0,3.669976,0.2328,30.813248,1.337664
PAD,4,32,0.1,6.389928,0.222816,30.940512,1.209152
PAD,4,32,0.25,7.78566,0.263616,33.599937,1.159072
PAD,4,32,0.5,11.116424,0.235904,32.73613,1.176256
PAD,4,32,0.75,13.62398,0.234336,30.864737,1.180224
PAD,4,32,0.9,14.703534,0.230368,31.907232,1.170368
PAD,4,32,1.0,7.837049,0.256896,32.664799,2.107904
PAD,4,64,0.0,3.631904,0.231328,30.614176,1.26736
PAD,4,64,0.1,7.352901,0.240064,33.027393,1.039872
PAD,4,64,0.25,7.838713,0.267776,32.576126,1.418368
PAD,4,64,0.5,12.315099,0.237792,30.8104,1.383744
PAD,4,64,0.75,14.410385,0.241568,32.637375,1.343104
PAD,4,64,0.9,15.453554,0.256256,31.007681,1.215776
PAD,4,64,1.0,7.79028,0.256544,32.648033,0.94016
PAD,16,8,0.0,6.254411,0.234592,31.117023,1.131104
PAD,16,8,0.1,10.460321,0.252928,32.399265,1.103232
PAD,16,8,0.25,11.359962,0.210528,30.678207,1.127456
PAD,16,8,0.5,10.265165,0.208256,31.673376,1.060512
PAD,16,8,0.75,13.812291,0.215072,30.93248,0.99072
PAD,16,8,0.9,13.892125,0.231776,30.78656,1.217824
