benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
RSCD,1,8,0.0,0.715928,4.84896,4.597568,0.50592
RSCD,1,8,0.1,26.518167,1.27936,2.18288,0.423136
RSCD,1,8,0.25,61.131134,1.658208,2.603904,0.41968
RSCD,1,8,0.5,99.571793,1.09408,2.352704,0.60624
RSCD,1,8,0.75,112.130043,5.0632,4.720896,0.596224
RSCD,1,8,0.9,140.240936,5.009184,4.75664,0.560736
RSCD,1,8,1.0,158.236816,3.873952,4.867552,0.523104
RSCD,1,16,0.0,1.436344,5.016672,4.21952,0.498752
RSCD,1,16,0.1,26.947681,5.217184,4.557376,0.559584
RSCD,1,16,0.25,62.862877,2.296928,3.694144,0.591456
RSCD,1,16,0.5,100.556175,4.970272,5.262304,0.45056
RSCD,1,16,0.75,104.165138,4.450912,4.245856,0.476192
RSCD,1,16,0.9,129.586014,4.50384,3.880512,0.595104
RSCD,1,16,1.0,139.085114,2.669888,5.683264,0.48544
RSCD,1,32,0.0,1.041485,4.125312,3.74768,0.435392
RSCD,1,32,0.1,31.565174,4.583136,3.915136,0.322048
RSCD,1,32,0.25,62.56955,2.462432,4.269952,0.571808
RSCD,1,32,0.5,91.29776,5.249344,4.830016,0.555712
RSCD,1,32,0.75,119.13884,5.11232,5.385312,0.56976
RSCD,1,32,0.9,133.379028,5.048256,4.927328,0.560128
RSCD,1,32,1.0,140.496323,3.48064,3.91312,0.475136
RSCD,1,64,0.0,0.997237,5.403968,5.022688,0.52784
RSCD,1,64,0.1,29.945438,5.491168,5.3704,0.535712
RSCD,1,64,0.25,55.372242,3.75664,5.317472,0.600992
RSCD,1,64,0.5,99.014091,3.900064,4.951648,0.518496
RSCD,1,64,0.75,113.25798,4.835712,5.849056,0.643872
RSCD,1,64,0.9,139.034897,5.135264,5.461472,0.611648
RSCD,1,64,1.0,141.9216,5.207296,5.109504,0.526496
RSCD,4,8,0.0,0.925305,5.282432,4.792288,0.502592
RSCD,4,8,0.1,12.323272,4.558304,4.602464,0.566304
RSCD,4,8,0.25,23.163132,5.075712,4.819072,0.58544
RSCD,4,8,0.5,37.58263,1.543712,3.595488,0.592
RSCD,4,8,0.75,51.250542,5.229696,5.775104,0.561824
RSCD,4,8,0.9,61.606861,5.728704,4.967168,0.628928
RSCD,4,8,1.0,63.211662,4.99488,5.4832,0.45504
RSCD,4,16,0.0,0.872971,4.71568,5.72656,0.549152
RSCD,4,16,0.1,10.023382,5.057856,5.46624,0.514848
RSCD,4,16,0.25,20.051428,4.853216,4.663616,0.588256
RSCD,4,16,0.5,38.322613,5.416032,5.70864,0.579968
RSCD,4,16,0.75,51.650764,4.84384,4.948704,0.568672
RSCD,4,16,0.9,62.121223,4.626112,5.175936,0.567744
RSCD,4,16,1.0,64.244247,5.329024,5.750848,0.449504
RSCD,4,32,0.0,0.781354,3.742176,3.549056,0.388576
RSCD,4,32,0.1,9.683023,3.369312,3.98048,0.436352
RSCD,4,32,0.25,20.378296,3.656704,3.802624,0.49104
RSCD,4,32,0.5,39.050579,3.632896,3.878304,0.469952
RSCD,4,32,0.75,49.515419,3.638848,3.985728,0.44144
RSCD,4,32,0.9,59.641468,3.320288,3.920576,0.600992
