benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
RSCT,1,8,dynamic,2.980272,5.031808,2.44192,0.217952
RSCT,1,16,dynamic,2.727182,1.441216,1.766976,0.396256
RSCT,1,32,dynamic,3.052728,2.104992,2.308,0.348672
RSCT,1,64,dynamic,3.82284,1.755872,2.25168,0.34416
RSCT,4,8,dynamic,3.499423,2.0088,2.470016,0.286016
RSCT,4,16,dynamic,3.307709,1.86832,2.207264,0.347936
RSCT,4,32,dynamic,2.984053,2.216288,2.224672,0.34368
RSCT,4,64,dynamic,3.667368,1.83936,2.430208,0.352768
RSCT,16,8,dynamic,9.009614,1.8912,2.392576,0.2808
RSCT,16,16,dynamic,9.809953,4.201664,3.12752,0.387072
RSCT,16,32,dynamic,10.397581,4.17856,4.43888,0.40128
RSCT,16,64,dynamic,10.848854,5.380288,3.889984,0.37632
RSCT,32,8,dynamic,19.269239,5.382752,5.385952,0.460608
RSCT,32,16,dynamic,22.413609,4.41952,5.620672,0.508384
RSCT,32,32,dynamic,25.460587,5.09296,5.801536,0.521408
RSCT,32,64,dynamic,25.739307,5.185408,5.503008,0.510272
RSCT,64,8,dynamic,33.882778,5.52464,5.75184,0.503872
RSCT,64,16,dynamic,40.453587,4.124224,5.473248,0.49616
RSCT,64,32,dynamic,43.801292,5.542176,5.67168,0.69792
RSCT,64,64,dynamic,53.270069,5.544,5.421056,0.548384
