benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
SC,1,8,0.0,5.802443,0.231392,36.542561,0.917216
SC,1,8,0.1,15.432472,0.21728,35.698017,0.820864
SC,1,8,0.25,23.833895,0.23232,35.936352,1.026336
SC,1,8,0.5,41.54702,0.214112,36.040993,1.057408
SC,1,8,0.75,61.066498,0.244096,35.246017,1.050592
SC,1,8,0.9,68.378502,0.24048,36.383553,0.989504
SC,1,8,1.0,58.959003,0.237984,35.232193,1.424608
SC,1,16,0.0,3.946501,0.206752,35.267391,0.669568
SC,1,16,0.1,12.983577,0.219168,35.730656,0.977312
SC,1,16,0.25,30.179066,0.232416,36.597153,1.068064
SC,1,16,0.5,54.96526,0.241824,35.418369,1.058272
SC,1,16,0.75,71.075859,0.24048,37.900417,1.02128
SC,1,16,0.9,73.649742,0.220768,35.115456,1.026752
SC,1,16,1.0,58.171051,0.248608,36.864449,1.468608
SC,1,32,0.0,2.757459,0.22016,35.56723,0.88
SC,1,32,0.1,12.381899,0.230688,37.134464,1.035808
SC,1,32,0.25,30.493027,0.235264,36.254498,1.023232
SC,1,32,0.5,58.868507,0.271584,37.25008,1.036928
SC,1,32,0.75,88.696175,0.24384,36.534782,1.010432
SC,1,32,0.9,82.807671,0.26048,36.505951,0.71648
SC,1,32,1.0,59.310711,0.169728,29.128,1.213792
SC,1,64,0.0,2.144658,0.164128,28.965025,0.72512
SC,1,64,0.1,15.335653,0.164384,28.782721,0.67024
SC,1,64,0.25,34.963619,0.150816,29.108353,0.726368
SC,1,64,0.5,68.367081,0.166016,33.709503,0.739648
SC,1,64,0.75,82.053673,0.159744,29.490208,0.949632
SC,1,64,0.9,80.955368,0.247328,37.438015,1.06192
SC,1,64,1.0,60.183025,0.251552,37.097504,1.473728
SC,4,8,0.0,4.85644,0.265664,36.661182,0.955616
SC,4,8,0.1,6.758028,0.250912,39.088959,0.961056
SC,4,8,0.25,9.72812,0.224992,36.179649,0.752832
SC,4,8,0.5,16.745926,0.221824,36.398048,1.013888
SC,4,8,0.75,19.848692,0.233568,36.503071,0.93744
SC,4,8,0.9,24.231138,0.227712,36.653473,0.860352
SC,4,8,1.0,17.469126,0.257376,36.450527,1.08944
SC,4,16,0.0,3.703803,0.249152,35.918816,0.681184
SC,4,16,0.1,6.850709,0.249152,36.307232,0.906176
SC,4,16,0.25,11.953198,0.228512,36.874592,0.981472
SC,4,16,0.5,16.568361,0.23616,36.504192,0.8896
SC,4,16,0.75,22.608622,0.259552,35.586369,0.933088
SC,4,16,0.9,28.528391,0.233056,36.878689,0.740544
SC,4,16,1.0,17.430378,0.229248,36.61517,1.411712
SC,4,32,0.0,2.163314,0.263968,36.251072,0.925888
SC,4,32,0.1,6.241552,0.221216,35.815617,0.8376
SC,4,32,0.25,10.92625,0.226624,37.598305,0.873728
SC,4,32,0.5,19.978939,0.265888,37.017311,0.961824
SC,4,32,0.75,25.073971,0.253728,36.53677,0.947424
SC,4,32,0.9,26.097464,0.247968,36.116192,0.79904
SC,4,32,1.0,17.581728,0.237376,35.794399,1.38096
SC,4,64,0.0,2.068942,0.238368,37.147327,0.932448
SC,4,64,0.1,7.900006,0.244384,36.390175,0.934912
SC,4,64,0.25,12.820752,0.227776,36.219521,0.665888
SC,4,64,0.5,20.781235,0.246848,36.111553,1.164832
SC,4,64,0.75,25.475779,0.227168,36.155327,0.781344
SC,4,64,0.9,29.469599,0.233792,35.441921,0.839936
SC,4,64,1.0,17.491701,0.22832,36.314529,1.400288
SC,16,8,0.0,4.474828,0.254656,37.634911,0.674848
SC,16,8,0.1,8.454626,0.256032,36.099457,0.753664
SC,16,8,0.25,10.896168,0.237088,36.240578,0.73744
SC,16,8,0.5,11.864809,0.219648,35.719296,0.716128
SC,16,8,0.75,11.314863,0.228608,35.52803,0.703104
SC,16,8,0.9,12.574113,0.231424,35.49741,0.764
SC,16,8,1.0,6.543678,0.231712,36.078209,0.882112
SC,16,16,0.0,3.715342,0.242688,37.895905,0.64288
SC,16,16,0.1,8.059519,0.24032,36.29213,0.706464
SC,16,16,0.25,11.368565,0.248,36.332767,0.705952
SC,16,16,0.5,11.857597,0.225696,36.624447,0.66928
SC,16,16,0.75,11.739882,0.252064,35.667297,0.670496
SC,16,16,0.9,13.042547,0.22832,37.500607,0.729216
SC,16,16,1.0,6.356892,0.209056,36.283775,0.590464
SC,16,32,0.0,3.569381,0.224672,36.151615,0.717664
SC,16,32,0.1,8.029989,0.226432,71.90963,1.004192
SC,16,32,0.25,10.603931,0.233536,38.321182,0.671776
SC,16,32,0.5,14.030797,0.232192,37.231937,0.871712
SC,16,32,0.75,13.517545,0.2368,36.313217,0.795264
SC,16,32,0.9,15.839388,0.222848,36.162048,0.771968
SC,16,32,1.0,6.360518,0.2456,37.135521,0.799008
SC,16,64,0.0,3.108881,0.216928,35.205727,0.698944
SC,16,64,0.1,10.181609,0.227008,36.653538,0.999072
SC,16,64,0.25,11.625262,0.242624,36.747646,0.734112
SC,16,64,0.5,10.680058,0.260064,38.066498,0.771712
SC,16,64,0.75,14.088368,0.248864,37.890079,0.773856
SC,16,64,0.9,13.51877,0.234592,36.249634,0.767936
SC,16,64,1.0,6.558256,0.238784,35.888702,0.933696
SC,32,8,0.0,5.798258,0.23648,36.666527,0.766912
SC,32,8,0.1,8.969689,0.23872,36.206558,0.720192
SC,32,8,0.25,13.603314,0.242496,37.224705,0.815584
SC,32,8,0.5,44.774712,0.240192,36.540737,0.732608
SC,32,8,0.75,69.724075,0.23472,37.447266,0.796544
SC,32,8,0.9,77.517899,0.255456,35.859264,0.908128
SC,32,8,1.0,59.643837,0.228576,36.170753,0.704576
SC,32,16,0.0,4.910858,0.164768,29.869057,0.53008
SC,32,16,0.1,7.319926,0.165984,28.769953,0.722336
SC,32,16,0.25,11.97973,0.1696,28.882977,0.510432
SC,32,16,0.5,34.445309,0.15664,29.139616,0.60672
SC,32,16,0.75,65.016914,0.160736,29.094816,0.611328
SC,32,16,0.9,68.560501,0.16368,29.432608,0.633984
SC,32,16,1.0,49.775612,0.178656,30.894815,0.667232
SC,32,32,0.0,5.544114,0.227616,36.146881,1.012928
SC,32,32,0.1,10.188966,0.256224,37.900032,0.802848
SC,32,32,0.25,15.672224,0.218272,35.074402,0.606016
SC,32,32,0.5,40.563293,0.241344,36.45779,0.843168
SC,32,32,0.75,72.40242,0.266304,36.356319,0.621536
SC,32,32,0.9,68.924576,0.206112,32.13456,0.672224
SC,32,32,1.0,62.284801,0.252768,36.474945,0.861888
SC,32,64,0.0,5.017602,0.241568,36.027554,0.988256
SC,32,64,0.1,10.343639,0.262048,36.667969,0.797792
SC,32,64,0.25,16.689465,0.231296,36.248287,0.77024
SC,32,64,0.5,41.262451,0.242048,35.649311,0.749056
SC,32,64,0.75,75.943748,0.216128,36.142784,0.805056
SC,32,64,0.9,74.03154,0.268192,36.539776,0.799008
SC,32,64,1.0,54.45573,0.270496,36.358849,0.606752
SC,64,8,0.0,10.052526,0.217248,36.148193,1.117888
SC,64,8,0.1,12.872296,0.233952,36.988991,1.172896
SC,64,8,0.25,17.481892,0.230368,36.410175,0.801792
SC,64,8,0.5,24.524595,0.23584,35.562176,0.83136
SC,64,8,0.75,127.431885,0.224096,36.432034,0.794784
SC,64,8,0.9,210.571198,0.242208,37.058369,0.81056
SC,64,8,1.0,156.422348,0.230624,38.35117,0.6904
SC,64,16,0.0,9.906332,0.226176,35.695103,1.10336
SC,64,16,0.1,12.388414,0.235488,35.82,0.976096
SC,64,16,0.25,18.460316,0.239424,35.788609,0.80032
SC,64,16,0.5,24.433685,0.20576,35.322815,0.740928
SC,64,16,0.75,165.97345,0.248704,37.062881,0.827744
SC,64,16,0.9,208.526855,0.2144,34.893375,0.933152
SC,64,16,1.0,204.715118,0.251648,36.533314,0.488992
SC,64,32,0.0,6.882237,0.110176,17.706335,0.915904
SC,64,32,0.1,9.428823,0.175424,30.605728,0.62384
SC,64,32,0.25,14.37401,0.270016,37.877472,0.562272
SC,64,32,0.5,21.454332,0.185632,31.265728,0.558848
SC,64,32,0.75,157.226227,0.268192,35.472191,0.752032
SC,64,32,0.9,164.92868,0.114368,17.496321,0.624896
SC,64,32,1.0,307.424164,0.154304,28.892193,0.32496
SC,64,64,0.0,6.483642,0.11616,17.162527,0.91344
SC,64,64,0.1,9.306852,0.108,17.453632,0.55344
SC,64,64,0.25,13.885198,0.10672,17.484287,0.413088
SC,64,64,0.5,22.664158,0.13504,18.784767,0.43424
SC,64,64,0.75,139.430649,0.117536,17.271776,0.458272
SC,64,64,0.9,189.021408,0.167648,29.989153,0.591072
SC,64,64,1.0,167.597885,0.115552,17.689024,0.355456
