benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
SSSP,1,8,dynamic,1524.616577,0.136864,91.892189,0.61888
SSSP,1,16,dynamic,1758.338623,0.233664,170.743713,0.695712
SSSP,1,32,dynamic,1815.38147,0.258848,176.852798,0.75088
SSSP,1,64,dynamic,2616.083984,0.252768,174.375366,0.648992
SSSP,4,8,dynamic,1510.127197,0.266016,177.447067,0.843008
SSSP,4,16,dynamic,1505.081299,0.216736,184.515808,0.721184
SSSP,4,32,dynamic,1839.326782,0.22608,171.838943,0.558976
SSSP,4,64,dynamic,2617.582764,0.28416,178.215363,0.98032
SSSP,16,8,dynamic,1548.32251,0.210432,167.784134,0.520128
SSSP,16,16,dynamic,1632.662354,0.254688,177.921127,0.560288
SSSP,16,32,dynamic,1897.042358,0.13088,94.568703,0.48768
SSSP,16,64,dynamic,2746.379395,0.135616,93.204605,0.547232
SSSP,32,8,dynamic,8050.725098,0.146304,92.304192,0.544192
SSSP,32,16,dynamic,8375.107422,0.128064,96.334145,0.498432
SSSP,32,32,dynamic,8997.048828,0.139264,91.78614,0.519904
SSSP,32,64,dynamic,9193.412109,0.132672,92.495361,0.512736
SSSP,64,8,dynamic,21827.158203,0.141984,92.547455,0.574336
SSSP,64,16,dynamic,21298.085938,0.143424,95.639389,0.591008
SSSP,64,32,dynamic,24219.488281,0.142368,131.314682,0.541024
SSSP,64,64,dynamic,NA,NA,NA,NA
