benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
TQH,1,8,dynamic,333.968323,0.208128,43824.34375,18.074528
TQH,1,16,dynamic,155.418915,0.265632,33139.15625,17.79808
TQH,1,32,dynamic,77.917618,0.376256,59967.453125,17.913313
TQH,1,64,dynamic,41.287735,0.206688,40118.894531,17.67024
TQH,4,8,dynamic,318.916138,0.288192,37655.660156,17.545313
TQH,4,16,dynamic,153.64888,0.268288,34432.761719,17.49008
TQH,4,32,dynamic,78.428146,0.297024,43997.246094,17.806911
TQH,4,64,dynamic,63.985607,0.310592,62811.496094,29.835873
TQH,16,8,dynamic,298.281921,0.296704,33537.503906,17.253216
TQH,16,16,dynamic,163.537262,0.282016,39722.976562,17.633247
TQH,16,32,dynamic,84.116074,0.223552,49753.613281,17.583584
TQH,16,64,dynamic,42.030525,0.305472,37755.019531,19.9016
TQH,32,8,dynamic,323.091278,0.271744,48146.050781,17.29328
TQH,32,16,dynamic,172.726776,0.267584,48474.746094,17.416609
TQH,32,32,dynamic,78.631027,0.288896,39963.613281,17.86784
TQH,32,64,dynamic,42.290764,0.256992,46196.800781,17.546623
TQH,64,8,dynamic,339.672485,0.2096,35248.6875,17.541887
TQH,64,16,dynamic,164.050186,0.279552,46589.253906,17.686527
TQH,64,32,dynamic,103.420822,0.222208,49765.453125,17.737152
TQH,64,64,dynamic,70.509644,0.2856,64532.027344,29.478912
