benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
TQ,1,8,dynamic,34.000198,0.256096,8.983936,0.539968
TQ,1,16,dynamic,28.874893,0.238464,7.210624,0.526816
TQ,1,32,dynamic,23.533936,0.239296,5.698464,0.463776
TQ,1,64,dynamic,21.459261,0.267872,6.102176,0.502112
TQ,4,8,dynamic,34.031113,0.232192,5.81792,0.516448
TQ,4,16,dynamic,29.778952,0.264064,5.8136,0.4344
TQ,4,32,dynamic,25.054386,0.292928,5.710528,0.501056
TQ,4,64,dynamic,22.367182,0.220128,6.210496,0.28448
TQ,16,8,dynamic,30.753063,0.245792,6.20944,0.283648
TQ,16,16,dynamic,27.565008,0.228032,5.542016,0.275424
TQ,16,32,dynamic,23.733433,0.238816,4.973344,0.28624
TQ,16,64,dynamic,22.395123,0.257952,6.122784,0.277152
TQ,32,8,dynamic,30.835499,0.238368,5.081376,0.331616
TQ,32,16,dynamic,27.132452,0.2392,6.127872,0.28608
TQ,32,32,dynamic,25.645618,0.22192,6.24704,0.27904
TQ,32,64,dynamic,22.751411,0.238272,6.227136,0.290144
TQ,64,8,dynamic,26.694904,0.178944,4.711456,0.230912
TQ,64,16,dynamic,26.868237,0.16688,4.631488,0.230848
TQ,64,32,dynamic,22.898159,0.182112,4.480064,0.244832
TQ,64,64,dynamic,21.559788,0.16656,5.004256,0.217504
