benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
TRNS,1,8,dynamic,932.258667,0.23872,216.599365,3.654464
TRNS,1,16,dynamic,908.336609,0.169152,205.864868,3.468448
TRNS,1,32,dynamic,601.321045,0.262784,214.887711,3.509696
TRNS,1,64,dynamic,538.415222,0.189824,222.513535,3.81744
TRNS,4,8,dynamic,248.719849,0.245536,215.448486,3.46736
TRNS,4,16,dynamic,212.689728,0.13056,118.398499,3.711936
TRNS,4,32,dynamic,197.891006,0.24672,215.355621,5.353632
TRNS,4,64,dynamic,160.140671,0.181408,210.088516,4.797984
TRNS,16,8,dynamic,219.473587,0.166688,215.497223,5.250656
TRNS,16,16,dynamic,194.279053,0.259744,218.798172,6.342496
TRNS,16,32,dynamic,172.366379,0.250976,214.508957,6.6952
TRNS,16,64,dynamic,164.367508,0.24624,215.00032,6.27776
TRNS,32,8,dynamic,237.759003,0.257888,220.537369,6.957536
TRNS,32,16,dynamic,231.480591,0.246016,215.340668,7.655008
TRNS,32,32,dynamic,224.319382,0.24464,218.772095,7.281728
TRNS,32,64,dynamic,206.651657,0.22816,214.342239,8.132768
TRNS,64,8,dynamic,211.435303,0.234336,222.264679,7.292416
TRNS,64,16,dynamic,205.972214,0.336288,219.079559,8.38
TRNS,64,32,dynamic,217.046417,0.238016,218.614471,5.278368
TRNS,64,64,dynamic,151.61879,0.192864,212.063065,5.698208
