benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
BFS,1,8,dynamic,5455,39409,145.34765625,128.2734375,21.30859375,153.94140625
BFS,1,16,dynamic,5710,78804,214.30859375,193.38671875,22.3046875,307.828125
BFS,1,32,dynamic,5883,162384,156.0390625,145.91796875,22.98046875,634.3125
BFS,1,64,dynamic,6105,277930,54.16796875,45.55078125,23.84765625,1085.6640625
BFS,4,8,dynamic,20764,228260,50.00390625,41.2578125,81.109375,891.640625
BFS,4,16,dynamic,21003,338240,51.2734375,42.55078125,82.04296875,1321.25
BFS,4,32,dynamic,19960,173824,111.12890625,98.796875,77.96875,679.0
BFS,4,64,dynamic,20926,242900,65.68359375,58.1484375,81.7421875,948.828125
BFS,16,8,dynamic,72534,46570,58.03125,51.16796875,283.3359375,181.9140625
BFS,16,16,dynamic,78947,209161,60.8671875,53.81640625,308.38671875,817.03515625
BFS,16,32,dynamic,66334,132896,332.03125,262.99609375,259.1171875,519.125
BFS,16,64,dynamic,72445,218849,253.41015625,185.22265625,282.98828125,854.87890625
BFS,32,8,dynamic,177106,179062,149.13671875,141.48046875,691.8203125,699.4609375
BFS,32,16,dynamic,165736,384620,100.19921875,93.1875,647.40625,1502.421875
BFS,32,32,dynamic,171198,455725,116.81640625,108.10546875,668.7421875,1780.17578125
BFS,32,64,dynamic,175769,741903,65.578125,56.8671875,686.59765625,2898.05859375
BFS,64,8,dynamic,507598,394194,91.18359375,82.5078125,1982.8046875,1539.8203125
BFS,64,16,dynamic,522671,585228,174.6875,166.0703125,2041.68359375,2286.046875
BFS,64,32,dynamic,509544,1036889,151.17578125,142.1796875,1990.40625,4050.34765625
BFS,64,64,dynamic,478664,1775083,227.58984375,208.5390625,1869.78125,6933.91796875
