benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
BS,1,8,0.0,9,58,0.0625,2.125,0.03515625,0.2265625
BS,1,8,0.1,21,101,1.0,3.0625,0.08203125,0.39453125
BS,1,8,0.25,27,135,3.25,5.3125,0.10546875,0.52734375
BS,1,8,0.5,18,159,3.4375,4.5625,0.0703125,0.62109375
BS,1,8,0.75,15,112,1.75,2.3125,0.05859375,0.4375
BS,1,8,0.9,15,119,1.0,1.3125,0.05859375,0.46484375
BS,1,8,1.0,12,64,0.25,0.25,0.046875,0.25
BS,1,16,0.0,9,84,0.0625,2.125,0.03515625,0.328125
BS,1,16,0.1,22,188,1.0625,3.125,0.0859375,0.734375
BS,1,16,0.25,27,221,3.25,5.3125,0.10546875,0.86328125
BS,1,16,0.5,18,260,3.4375,4.5625,0.0703125,1.015625
BS,1,16,0.75,15,217,1.75,2.3125,0.05859375,0.84765625
BS,1,16,0.9,15,203,1.0,1.3125,0.05859375,0.79296875
BS,1,16,1.0,12,128,0.25,0.25,0.046875,0.5
BS,1,32,0.0,9,104,0.0625,2.125,0.03515625,0.40625
BS,1,32,0.1,21,295,1.0,3.0625,0.08203125,1.15234375
BS,1,32,0.25,27,324,3.25,5.3125,0.10546875,1.265625
BS,1,32,0.5,18,337,3.4375,4.5625,0.0703125,1.31640625
BS,1,32,0.75,15,330,1.75,2.3125,0.05859375,1.2890625
BS,1,32,0.9,15,289,1.0,1.3125,0.05859375,1.12890625
BS,1,32,1.0,12,256,0.25,0.25,0.046875,1.0
BS,1,64,0.0,9,137,0.0625,2.125,0.03515625,0.53515625
BS,1,64,0.1,21,536,1.0,3.0625,0.08203125,2.09375
BS,1,64,0.25,27,534,3.25,5.3125,0.10546875,2.0859375
BS,1,64,0.5,18,606,3.4375,4.5625,0.0703125,2.3671875
BS,1,64,0.75,15,581,1.75,2.3125,0.05859375,2.26953125
BS,1,64,0.9,15,547,1.0,1.3125,0.05859375,2.13671875
BS,1,64,1.0,12,512,0.25,0.25,0.046875,2.0
BS,4,8,0.0,9,61,0.0625,2.125,0.03515625,0.23828125
BS,4,8,0.1,21,94,1.0,3.0625,0.08203125,0.3671875
BS,4,8,0.25,32,127,3.375,5.3125,0.125,0.49609375
BS,4,8,0.5,20,187,3.4375,4.5625,0.078125,0.73046875
BS,4,8,0.75,18,169,1.75,2.3125,0.0703125,0.66015625
BS,4,8,0.9,16,112,1.0,1.3125,0.0625,0.4375
BS,4,8,1.0,12,64,0.25,0.25,0.046875,0.25
BS,4,16,0.0,9,88,0.0625,2.125,0.03515625,0.34375
BS,4,16,0.1,23,176,1.0,3.0625,0.08984375,0.6875
BS,4,16,0.25,27,223,3.25,5.3125,0.10546875,0.87109375
BS,4,16,0.5,22,202,3.4375,4.5625,0.0859375,0.7890625
BS,4,16,0.75,15,245,1.75,2.3125,0.05859375,0.95703125
BS,4,16,0.9,18,224,1.0,1.3125,0.0703125,0.875
BS,4,16,1.0,12,128,0.25,0.25,0.046875,0.5
BS,4,32,0.0,9,105,0.0625,2.125,0.03515625,0.41015625
BS,4,32,0.1,22,294,1.0,3.0625,0.0859375,1.1484375
BS,4,32,0.25,30,277,3.25,5.3125,0.1171875,1.08203125
BS,4,32,0.5,22,330,3.4375,4.5625,0.0859375,1.2890625
BS,4,32,0.75,15,287,1.75,2.3125,0.05859375,1.12109375
BS,4,32,0.9,18,274,1.0,1.3125,0.0703125,1.0703125
BS,4,32,1.0,13,256,0.25,0.25,0.05078125,1.0
BS,4,64,0.0,9,149,0.0625,2.125,0.03515625,0.58203125
BS,4,64,0.1,21,530,1.0,3.0625,0.08203125,2.0703125
BS,4,64,0.25,30,549,3.25,5.3125,0.1171875,2.14453125
BS,4,64,0.5,18,589,3.4375,4.5625,0.0703125,2.30078125
BS,4,64,0.75,15,568,1.75,2.3125,0.05859375,2.21875
BS,4,64,0.9,16,546,1.0,1.3125,0.0625,2.1328125
BS,4,64,1.0,13,512,0.25,0.25,0.05078125,2.0
BS,16,8,0.0,9,66,0.0625,2.125,0.03515625,0.2578125
BS,16,8,0.1,22,114,1.0,3.0625,0.0859375,0.4453125
BS,16,8,0.25,31,144,3.25,5.3125,0.12109375,0.5625
BS,16,8,0.5,26,178,3.4375,4.5625,0.1015625,0.6953125
BS,16,8,0.75,15,164,1.75,2.3125,0.05859375,0.640625
BS,16,8,0.9,15,102,1.0,1.3125,0.05859375,0.3984375
BS,16,8,1.0,13,64,0.25,0.25,0.05078125,0.25
BS,16,16,0.0,9,90,0.0625,2.125,0.03515625,0.3515625
BS,16,16,0.1,23,162,1.0625,3.125,0.08984375,0.6328125
BS,16,16,0.25,34,196,3.25,5.3125,0.1328125,0.765625
BS,16,16,0.5,22,225,3.4375,4.5625,0.0859375,0.87890625
BS,16,16,0.75,18,213,1.75,2.3125,0.0703125,0.83203125
BS,16,16,0.9,17,185,1.0,1.3125,0.06640625,0.72265625
BS,16,16,1.0,12,128,0.25,0.25,0.046875,0.5
BS,16,32,0.0,9,112,0.0625,2.125,0.03515625,0.4375
BS,16,32,0.1,21,281,1.0,3.0625,0.08203125,1.09765625
BS,16,32,0.25,37,283,3.25,5.3125,0.14453125,1.10546875
BS,16,32,0.5,19,361,3.4375,4.5625,0.07421875,1.41015625
BS,16,32,0.75,18,365,1.75,2.3125,0.0703125,1.42578125
BS,16,32,0.9,17,287,1.0,1.3125,0.06640625,1.12109375
BS,16,32,1.0,12,256,0.25,0.25,0.046875,1.0
BS,16,64,0.0,9,150,0.0625,2.125,0.03515625,0.5859375
BS,16,64,0.1,21,530,1.0,3.0625,0.08203125,2.0703125
BS,16,64,0.25,34,539,3.25,5.3125,0.1328125,2.10546875
BS,16,64,0.5,20,570,3.4375,4.5625,0.078125,2.2265625
BS,16,64,0.75,15,563,1.75,2.3125,0.05859375,2.19921875
BS,16,64,0.9,15,537,1.0,1.3125,0.05859375,2.09765625
BS,16,64,1.0,12,512,0.25,0.25,0.046875,2.0
BS,32,8,0.0,9,59,0.0625,2.125,0.03515625,0.23046875
BS,32,8,0.1,22,109,1.0625,3.125,0.0859375,0.42578125
BS,32,8,0.25,27,117,3.25,5.3125,0.10546875,0.45703125
BS,32,8,0.5,19,175,3.4375,4.5625,0.07421875,0.68359375
BS,32,8,0.75,15,154,1.75,2.3125,0.05859375,0.6015625
BS,32,8,0.9,19,120,1.0,1.3125,0.07421875,0.46875
BS,32,8,1.0,13,64,0.25,0.25,0.05078125,0.25
BS,32,16,0.0,9,73,0.0625,2.125,0.03515625,0.28515625
BS,32,16,0.1,22,179,1.0625,3.125,0.0859375,0.69921875
BS,32,16,0.25,28,198,3.25,5.3125,0.109375,0.7734375
BS,32,16,0.5,18,214,3.4375,4.5625,0.0703125,0.8359375
BS,32,16,0.75,15,211,1.75,2.3125,0.05859375,0.82421875
BS,32,16,0.9,15,191,1.0,1.3125,0.05859375,0.74609375
BS,32,16,1.0,12,128,0.25,0.25,0.046875,0.5
BS,32,32,0.0,9,103,0.0625,2.125,0.03515625,0.40234375
BS,32,32,0.1,21,282,1.0,3.0625,0.08203125,1.1015625
BS,32,32,0.25,29,307,3.3125,5.3125,0.11328125,1.19921875
BS,32,32,0.5,18,340,3.4375,4.5625,0.0703125,1.328125
BS,32,32,0.75,15,389,1.75,2.3125,0.05859375,1.51953125
BS,32,32,0.9,16,291,1.0,1.3125,0.0625,1.13671875
BS,32,32,1.0,12,256,0.25,0.25,0.046875,1.0
BS,32,64,0.0,9,148,0.0625,2.125,0.03515625,0.578125
BS,32,64,0.1,21,531,1.0,3.0625,0.08203125,2.07421875
BS,32,64,0.25,31,536,3.25,5.3125,0.12109375,2.09375
BS,32,64,0.5,18,584,3.4375,4.5625,0.0703125,2.28125
BS,32,64,0.75,15,596,1.75,2.3125,0.05859375,2.328125
BS,32,64,0.9,17,555,1.0,1.3125,0.06640625,2.16796875
BS,32,64,1.0,14,512,0.25,0.25,0.0546875,2.0
BS,64,8,0.0,9,50,0.0625,2.125,0.03515625,0.1953125
BS,64,8,0.1,22,116,1.0,3.0625,0.0859375,0.453125
BS,64,8,0.25,33,137,3.25,5.3125,0.12890625,0.53515625
BS,64,8,0.5,23,156,3.4375,4.5625,0.08984375,0.609375
BS,64,8,0.75,23,156,1.75,2.3125,0.08984375,0.609375
BS,64,8,0.9,25,119,1.0,1.3125,0.09765625,0.46484375
BS,64,8,1.0,20,64,0.25,0.25,0.078125,0.25
BS,64,16,0.0,9,84,0.0625,2.125,0.03515625,0.328125
BS,64,16,0.1,21,172,1.0,3.0625,0.08203125,0.671875
BS,64,16,0.25,33,228,3.25,5.3125,0.12890625,0.890625
BS,64,16,0.5,22,224,3.4375,4.5625,0.0859375,0.875
BS,64,16,0.75,24,208,1.75,2.3125,0.09375,0.8125
BS,64,16,0.9,23,190,1.0,1.3125,0.08984375,0.7421875
BS,64,16,1.0,21,128,0.25,0.25,0.08203125,0.5
BS,64,32,0.0,9,112,0.0625,2.125,0.03515625,0.4375
BS,64,32,0.1,24,278,1.0,3.0625,0.09375,1.0859375
BS,64,32,0.25,40,307,3.5,5.3125,0.15625,1.19921875
BS,64,32,0.5,23,344,3.4375,4.5625,0.08984375,1.34375
BS,64,32,0.75,24,415,1.75,2.3125,0.09375,1.62109375
BS,64,32,0.9,32,303,1.0,1.3125,0.125,1.18359375
BS,64,32,1.0,20,256,0.25,0.25,0.078125,1.0
BS,64,64,0.0,9,157,0.0625,2.125,0.03515625,0.61328125
BS,64,64,0.1,22,539,1.0625,3.125,0.0859375,2.10546875
BS,64,64,0.25,32,542,3.25,5.3125,0.125,2.1171875
BS,64,64,0.5,23,600,3.4375,4.5625,0.08984375,2.34375
BS,64,64,0.75,22,581,1.75,2.3125,0.0859375,2.26953125
BS,64,64,0.9,22,560,1.0,1.3125,0.0859375,2.1875
BS,64,64,1.0,22,512,0.25,0.25,0.0859375,2.0
