benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
CEDD,1,default,0.0,15,62,1.0,1.0,0.05859375,0.2421875
CEDD,1,default,0.1,15,72,1.0,1.0,0.05859375,0.28125
CEDD,1,default,0.25,12,59,0.75,0.75,0.046875,0.23046875
CEDD,1,default,0.5,9,57,0.5,0.5,0.03515625,0.22265625
CEDD,1,default,0.75,6,18,0.25,0.25,0.0234375,0.0703125
CEDD,1,default,0.9,6,30,0.25,0.25,0.0234375,0.1171875
CEDD,1,default,1.0,0,0,,,0.0,0.0
CEDD,4,default,0.0,15,104,1.0,1.0,0.05859375,0.40625
CEDD,4,default,0.1,15,94,1.0,1.0,0.05859375,0.3671875
CEDD,4,default,0.25,12,57,0.75,0.75,0.046875,0.22265625
CEDD,4,default,0.5,9,49,0.5,0.5,0.03515625,0.19140625
CEDD,4,default,0.75,6,7,0.25,0.25,0.0234375,0.02734375
CEDD,4,default,0.9,6,26,0.25,0.25,0.0234375,0.1015625
CEDD,4,default,1.0,0,0,,,0.0,0.0
CEDD,16,default,0.0,15,83,1.0,1.0,0.05859375,0.32421875
CEDD,16,default,0.1,15,93,1.0,1.0,0.05859375,0.36328125
CEDD,16,default,0.25,12,66,0.75,0.75,0.046875,0.2578125
CEDD,16,default,0.5,9,55,0.5,0.5,0.03515625,0.21484375
CEDD,16,default,0.75,6,27,0.25,0.25,0.0234375,0.10546875
CEDD,16,default,0.9,6,25,0.25,0.25,0.0234375,0.09765625
CEDD,16,default,1.0,0,0,,,0.0,0.0
CEDD,32,default,0.0,15,79,1.0,1.0,0.05859375,0.30859375
CEDD,32,default,0.1,15,70,1.0,1.0,0.05859375,0.2734375
CEDD,32,default,0.25,12,51,0.75,0.75,0.046875,0.19921875
CEDD,32,default,0.5,9,48,0.5,0.5,0.03515625,0.1875
CEDD,32,default,0.75,6,18,0.25,0.25,0.0234375,0.0703125
CEDD,32,default,0.9,6,18,0.25,0.25,0.0234375,0.0703125
CEDD,32,default,1.0,0,0,,,0.0,0.0
CEDD,64,default,0.0,15,72,1.0,1.0,0.05859375,0.28125
CEDD,64,default,0.1,15,74,1.0,1.0,0.05859375,0.2890625
CEDD,64,default,0.25,12,77,0.75,0.75,0.046875,0.30078125
CEDD,64,default,0.5,9,45,0.5,0.5,0.03515625,0.17578125
CEDD,64,default,0.75,6,19,0.25,0.25,0.0234375,0.07421875
CEDD,64,default,0.9,6,23,0.25,0.25,0.0234375,0.08984375
CEDD,64,default,1.0,0,0,,,0.0,0.0
