benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
HSTI,1,8,0.0,41,188,6.25,6.25,0.16015625,0.734375
HSTI,1,8,0.1,56,213,9.25,9.25,0.21875,0.83203125
HSTI,1,8,0.25,36,179,4.75,4.75,0.140625,0.69921875
HSTI,1,8,0.5,30,140,3.25,3.25,0.1171875,0.546875
HSTI,1,8,0.75,29,256,2.25,2.25,0.11328125,1.0
HSTI,1,8,0.9,27,410,2.75,2.75,0.10546875,1.6015625
HSTI,1,8,1.0,23,256,0.25,0.25,0.08984375,1.0
HSTI,1,16,0.0,41,256,6.25,6.25,0.16015625,1.0
HSTI,1,16,0.1,56,290,9.25,9.25,0.21875,1.1328125
HSTI,1,16,0.25,36,233,4.75,4.75,0.140625,0.91015625
HSTI,1,16,0.5,30,202,3.25,3.25,0.1171875,0.7890625
HSTI,1,16,0.75,29,478,2.25,2.25,0.11328125,1.8671875
HSTI,1,16,0.9,27,626,2.75,2.75,0.10546875,2.4453125
HSTI,1,16,1.0,23,512,0.25,0.25,0.08984375,2.0
HSTI,1,32,0.0,41,392,6.25,6.25,0.16015625,1.53125
HSTI,1,32,0.1,56,399,9.25,9.25,0.21875,1.55859375
HSTI,1,32,0.25,36,379,4.75,4.75,0.140625,1.48046875
HSTI,1,32,0.5,30,343,3.25,3.25,0.1171875,1.33984375
HSTI,1,32,0.75,29,814,2.25,2.25,0.11328125,3.1796875
HSTI,1,32,0.9,27,298,2.75,2.75,0.10546875,1.1640625
HSTI,1,32,1.0,23,1024,0.25,0.25,0.08984375,4.0
HSTI,1,64,0.0,41,615,6.25,6.25,0.16015625,2.40234375
HSTI,1,64,0.1,56,658,9.25,9.25,0.21875,2.5703125
HSTI,1,64,0.25,36,643,4.75,4.75,0.140625,2.51171875
HSTI,1,64,0.5,30,597,3.25,3.25,0.1171875,2.33203125
HSTI,1,64,0.75,29,861,2.25,2.25,0.11328125,3.36328125
HSTI,1,64,0.9,27,384,2.75,2.75,0.10546875,1.5
HSTI,1,64,1.0,23,1024,0.25,0.25,0.08984375,4.0
HSTI,4,8,0.0,41,186,6.25,6.25,0.16015625,0.7265625
HSTI,4,8,0.1,56,214,9.25,9.25,0.21875,0.8359375
HSTI,4,8,0.25,36,171,4.75,4.75,0.140625,0.66796875
HSTI,4,8,0.5,31,142,3.25,3.25,0.12109375,0.5546875
HSTI,4,8,0.75,31,265,2.25,2.25,0.12109375,1.03515625
HSTI,4,8,0.9,27,414,2.75,2.75,0.10546875,1.6171875
HSTI,4,8,1.0,23,256,0.25,0.25,0.08984375,1.0
HSTI,4,16,0.0,41,250,6.25,6.25,0.16015625,0.9765625
HSTI,4,16,0.1,57,280,9.25,9.25,0.22265625,1.09375
HSTI,4,16,0.25,36,235,4.75,4.75,0.140625,0.91796875
HSTI,4,16,0.5,30,200,3.25,3.25,0.1171875,0.78125
HSTI,4,16,0.75,29,467,2.25,2.25,0.11328125,1.82421875
HSTI,4,16,0.9,28,627,2.75,2.75,0.109375,2.44921875
HSTI,4,16,1.0,23,512,0.25,0.25,0.08984375,2.0
HSTI,4,32,0.0,41,400,6.25,6.25,0.16015625,1.5625
HSTI,4,32,0.1,58,391,9.25,9.25,0.2265625,1.52734375
HSTI,4,32,0.25,36,373,4.75,4.75,0.140625,1.45703125
HSTI,4,32,0.5,30,340,3.25,3.25,0.1171875,1.328125
HSTI,4,32,0.75,32,805,2.25,2.25,0.125,3.14453125
HSTI,4,32,0.9,28,258,2.75,2.75,0.109375,1.0078125
HSTI,4,32,1.0,23,1024,0.25,0.25,0.08984375,4.0
