benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
HSTO,1,8,0.0,166,1723,26.21484375,26.21484375,0.6484375,6.73046875
HSTO,1,8,0.1,115,884,25.06640625,25.06640625,0.44921875,3.453125
HSTO,1,8,0.25,144,2104,25.3828125,25.3828125,0.5625,8.21875
HSTO,1,8,0.5,101,1548,25.2578125,25.2578125,0.39453125,6.046875
HSTO,1,8,0.75,144,1813,25.484375,25.484375,0.5625,7.08203125
HSTO,1,8,0.9,132,1286,24.3828125,24.3828125,0.515625,5.0234375
HSTO,1,8,1.0,117,1854,24.78515625,24.78515625,0.45703125,7.2421875
HSTO,1,16,0.0,65,1520,13.0625,13.0625,0.25390625,5.9375
HSTO,1,16,0.1,189,3879,26.28125,26.28125,0.73828125,15.15234375
HSTO,1,16,0.25,118,3582,25.828125,25.828125,0.4609375,13.9921875
HSTO,1,16,0.5,111,2414,24.0546875,24.0546875,0.43359375,9.4296875
HSTO,1,16,0.75,151,4873,25.01171875,25.01171875,0.58984375,19.03515625
HSTO,1,16,0.9,137,4462,25.70703125,25.70703125,0.53515625,17.4296875
HSTO,1,16,1.0,139,4293,26.2578125,26.2578125,0.54296875,16.76953125
HSTO,1,32,0.0,222,5255,21.140625,21.140625,0.8671875,20.52734375
HSTO,1,32,0.1,138,4172,25.1875,25.1875,0.5390625,16.296875
HSTO,1,32,0.25,142,7593,23.30078125,23.30078125,0.5546875,29.66015625
HSTO,1,32,0.5,108,11072,22.29296875,22.29296875,0.421875,43.25
HSTO,1,32,0.75,117,6140,23.88671875,23.88671875,0.45703125,23.984375
HSTO,1,32,0.9,111,6176,23.609375,23.609375,0.43359375,24.125
HSTO,1,32,1.0,222,12019,27.625,27.625,0.8671875,46.94921875
HSTO,1,64,0.0,152,14511,20.890625,20.890625,0.59375,56.68359375
HSTO,1,64,0.1,95,14893,23.8359375,23.8359375,0.37109375,58.17578125
HSTO,1,64,0.25,121,31032,26.0078125,26.0078125,0.47265625,121.21875
HSTO,1,64,0.5,112,12873,24.00390625,24.00390625,0.4375,50.28515625
HSTO,1,64,0.75,107,14980,24.953125,24.953125,0.41796875,58.515625
HSTO,1,64,0.9,102,15441,22.625,22.625,0.3984375,60.31640625
HSTO,1,64,1.0,77,9257,24.125,24.125,0.30078125,36.16015625
HSTO,4,8,0.0,247,3201,21.890625,21.890625,0.96484375,12.50390625
HSTO,4,8,0.1,215,1709,26.65625,26.65625,0.83984375,6.67578125
HSTO,4,8,0.25,747,5763,35.8984375,35.8984375,2.91796875,22.51171875
HSTO,4,8,0.5,388,3291,28.75,28.75,1.515625,12.85546875
HSTO,4,8,0.75,211,2372,26.2421875,26.2421875,0.82421875,9.265625
HSTO,4,8,0.9,306,3845,28.8046875,28.8046875,1.1953125,15.01953125
HSTO,4,8,1.0,235,1804,25.671875,25.671875,0.91796875,7.046875
HSTO,4,16,0.0,344,8748,31.6328125,31.6328125,1.34375,34.171875
HSTO,4,16,0.1,281,6321,32.234375,32.234375,1.09765625,24.69140625
HSTO,4,16,0.25,247,8190,25.140625,25.140625,0.96484375,31.9921875
HSTO,4,16,0.5,262,6538,23.5546875,23.5546875,1.0234375,25.5390625
HSTO,4,16,0.75,226,12222,29.05859375,29.05859375,0.8828125,47.7421875
HSTO,4,16,0.9,175,5375,25.31640625,25.31640625,0.68359375,20.99609375
HSTO,4,16,1.0,293,4675,27.10546875,27.10546875,1.14453125,18.26171875
HSTO,4,32,0.0,168,8587,27.18359375,27.18359375,0.65625,33.54296875
HSTO,4,32,0.1,147,12795,29.0703125,29.0703125,0.57421875,49.98046875
HSTO,4,32,0.25,295,18203,31.9375,31.9375,1.15234375,71.10546875
HSTO,4,32,0.5,292,14767,27.29296875,27.29296875,1.140625,57.68359375
HSTO,4,32,0.75,171,13723,23.984375,23.984375,0.66796875,53.60546875
HSTO,4,32,0.9,255,14559,26.859375,26.859375,0.99609375,56.87109375
HSTO,4,32,1.0,109,7736,24.94921875,24.94921875,0.42578125,30.21875
HSTO,4,64,0.0,242,26565,25.47265625,25.47265625,0.9453125,103.76953125
HSTO,4,64,0.1,215,26833,27.9296875,27.9296875,0.83984375,104.81640625
HSTO,4,64,0.25,336,13908,30.67578125,30.67578125,1.3125,54.328125
HSTO,4,64,0.5,430,42897,30.09375,30.09375,1.6796875,167.56640625
HSTO,4,64,0.75,162,16206,25.953125,25.953125,0.6328125,63.3046875
HSTO,4,64,0.9,212,38694,27.3046875,27.3046875,0.828125,151.1484375
HSTO,4,64,1.0,284,28075,27.43359375,27.43359375,1.109375,109.66796875
HSTO,16,8,0.0,739,6042,35.81640625,35.81640625,2.88671875,23.6015625
HSTO,16,8,0.1,352,6927,32.06640625,32.06640625,1.375,27.05859375
HSTO,16,8,0.25,760,7076,33.4140625,33.4140625,2.96875,27.640625
HSTO,16,8,0.5,360,5879,30.22265625,30.22265625,1.40625,22.96484375
HSTO,16,8,0.75,724,7302,30.54296875,30.54296875,2.828125,28.5234375
HSTO,16,8,0.9,669,5947,28.92578125,28.92578125,2.61328125,23.23046875
HSTO,16,8,1.0,491,6456,28.98828125,28.98828125,1.91796875,25.21875
HSTO,16,16,0.0,463,11768,33.0078125,33.0078125,1.80859375,45.96875
HSTO,16,16,0.1,262,6981,26.875,26.875,1.0234375,27.26953125
HSTO,16,16,0.25,233,6129,29.73828125,29.73828125,0.91015625,23.94140625
HSTO,16,16,0.5,511,10773,27.5546875,27.5546875,1.99609375,42.08203125
HSTO,16,16,0.75,338,9541,29.8046875,29.8046875,1.3203125,37.26953125
HSTO,16,16,0.9,197,5201,27.0546875,27.0546875,0.76953125,20.31640625
HSTO,16,16,1.0,239,10142,27.3828125,27.3828125,0.93359375,39.6171875
HSTO,16,32,0.0,256,16755,29.09765625,29.09765625,1.0,65.44921875
HSTO,16,32,0.1,151,13487,29.375,29.375,0.58984375,52.68359375
HSTO,16,32,0.25,249,17871,28.6953125,28.6953125,0.97265625,69.80859375
HSTO,16,32,0.5,435,22596,25.6171875,25.6171875,1.69921875,88.265625
HSTO,16,32,0.75,343,27008,28.90234375,28.90234375,1.33984375,105.5
HSTO,16,32,0.9,666,21528,26.71875,26.71875,2.6015625,84.09375
HSTO,16,32,1.0,295,24649,28.89453125,28.89453125,1.15234375,96.28515625
HSTO,16,64,0.0,257,20009,28.5234375,28.5234375,1.00390625,78.16015625
HSTO,16,64,0.1,166,21464,27.75390625,27.75390625,0.6484375,83.84375
HSTO,16,64,0.25,309,42647,28.19921875,28.19921875,1.20703125,166.58984375
HSTO,16,64,0.5,152,19714,26.3125,26.3125,0.59375,77.0078125
HSTO,16,64,0.75,359,31052,27.22265625,27.22265625,1.40234375,121.296875
HSTO,16,64,0.9,489,32488,28.765625,28.765625,1.91015625,126.90625
