benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
PAD,1,8,0.0,124,194,30.78125,30.71875,0.484375,0.7578125
PAD,1,8,0.1,198,1168,31.5390625,31.4765625,0.7734375,4.5625
PAD,1,8,0.25,224,3010,27.41015625,27.41015625,0.875,11.7578125
PAD,1,8,0.5,510,15711,20.7109375,20.7109375,1.9921875,61.37109375
PAD,1,8,0.75,581,11606,12.91796875,12.9140625,2.26953125,45.3359375
PAD,1,8,0.9,646,12315,8.1328125,8.1328125,2.5234375,48.10546875
PAD,1,8,1.0,25,0,,,0.09765625,0.0
PAD,1,16,0.0,124,210,30.78125,30.71875,0.484375,0.8203125
PAD,1,16,0.1,202,1706,33.9921875,33.9296875,0.7890625,6.6640625
PAD,1,16,0.25,281,4986,25.64453125,25.5859375,1.09765625,19.4765625
PAD,1,16,0.5,344,7260,17.703125,17.703125,1.34375,28.359375
PAD,1,16,0.75,593,18520,9.4375,9.43359375,2.31640625,72.34375
PAD,1,16,0.9,658,27747,8.91015625,8.91015625,2.5703125,108.38671875
PAD,1,16,1.0,25,0,,,0.09765625,0.0
PAD,1,32,0.0,124,149,30.78125,30.71875,0.484375,0.58203125
PAD,1,32,0.1,180,3587,31.46875,31.46484375,0.703125,14.01171875
PAD,1,32,0.25,233,5446,25.6875,25.6875,0.91015625,21.2734375
PAD,1,32,0.5,446,18002,17.94140625,17.94140625,1.7421875,70.3203125
PAD,1,32,0.75,640,36587,9.6953125,9.69140625,2.5,142.91796875
PAD,1,32,0.9,633,14264,9.25,9.24609375,2.47265625,55.71875
PAD,1,32,1.0,25,0,,,0.09765625,0.0
PAD,1,64,0.0,124,67,30.78125,30.71875,0.484375,0.26171875
PAD,1,64,0.1,238,10469,33.6796875,33.62109375,0.9296875,40.89453125
PAD,1,64,0.25,228,11114,25.5078125,25.44921875,0.890625,43.4140625
PAD,1,64,0.5,434,32399,17.91015625,17.91015625,1.6953125,126.55859375
PAD,1,64,0.75,299,84139,8.875,8.875,1.16796875,328.66796875
PAD,1,64,0.9,518,41239,8.609375,8.55078125,2.0234375,161.08984375
PAD,1,64,1.0,25,0,,,0.09765625,0.0
PAD,4,8,0.0,124,200,30.78125,30.71875,0.484375,0.78125
