benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
RSCD,1,8,0.0,12,41,0.625,0.625,0.046875,0.16015625
RSCD,1,8,0.1,29,315,1.51953125,1.51953125,0.11328125,1.23046875
RSCD,1,8,0.25,17,104,1.1875,1.1875,0.06640625,0.40625
RSCD,1,8,0.5,30,514,1.3125,1.30859375,0.1171875,2.0078125
RSCD,1,8,0.75,15,72,1.0,1.0,0.05859375,0.28125
RSCD,1,8,0.9,15,68,1.0,1.0,0.05859375,0.265625
RSCD,1,8,1.0,3,0,,,0.01171875,0.0
RSCD,1,16,0.0,12,81,0.625,0.625,0.046875,0.31640625
RSCD,1,16,0.1,48,79,1.265625,1.203125,0.1875,0.30859375
RSCD,1,16,0.25,67,909,1.65625,1.625,0.26171875,3.55078125
RSCD,1,16,0.5,49,589,1.53125,1.42578125,0.19140625,2.30078125
RSCD,1,16,0.75,20,160,1.0546875,1.0546875,0.078125,0.625
RSCD,1,16,0.9,15,68,1.0,1.0,0.05859375,0.265625
RSCD,1,16,1.0,3,0,,,0.01171875,0.0
RSCD,1,32,0.0,12,139,0.625,0.625,0.046875,0.54296875
RSCD,1,32,0.1,15,136,1.0,1.0,0.05859375,0.53125
RSCD,1,32,0.25,16,148,1.0625,1.0625,0.0625,0.578125
RSCD,1,32,0.5,15,136,1.0,1.0,0.05859375,0.53125
RSCD,1,32,0.75,16,160,1.0625,1.0625,0.0625,0.625
RSCD,1,32,0.9,15,140,1.0,1.0,0.05859375,0.546875
RSCD,1,32,1.0,3,0,,,0.01171875,0.0
RSCD,1,64,0.0,12,278,0.625,0.625,0.046875,1.0859375
RSCD,1,64,0.1,19,303,1.25,1.25,0.07421875,1.18359375
RSCD,1,64,0.25,33,345,1.23828125,1.23828125,0.12890625,1.34765625
RSCD,1,64,0.5,17,278,1.125,1.125,0.06640625,1.0859375
RSCD,1,64,0.75,15,280,1.0,1.0,0.05859375,1.09375
RSCD,1,64,0.9,15,272,1.0,1.0,0.05859375,1.0625
RSCD,1,64,1.0,3,0,,,0.01171875,0.0
RSCD,4,8,0.0,12,41,0.625,0.625,0.046875,0.16015625
RSCD,4,8,0.1,35,192,1.7578125,1.7578125,0.13671875,0.75
RSCD,4,8,0.25,43,311,1.35546875,1.34375,0.16796875,1.21484375
RSCD,4,8,0.5,16,36,1.0,1.0,0.0625,0.140625
RSCD,4,8,0.75,15,36,1.0,1.0,0.05859375,0.140625
RSCD,4,8,0.9,23,203,1.16015625,1.16015625,0.08984375,0.79296875
RSCD,4,8,1.0,3,0,,,0.01171875,0.0
RSCD,4,16,0.0,12,85,0.625,0.625,0.046875,0.33203125
RSCD,4,16,0.1,35,101,1.17578125,1.17578125,0.13671875,0.39453125
RSCD,4,16,0.25,49,218,1.66015625,1.66015625,0.19140625,0.8515625
RSCD,4,16,0.5,16,83,1.0625,1.0625,0.0625,0.32421875
RSCD,4,16,0.75,21,258,1.2734375,1.2734375,0.08203125,1.0078125
RSCD,4,16,0.9,15,140,1.0,1.0,0.05859375,0.546875
RSCD,4,16,1.0,3,0,,,0.01171875,0.0
RSCD,4,32,0.0,12,142,0.625,0.625,0.046875,0.5546875
RSCD,4,32,0.1,18,239,1.16015625,1.16015625,0.0703125,0.93359375
RSCD,4,32,0.25,28,397,1.17578125,1.17578125,0.109375,1.55078125
RSCD,4,32,0.5,15,140,1.0,1.0,0.05859375,0.546875
RSCD,4,32,0.75,16,133,1.0625,1.0625,0.0625,0.51953125
RSCD,4,32,0.9,15,136,1.0,1.0,0.05859375,0.53125
RSCD,4,32,1.0,3,0,,,0.01171875,0.0
RSCD,4,64,0.0,12,267,0.625,0.625,0.046875,1.04296875
RSCD,4,64,0.1,15,284,1.0,1.0,0.05859375,1.109375
RSCD,4,64,0.25,19,277,1.3125,1.3125,0.07421875,1.08203125
RSCD,4,64,0.5,15,272,1.0,1.0,0.05859375,1.0625
RSCD,4,64,0.75,18,270,1.0703125,1.0703125,0.0703125,1.0546875
RSCD,4,64,0.9,15,284,1.0,1.0,0.05859375,1.109375
RSCD,4,64,1.0,3,0,,,0.01171875,0.0
RSCD,16,8,0.0,12,40,0.625,0.625,0.046875,0.15625
RSCD,16,8,0.1,32,76,1.125,1.1171875,0.125,0.296875
RSCD,16,8,0.25,96,164,1.55078125,1.54296875,0.375,0.640625
RSCD,16,8,0.5,29,38,1.0625,1.0546875,0.11328125,0.1484375
RSCD,16,8,0.75,15,36,1.0,1.0,0.05859375,0.140625
RSCD,16,8,0.9,15,36,1.0,1.0,0.05859375,0.140625
RSCD,16,8,1.0,3,0,,,0.01171875,0.0
