benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
RSCT,1,8,dynamic,45,988,1.3828125,1.37890625,0.17578125,3.859375
RSCT,1,16,dynamic,80,2450,1.58203125,1.55859375,0.3125,9.5703125
RSCT,1,32,dynamic,43,1748,1.54296875,1.51953125,0.16796875,6.828125
RSCT,1,64,dynamic,34,3379,1.6640625,1.6640625,0.1328125,13.19921875
RSCT,4,8,dynamic,40,322,2.91015625,2.91015625,0.15625,1.2578125
RSCT,4,16,dynamic,72,1652,2.5390625,2.5390625,0.28125,6.453125
RSCT,4,32,dynamic,258,5951,2.85546875,2.8203125,1.0078125,23.24609375
RSCT,4,64,dynamic,61,2519,2.4375,2.4140625,0.23828125,9.83984375
RSCT,16,8,dynamic,98,577,5.58984375,5.56640625,0.3828125,2.25390625
RSCT,16,16,dynamic,80,1671,3.765625,3.765625,0.3125,6.52734375
RSCT,16,32,dynamic,111,2600,6.5546875,6.45703125,0.43359375,10.15625
RSCT,16,64,dynamic,106,3875,5.61328125,5.58984375,0.4140625,15.13671875
RSCT,32,8,dynamic,107,1085,4.16015625,4.16015625,0.41796875,4.23828125
RSCT,32,16,dynamic,135,2234,6.890625,6.890625,0.52734375,8.7265625
RSCT,32,32,dynamic,133,2875,8.1328125,8.1328125,0.51953125,11.23046875
RSCT,32,64,dynamic,179,4981,8.3125,8.2890625,0.69921875,19.45703125
RSCT,64,8,dynamic,187,1961,4.96484375,4.96484375,0.73046875,7.66015625
RSCT,64,16,dynamic,259,3476,9.1171875,9.09375,1.01171875,13.578125
RSCT,64,32,dynamic,215,5743,11.703125,11.703125,0.83984375,22.43359375
RSCT,64,64,dynamic,274,8255,14.296875,14.1953125,1.0703125,32.24609375
