benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
SC,1,8,0.0,58,335,16.25,14.1875,0.2265625,1.30859375
SC,1,8,0.1,130,4345,16.48828125,14.48828125,0.5078125,16.97265625
SC,1,8,0.25,223,21383,16.3671875,14.3671875,0.87109375,83.52734375
SC,1,8,0.5,348,15820,12.71484375,10.7109375,1.359375,61.796875
SC,1,8,0.75,645,12519,7.40625,6.40625,2.51953125,48.90234375
SC,1,8,0.9,531,10978,4.98828125,4.73828125,2.07421875,42.8828125
SC,1,8,1.0,13,0,,,0.05078125,0.0
SC,1,16,0.0,58,303,16.25,14.1875,0.2265625,1.18359375
SC,1,16,0.1,154,4824,16.39453125,14.3359375,0.6015625,18.84375
SC,1,16,0.25,267,8813,16.6796875,14.67578125,1.04296875,34.42578125
SC,1,16,0.5,549,16180,13.6015625,11.6015625,2.14453125,63.203125
SC,1,16,0.75,588,19407,8.18359375,7.18359375,2.296875,75.80859375
SC,1,16,0.9,691,29357,3.9921875,3.93359375,2.69921875,114.67578125
SC,1,16,1.0,13,0,,,0.05078125,0.0
SC,1,32,0.0,58,287,16.25,14.1875,0.2265625,1.12109375
SC,1,32,0.1,139,6474,18.4140625,16.35546875,0.54296875,25.2890625
SC,1,32,0.25,271,11222,16.74609375,14.7421875,1.05859375,43.8359375
SC,1,32,0.5,571,43985,12.95703125,10.89453125,2.23046875,171.81640625
SC,1,32,0.75,697,39134,7.2734375,6.2734375,2.72265625,152.8671875
SC,1,32,0.9,653,71277,3.7890625,3.7890625,2.55078125,278.42578125
SC,1,32,1.0,13,0,,,0.05078125,0.0
SC,1,64,0.0,58,174,16.25,14.1875,0.2265625,0.6796875
SC,1,64,0.1,142,24605,18.27734375,16.27734375,0.5546875,96.11328125
SC,1,64,0.25,278,36677,16.4765625,14.4765625,1.0859375,143.26953125
SC,1,64,0.5,344,123275,12.41796875,10.41796875,1.34375,481.54296875
SC,1,64,0.75,1037,56278,8.94140625,7.9375,4.05078125,219.8359375
SC,1,64,0.9,961,27600,4.31640625,4.3125,3.75390625,107.8125
SC,1,64,1.0,13,0,,,0.05078125,0.0
SC,4,8,0.0,58,335,16.25,14.1875,0.2265625,1.30859375
SC,4,8,0.1,107,658,16.47265625,14.46875,0.41796875,2.5703125
SC,4,8,0.25,424,2614,17.19140625,15.19140625,1.65625,10.2109375
SC,4,8,0.5,889,8683,12.90625,10.90625,3.47265625,33.91796875
SC,4,8,0.75,868,6703,6.6953125,5.6953125,3.390625,26.18359375
SC,4,8,0.9,1240,13756,4.8515625,4.6015625,4.84375,53.734375
SC,4,8,1.0,13,0,,,0.05078125,0.0
SC,4,16,0.0,58,314,16.25,14.1875,0.2265625,1.2265625
SC,4,16,0.1,130,4366,16.29296875,14.29296875,0.5078125,17.0546875
SC,4,16,0.25,231,3864,16.54296875,14.54296875,0.90234375,15.09375
SC,4,16,0.5,317,16822,12.25,10.25,1.23828125,65.7109375
SC,4,16,0.75,629,10483,6.73046875,5.7265625,2.45703125,40.94921875
SC,4,16,0.9,1265,24163,3.71484375,3.71484375,4.94140625,94.38671875
SC,4,16,1.0,13,0,,,0.05078125,0.0
SC,4,32,0.0,58,250,16.25,14.1875,0.2265625,0.9765625
SC,4,32,0.1,168,2895,18.63671875,16.6328125,0.65625,11.30859375
SC,4,32,0.25,342,5384,16.5,14.5,1.3359375,21.03125
SC,4,32,0.5,652,13474,14.765625,12.76171875,2.546875,52.6328125
SC,4,32,0.75,691,13891,6.66796875,5.6640625,2.69921875,54.26171875
SC,4,32,0.9,1140,15183,3.9921875,3.9921875,4.453125,59.30859375
SC,4,32,1.0,13,0,,,0.05078125,0.0
SC,4,64,0.0,58,161,16.25,14.1875,0.2265625,0.62890625
SC,4,64,0.1,162,4795,18.57421875,16.5703125,0.6328125,18.73046875
SC,4,64,0.25,224,17514,16.3515625,14.29296875,0.875,68.4140625
SC,4,64,0.5,316,36145,12.28125,10.28125,1.234375,141.19140625
SC,4,64,0.75,639,23958,6.53125,5.52734375,2.49609375,93.5859375
SC,4,64,0.9,1683,21717,3.8203125,3.8203125,6.57421875,84.83203125
SC,4,64,1.0,13,0,,,0.05078125,0.0
