benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
SSSP,1,8,dynamic,14097,197746,98.203125,89.46484375,55.06640625,772.4453125
SSSP,1,16,dynamic,13861,347240,62.859375,54.12109375,54.14453125,1356.40625
SSSP,1,32,dynamic,12414,486577,784.5625,533.6015625,48.4921875,1900.69140625
SSSP,1,64,dynamic,15447,1178471,65.34765625,56.5234375,60.33984375,4603.40234375
SSSP,4,8,dynamic,42115,285085,607.93359375,458.10546875,164.51171875,1113.61328125
SSSP,4,16,dynamic,45095,340612,698.26953125,586.31640625,176.15234375,1330.515625
SSSP,4,32,dynamic,44058,637201,105.125,94.02734375,172.1015625,2489.06640625
SSSP,4,64,dynamic,46928,1253722,72.1171875,63.3203125,183.3125,4897.3515625
SSSP,16,8,dynamic,114374,151962,1538.8828125,1098.8125,446.7734375,593.6015625
SSSP,16,16,dynamic,161241,340606,67.80078125,59.0625,629.84765625,1330.4921875
SSSP,16,32,dynamic,149096,612731,1254.49609375,1128.921875,582.40625,2393.48046875
SSSP,16,64,dynamic,139229,963908,1015.9375,817.93359375,543.86328125,3765.265625
SSSP,32,8,dynamic,366319,540156,87.09375,79.6484375,1430.93359375,2109.984375
SSSP,32,16,dynamic,378834,869739,166.921875,159.14453125,1479.8203125,3397.41796875
SSSP,32,32,dynamic,374086,1351172,106.80859375,98.0703125,1461.2734375,5278.015625
SSSP,32,64,dynamic,410885,2364637,130.95703125,122.125,1605.01953125,9236.86328125
SSSP,64,8,dynamic,1038742,950211,164.2265625,155.390625,4057.5859375,3711.76171875
SSSP,64,16,dynamic,1009487,1694435,148.95703125,140.15234375,3943.30859375,6618.88671875
SSSP,64,32,dynamic,1015732,3001825,238.04296875,230.21484375,3967.703125,11725.87890625
SSSP,64,64,dynamic,960611,4607094,246.28125,238.89453125,3752.38671875,17996.4609375
