benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
TQH,1,8,dynamic,8744,17033,1255.19140625,1255.140625,34.15625,66.53515625
TQH,1,16,dynamic,7955,8993,1023.1328125,1252.0859375,31.07421875,35.12890625
TQH,1,32,dynamic,7813,8007,764.9140625,1251.49609375,30.51953125,31.27734375
TQH,1,64,dynamic,7706,12365,787.30078125,1250.88671875,30.1015625,48.30078125
TQH,4,8,dynamic,8353,10802,1254.2578125,1254.25390625,32.62890625,42.1953125
TQH,4,16,dynamic,8284,11432,1253.515625,1253.46484375,32.359375,44.65625
TQH,4,32,dynamic,7792,10863,696.9140625,1251.21875,30.4375,42.43359375
TQH,4,64,dynamic,7712,15441,617.38671875,1250.89453125,30.125,60.31640625
TQH,16,8,dynamic,8875,18083,1255.64453125,1255.58203125,34.66796875,70.63671875
TQH,16,16,dynamic,7876,10672,1251.78515625,1251.75,30.765625,41.6875
TQH,16,32,dynamic,7811,11507,807.55859375,1251.83203125,30.51171875,44.94921875
TQH,16,64,dynamic,7716,12860,708.1171875,1251.25390625,30.140625,50.234375
TQH,32,8,dynamic,8214,11999,1254.046875,1254.0390625,32.0859375,46.87109375
TQH,32,16,dynamic,7908,10436,1079.9609375,1252.3828125,30.890625,40.765625
TQH,32,32,dynamic,7985,9964,779.32421875,1251.98046875,31.19140625,38.921875
TQH,32,64,dynamic,7729,12239,678.97265625,1252.16015625,30.19140625,47.80859375
TQH,64,8,dynamic,8765,13213,1256.41796875,1256.3828125,34.23828125,51.61328125
TQH,64,16,dynamic,8302,12346,1253.46484375,1253.40234375,32.4296875,48.2265625
TQH,64,32,dynamic,7896,11124,951.4609375,1253.83984375,30.84375,43.453125
TQH,64,64,dynamic,7707,13681,794.640625,1253.50390625,30.10546875,53.44140625
