
NOTICE: Existing SQLite export found: /home/ubuntu/rajesh-fs-utah/chai/CUDA-U/h100_pf/TQH_t64_g64_adynamic.sqlite
        It is assumed file was previously exported from: /home/ubuntu/rajesh-fs-utah/chai/CUDA-U/h100_pf/TQH_t64_g64_adynamic.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/rajesh-fs-utah/chai/CUDA-U/h100_pf/TQH_t64_g64_adynamic.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-x64/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0x77AA9C101000,,1.044,,,51079.250
0x77AA9CD01000,,1.044,,,51079.250
0x77AA61901000,,1.044,,,50999.869
0x77AA72901000,,1.044,,,50999.869
0x77AA83301000,,1.044,,,50999.869
0x77AA7E301000,,1.044,,,50996.736
0x77AA9C301000,,1.044,,,50996.736
0x77AA5D301000,,1.044,,,50919.444
0x77AA6C301000,,1.044,,,50919.444
0x77AA89901000,,1.044,,,50919.444

