benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
TQ,1,8,dynamic,174,3541,7.3203125,7.3203125,0.6796875,13.83203125
TQ,1,16,dynamic,135,5232,7.48046875,7.48046875,0.52734375,20.4375
TQ,1,32,dynamic,149,7874,6.515625,6.515625,0.58203125,30.7578125
TQ,1,64,dynamic,161,8545,7.5,7.5,0.62890625,33.37890625
TQ,4,8,dynamic,216,3677,7.890625,7.890625,0.84375,14.36328125
TQ,4,16,dynamic,234,12012,6.82421875,6.82421875,0.9140625,46.921875
TQ,4,32,dynamic,167,10833,6.671875,6.671875,0.65234375,42.31640625
TQ,4,64,dynamic,176,16512,7.48828125,7.48828125,0.6875,64.5
TQ,16,8,dynamic,189,3416,7.984375,7.984375,0.73828125,13.34375
TQ,16,16,dynamic,181,6471,7.109375,7.109375,0.70703125,25.27734375
TQ,16,32,dynamic,168,7405,7.27734375,7.27734375,0.65625,28.92578125
TQ,16,64,dynamic,94,7607,7.2890625,7.2890625,0.3671875,29.71484375
TQ,32,8,dynamic,174,3217,7.4609375,7.4609375,0.6796875,12.56640625
TQ,32,16,dynamic,112,5241,7.0390625,7.0390625,0.4375,20.47265625
TQ,32,32,dynamic,93,5286,7.75390625,7.75390625,0.36328125,20.6484375
TQ,32,64,dynamic,104,5899,6.765625,6.765625,0.40625,23.04296875
TQ,64,8,dynamic,209,6259,7.6875,7.6875,0.81640625,24.44921875
TQ,64,16,dynamic,178,7783,6.5625,6.5625,0.6953125,30.40234375
TQ,64,32,dynamic,120,10676,6.01171875,6.01171875,0.46875,41.703125
TQ,64,64,dynamic,120,10311,7.17578125,7.17578125,0.46875,40.27734375
