benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
TRNS,1,8,dynamic,14119,26192,786.1953125,785.20703125,55.15234375,102.3125
TRNS,1,16,dynamic,3293,13519,328.43359375,327.58203125,12.86328125,52.80859375
TRNS,1,32,dynamic,2355,13373,293.6796875,292.8203125,9.19921875,52.23828125
TRNS,1,64,dynamic,1778,7316,292.76953125,291.95703125,6.9453125,28.578125
TRNS,4,8,dynamic,51166,59820,2587.7734375,2586.828125,199.8671875,233.671875
TRNS,4,16,dynamic,14488,31821,958.11328125,958.0625,56.59375,124.30078125
TRNS,4,32,dynamic,6041,8679,584.1484375,583.23828125,23.59765625,33.90234375
TRNS,4,64,dynamic,2862,15355,331.98046875,331.1328125,11.1796875,59.98046875
TRNS,16,8,dynamic,20701,33300,482.94140625,482.9375,80.86328125,130.078125
TRNS,16,16,dynamic,30839,93803,1133.41796875,1133.390625,120.46484375,366.41796875
TRNS,16,32,dynamic,34953,39721,2153.6640625,2091.93359375,136.53515625,155.16015625
TRNS,16,64,dynamic,20281,37701,1088.94140625,1026.08984375,79.22265625,147.26953125
TRNS,32,8,dynamic,16046,16722,640.44140625,640.43359375,62.6796875,65.3203125
TRNS,32,16,dynamic,15777,11684,694.453125,688.57421875,61.62890625,45.640625
TRNS,32,32,dynamic,9230,7514,640.71484375,640.70703125,36.0546875,29.3515625
TRNS,32,64,dynamic,26289,21395,1129.8125,1335.35546875,102.69140625,83.57421875
TRNS,64,8,dynamic,9733,2546,706.21484375,701.359375,38.01953125,9.9453125
TRNS,64,16,dynamic,12356,2322,774.078125,774.078125,48.265625,9.0703125
TRNS,64,32,dynamic,23623,4121,1518.80859375,1539.84765625,92.27734375,16.09765625
TRNS,64,64,dynamic,10192,10960,593.90234375,583.84375,39.8125,42.8125
